% P(GPa)  T(K)  V(A^3)
% M605
1.e-4   1273.15  49.030 0.008
1.35   1273.15   48.421 0.019
2.02   1273.15   48.152 0.021
2.80   1273.15   47.799 0.012
3.60   1273.15   47.573 0.002
4.41   1273.15   47.282 0.005
5.37   1273.15   46.905 0.008
5.93   1273.15   46.714 0.007
6.55   1273.15   46.419 0.035
7.58   1273.15   46.177 0.006
8.66   1273.15   45.833 0.020
9.61   1273.15   45.517 0.015
10.64   1273.15  45.189 0.016
11.57   1273.15  44.908 0.011
% M620
6.81   1273.15   46.469 0.011
8.36  1273.15    45.991 0.015
10.08  1273.15   45.478 0.019
11.66  1273.15   45.013 0.021
12.71  1273.15   44.759 0.019
13.63  1273.15   44.545 0.012
14.45  1273.15   44.328 0.017
15.58  1273.15   44.095 0.010
16.63  1273.15   43.875 0.014
17.59  1273.15   43.654 0.013
18.69  1273.15   43.400 0.016
19.70  1273.15   43.193 0.017
20.64  1273.15   43.005 0.019
21.57  1273.15   42.817 0.017
22.44  1273.15   42.661 0.012
23.17  1273.15   42.495 0.011
24.19  1273.15   42.323 0.008
25.01  1273.15   42.147 0.009
25.72  1273.15   42.024 0.003
26.55  1273.15   41.875 0.016
27.44  1273.15   41.719 0.012
% M622
% 4.73   1073.15   46.481 0.010
% 6.41   1073.15   45.936 0.014
% 8.02   1073.15   45.460 0.018
% 9.90   1073.15   44.931 0.021
% 11.48   1073.15  44.500 0.019
% 13.36   1073.15  44.037 0.024
% 15.37   1073.15  43.581 0.019
% 17.47   1073.15  43.151 0.015
% 19.82   1073.15  42.699 0.016
% 22.34   1073.15  42.277 0.020
% 24.37   1073.15  41.948 0.1
