% P (GPa)         sigma P           T (K)          sigma T 
10.0              0.5                1856             43 
10.0              0.5                1937             68 
12.0              0.5                1998             17 
12.5              0.5                1912             34 
14.5              0.5                1949             18 
16.0              0.5                1978             21 
16.5              0.8                1995             45 
21.6              0.5                2299             46 
21.6              0.5                2135             64 
24.7              0.5                2348             46 
24.7              0.5                2259             48 
28.8              0.5                2402             24 
34.1              1.0                2525             25 
37.7              1.5                2617             57 
42.5              0.8                2687             71 
46.5              1.5                2674             39 
47.5              1.5                2768             48 
51.0              0.8                2814             43 
56.0              0.8                2845             57 
62.5              0.8                2948             74
