% P (GPa)	err	T (K)	err	V NaCl (cm3/mol)	err	V Fe (cm3/mol)	err	c/a Fe	err	V B1-FeO (cm3/mol)	err
95.2	1.0	1443	106	12.814	0.017	5.183	0.031	1.601	0.006	8.874	0.016
95.6	0.5	1384	105	12.816	0.014	5.174	0.011	1.604	0.002	8.824	0.024
96.4	0.7	2133	115	12.862	0.028	5.234	0.017	1.607	0.003	8.890	0.010
96.7	0.8	1546	107	12.829	0.013	5.178	0.023	1.602	0.005	8.916	0.038
97.2	0.8	1674	109	12.833	0.021	5.184	0.023	1.601	0.005	8.974	0.049
97.4	1.0	1717	109	12.829	0.021	5.185	0.030	1.601	0.006	8.877	0.049
97.5	1.1	1916	112	12.784	0.038	5.202	0.031	1.604	0.006	8.852	0.028
98.0	1.2	1857	111	12.831	0.024	5.192	0.036	1.603	0.007	8.880	0.017
98.6	1.4	2037	114	12.825	0.016	5.203	0.041	1.603	0.008	8.935	0.042
105.9	0.3	1144	103	12.385	0.028	5.062	0.004	1.606	0.001	8.547	0.010
106.3	0.3	1222	104	12.364	0.030	5.065	0.004	1.606	0.001	8.558	0.010
106.8	0.3	1331	105	12.331	0.020	5.069	0.003	1.607	0.001	8.557	0.009
107.4	0.3	1415	106	12.333	0.024	5.070	0.004	1.607	0.001	8.560	0.009
107.7	0.4	1417	106	12.356	0.035	5.068	0.009	1.603	0.002	8.580	0.018
107.8	0.3	1495	107	12.373	0.025	5.073	0.004	1.606	0.001	8.569	0.009
108.3	0.8	1898	112	12.380	0.030	5.101	0.022	1.609	0.005	8.573	0.008
108.5	0.4	1623	108	12.303	0.052	5.077	0.006	1.605	0.001	8.574	0.015
109.3	0.4	1728	109	12.240	0.060	5.078	0.003	1.609	0.001	8.572	0.008
109.8	0.9	2089	114	12.362	0.059	5.104	0.025	1.609	0.005	8.577	0.015
128.6	0.6	1332	105	11.674	0.013	4.897	0.018	1.613	0.004	8.247	0.006
131.3	0.4	1542	107	11.720	0.041	4.891	0.004	1.605	0.001	8.252	0.020
131.7	1.1	1622	108	11.719	0.003	4.894	0.032	1.597	0.007	8.286	0.003
133.0	0.8	1515	107	11.686	0.012	4.878	0.023	1.600	0.005	8.201	0.024
133.1	1.1	1689	109	11.726	0.003	4.888	0.032	1.597	0.007	8.291	0.003
133.8	0.4	1929	112	11.697	0.044	4.900	0.007	1.605	0.001	8.186	0.025
133.9	0.7	1387	106	11.677	0.010	4.863	0.020	1.600	0.004	8.237	0.019
135.5	0.7	1691	109	11.683	0.013	4.871	0.020	1.601	0.004	8.234	0.023
136.0	0.8	2231	116	11.673	0.049	4.906	0.021	1.602	0.005	8.162	0.016
136.6	0.8	1830	111	11.683	0.017	4.872	0.023	1.601	0.005	8.227	0.026
138.2	0.8	2431	120	11.747	0.021	4.904	0.020	1.604	0.004	8.137	0.011
138.4	0.5	2013	113	11.682	0.019	4.873	0.011	1.600	0.002	8.244	0.010
139.1	0.7	2706	125	11.768	0.023	4.918	0.014	1.600	0.003	8.150	0.038
142.1	0.7	2909	129	11.790	0.013	4.912	0.013	1.606	0.003	8.161	0.018
142.5	0.7	2896	128	11.809	0.043	4.908	0.013	1.600	0.003	8.149	0.016
143.5	0.9	3025	131	11.763	0.010	4.911	0.021	1.602	0.005	8.137	0.008
154.4	0.5	2017	113	11.291	0.038	4.766	0.007	1.604	0.001	7.890	0.018
154.4	0.4	1984	113	11.266	0.042	4.763	0.005	1.603	0.001	7.910	0.009
154.7	0.4	2005	113	11.253	0.037	4.763	0.002	1.602	0.000	7.897	0.018
155.4	0.5	2048	114	11.273	0.049	4.761	0.009	1.602	0.002	7.882	0.022
155.5	0.5	2135	115	11.260	0.041	4.766	0.008	1.604	0.002	7.891	0.018
155.7	0.5	2190	116	11.260	0.038	4.768	0.006	1.604	0.001	7.907	0.011
156.0	0.5	2154	115	11.266	0.045	4.764	0.010	1.603	0.002	7.906	0.009
