% T Cp S H Cp S H
10  0.0269  0.0090  0.0067  0.0812  0.0207  0.0173
20  0.262  0.0795  0.0608  0.479  0.178  0.133
30  0.863  0.289  0.219  1.395  0.511  0.372
40  1.670  0.645  0.479  1.893  0.973  0.683
50  2.535  1.110  0.803  2.633  1.474  0.998
60  3.393  1.648  1.163  3.397  2.021  1.334
70  4.212  2.233  1.541  4.143  2.601  1.682
80  4.996  2.847  1.924  4.875  3.202  2.036
90  5.718  3.478  2.306  5.569  3.818  2.391
100  6.365  4.115  2.680  6.191  4.437  2.740
110  6.955  4.750  3.042  6.758  5.054  3.080
120  7.504  5.379  3.392  7.281  5.665  3.408
130  7.998  5.999  3.727  7.763  6.267  3.725
140  8.429  6.608  4.048  8.202  6.858  4.029
150  8.823  7.203  4.353  8.597  7.438  4.321
160  9.173  7.784  4.644  8.957  8.005  4.600
170  9.491  8.350  4.920  9.277  8.557  4.865
180  9.779  8.901  5.182  9.570  9.096  5.119
190  10.04  9.436  5.431  9.843  9.621  5.360
200  10.28  9.958  5.667  10.09  10.132  5.590
210  10.51  10.465  5.892  10.32  10.630  5.810
220  10.71  10.958  6.107  10.53  11.115  6.020
230  10.90  11.438  6.311  10.74  11.588  6.221
240  11.08  11.906  6.506  10.94  12.049  6.413
250  11.26  12.362  6.693  11.12  12.499  6.598
260  11.43  12.807  6.872  11.30  12.939  6.775
270  11.60  13.242  7.044  11.47  13.369  6.946
273.15  11.65  13.377  7.097  11.53  13.503  6.999
280  11.76  13.667  7.209  11.64  13.789  7.111
290  11.93  14.082  7.369  11.80  14.200  7.270
298.15  12.08  14.415  7.496  11.92  14.529  7.396
300  12.11  14.490  7.524  11.  95  14.603  7.423
350  13.68  16.459  8.277  12.68  16.501  8.123
% First set of values for Fe1S1, second for Fe0.877S1
