% P (GPa)     T (K) V (m^3/mol)       Reference
10.8759124088 473.  1.48350796066e-05 Kusaba et al. (1998)
11.3138686131 473.  1.47669767163e-05 Kusaba et al. (1998)
13.2481751825 473.  1.45286166002e-05 Kusaba et al. (1998)
11.5693430657 500.  1.48010281614e-05 Urukawa et al. (2004)
13.1386861314 500.  1.45853690088e-05 Urukawa et al. (2004)
14.9270072993 500.  1.43810603378e-05 Urukawa et al. (2004)
16.0218978102 500.  1.41994526303e-05 Urukawa et al. (2004)
15.8293371577 800.  1.45300612113e-05 Fei et al. (1995)
16.8968762605 800.  1.44471324543e-05 Fei et al. (1995)
18.4161699458 800.  1.42721320298e-05 Fei et al. (1995)
20.8909604267 800.  1.40231376962e-05 Fei et al. (1995)
22.6338905571 800.  1.38692525184e-05 Fei et al. (1995)
18.9416058394 1200. 1.45967194905e-05 Urukawa et al. (2004)
20.5839416058 1200. 1.44378127464e-05 Urukawa et al. (2004)
20.9124087591 1200. 1.43810603378e-05 Urukawa et al. (2004)
