% T (K)	Cp (J/mol/K)
274.695	48.954
285.642	49.546
295.337	50.225
305.372	51.156
315.061	52.087
324.754	53.107
335.079	54.290
345.347	55.309
355.331	56.241
364.978	57.738
373.992	59.842
379.487	61.452
388.544	64.399
395.627	67.359
400.446	70.469
404.630	75.016
409.090	82.433
411.933	100.266
422.083	127.923
425.460	78.024
426.758	79.384
430.276	80.404
432.873	83.023
435.140	83.526
438.988	88.350
441.312	85.138
441.886	87.254
444.518	77.908
445.802	83.966
447.081	74.709
449.014	73.198
454.562	73.952
464.215	71.673
475.265	71.421
484.961	71.671
495.910	71.671
506.906	72.690
517.949	73.458
520.219	72.866
529.912	74.225
531.215	74.225
540.905	76.340
542.210	75.660
552.238	77.183
561.927	79.802
571.278	81.501
575.471	82.849
576.435	83.869
582.556	85.304
583.857	87.243
587.751	91.902
590.640	93.829
591.620	89.194
591.623	88.174
591.733	83.741
592.036	79.446
593.346	76.575
599.496	68.263
604.328	65.315
608.530	63.463
616.303	62.027
628.897	61.447
633.431	61.107
647.277	60.110
660.212	59.178
673.089	58.837
687.564	58.584
700.834	58.080
713.375	57.914
727.316	57.499
740.681	57.498
750.138	57.585
761.086	57.585
771.700	57.244
774.595	57.244
783.665	57.583
789.454	57.583
793.651	57.582
803.058	57.582
804.310	57.582
815.598	57.921
826.164	58.348
838.125	58.096
848.497	58.436
859.832	58.523
870.286	58.798
881.816	58.358
892.428	58.533
904.780	58.532
916.307	58.960
927.596	59.210
940.090	59.462
950.463	59.625
961.456	59.876
972.364	59.876
985.239	60.291
995.901	60.706
