% T(K)  Cp/R    S/R     H/R     phi/R
20	0.0182	0.0112	0.1677	0.0028
30	0.0753	0.0277	0.6353	0.0065
40	0.2025	0.0616	1.967	0.0124
50	0.4031	0.1244	4.837	0.0277
60	0.6709	0.2213	9.982	0.0549
70	0.9933	0.351	18.04	0.0932
80	1.354	0.5095	29.76	0.1376
90	1.736	0.6926	45.19	0.1904
100	2.123	0.896	64.49	0.2511
110	2.502	1.116	87.62	0.3191
120	2.864	1.348	114.5	0.394
130	3.203	1.589	144.8	0.4754
140	3.515	1.837	178.4	0.5627
150	3.799	2.089	215	0.6552
160	4.056	2.342	254.3	0.7522
170	4.286	2.594	296.1	0.8529
180	4.493	2.845	340	0.9566
190	4.677	3.093	385.8	1.063
200	4.842	3.338	433.4	1.171
210	4.989	3.578	482.6	1.28
220	5.12	3.814	533.2	1.39
230	5.238	4.044	585	1.501
240	5.344	4.27	637.9	1.612
250	5.439	4.49	691.8	1.723
260	5.525	4.705	746.6	1.834
270	5.603	4.915	802.3	1.944
280	5.674	5.12	858.7	2.054
290	5.738	5.321	915.7	2.163
298.15	5.787	5.48	962.7	2.251
300	5.797	5.516	973.4	2.271
310	5.852	5.707	1031.7	2.379
320	5.901	5.893	1090.4	2.486
330	5.947	6.075	1149.7	2.591
340	5.99	6.253	1209.4	2.696
350	6.03	6.427	1269.5	2.8
360	6.067	6.598	1330	2.903
370	6.101	6.764	1390.8	3.005
380	6.134	6.928	1452	3.107
390	6.164	7.087	1513.5	3.207
400	6.193	7.244	1575.3	3.306
