% Supplemental Table S1: P-V-T data on Fe–9Si from synchrotron X-ray diffraction experiments.
% Phase(s)	T sample (K)	± (K)	Pressure (GPa)	± (GPa)	a KBr (Å)	± (Å)	a D03 alloy (Å)	± (Å)	a hcp alloy (Å)	± (Å)	c/a hcp alloy	±	a B2 alloy (Å)	± (Å)	a fcc alloy (Å)	± (Å)
D03	300	0	0.0	0.0	-	-	5.697	0.003	-	-	-	-	-	-	-	-
D03	300	0	2.7	0.0	3.844	0.001	5.668	0.002	-	-	-	-	-	-	-	-
D03	300	0	4.5	0.0	3.782	0.001	5.651	0.002	-	-	-	-	-	-	-	-
D03	300	0	8.2	0.1	3.685	0.002	5.622	0.001	-	-	-	-	-	-	-	-
D03	300	0	11.0	0.0	3.628	0.001	5.601	0.003	-	-	-	-	-	-	-	-
D03	300	0	14.1	0.1	3.575	0.001	5.580	0.003	-	-	-	-	-	-	-	-
D03	300	0	16.0	0.1	3.546	0.001	5.565	0.001	-	-	-	-	-	-	-	-
D03	300	0	17.8	0.1	3.522	0.001	5.551	0.002	-	-	-	-	-	-	-	-
D03	300	0	19.5	0.1	3.500	0.001	5.539	0.001	-	-	-	-	-	-	-	-
D03	300	0	21.0	0.1	3.482	0.001	5.532	0.003	-	-	-	-	-	-	-	-
D03	300	0	22.9	0.1	3.462	0.001	5.518	0.002	-	-	-	-	-	-	-	-
D03	300	0	24.6	0.1	3.444	0.001	5.502	0.005	-	-	-	-	-	-	-	-
D03	300	0	26.2	0.1	3.429	0.001	5.497	0.003	-	-	-	-	-	-	-	-
D03	300	0	27.5	0.1	3.416	0.001	5.491	0.005	-	-	-	-	-	-	-	-
D03	300	0	28.8	0.4	3.405	0.003	5.487	0.005	-	-	-	-	-	-	-	-
hcp	1187	109	59.4	1.1	3.219	0.005	-	-	2.385	0.003	1.617	0.002	-	-	-	-
hcp	1272	112	59.3	1.1	3.220	0.004	-	-	2.386	0.004	1.617	0.003	-	-	-	-
hcp	1386	112	59.6	1.1	3.220	0.005	-	-	2.386	0.004	1.619	0.002	-	-	-	-
hcp	1475	110	59.5	1.1	3.220	0.005	-	-	2.384	0.003	1.619	0.002	-	-	-	-
hcp	1331	115	71.6	1.3	3.168	0.005	-	-	2.359	0.001	1.620	0.001	-	-	-	-
hcp	1405	116	71.5	1.3	3.169	0.005	-	-	2.359	0.001	1.621	0.001	-	-	-	-
hcp	1490	120	71.6	1.3	3.169	0.005	-	-	2.361	0.001	1.620	0.001	-	-	-	-
hcp	1643	118	72.0	1.3	3.168	0.005	-	-	2.359	0.001	1.622	0.001	-	-	-	-
hcp	1698	125	72.1	1.4	3.168	0.005	-	-	2.358	0.002	1.622	0.001	-	-	-	-
