% Supplemental Table S2: P-V-T data on FeSi from synchrotron X-ray diffraction experiments.
% Phase(s)	T sample (K)	± (K)	Pressure (GPa)	± (GPa)	a KBr (Å)	± (Å)	a B20 alloy (Å)	± (Å)	a B2 alloy (Å)	± (Å)
B20	300	0	0.0001	0.0	0	0	4.488	0.002	-	-
B20	300	0	5.4	0.0	3.756	0.001	4.451	0.002	-	-
B20	300	0	6.5	0.0	3.724	0.000	4.444	0.001	-	-
B20	300	0	9.5	0.1	3.657	0.002	4.424	0.001	-	-
B20	300	0	10.7	0.0	3.632	0.000	4.414	0.001	-	-
B20	300	0	11.9	0.0	3.611	0.000	4.409	0.001	-	-
B20	300	0	13.2	0.0	3.589	0.000	4.400	0.000	-	-
B20	300	0	14.6	0.0	3.567	0.000	4.392	0.001	-	-
B20	300	0	15.2	0.0	3.557	0.000	4.387	0.001	-	-
B20	300	0	16.3	0.0	3.542	0.000	4.383	0.002	-	-
B20	300	0	17.2	0.0	3.530	0.000	4.378	0.001	-	-
B20	300	0	18.5	0.1	3.513	0.001	4.367	0.002	-	-
B20	300	0	20.0	0.1	3.494	0.001	4.362	0.001	-	-
B20	300	0	20.6	0.1	3.488	0.001	4.358	0.002	-	-
B20	300	0	22.1	0.1	3.470	0.001	4.352	0.002	-	-
B20	300	0	23.5	0.1	3.456	0.001	4.345	0.001	-	-
B20	300	0	24.2	0.2	3.448	0.002	4.340	0.002	-	-
B20	300	0	25.1	0.1	3.439	0.001	4.338	0.001	-	-
B20	300	0	26.2	0.3	3.429	0.003	4.334	0.002	-	-
B20	300	0	28.0	0.2	3.412	0.002	4.324	0.003	-	-
B20	300	0	29.3	0.3	3.400	0.003	4.316	0.004	-	-
B20	300	0	30.8	0.2	3.388	0.002	4.314	0.002	-	-
B20	300	0	31.4	0.1	3.383	0.001	4.314	0.001	-	-
B20	300	0	33.2	0.3	3.368	0.002	4.303	0.001	-	-
B20	300	0	34.2	0.3	3.361	0.002	4.302	0.001	-	-
B20	300	0	35.8	0.3	3.349	0.002	4.293	0.002	-	-
B20	300	0	36.3	0.3	3.345	0.002	4.290	0.001	-	-
B20+B2	1350	107	13.7	0.5	3.604	0.001	4.436	0.002	2.779	0.001
B20+B2	1467	107	13.7	0.5	3.607	0.001	4.447	0.002	2.788	0.001
B20+B2	1571	129	13.8	0.6	3.607	0.001	4.436	0.002	2.785	0.002
B20+B2	1629	119	13.7	0.6	3.611	0.000	4.439	0.004	2.801	0.012
B20+B2	1750	152	13.7	0.7	3.614	0.000	4.444	0.003	2.795	0.006
B20+B2	2050	156	18.4	0.8	3.546	0.001	4.442	0.004	2.760	0.007
B20+B2	1842	120	23.3	0.7	3.481	0.002	4.415	0.003	2.755	0.002
B20+B2	1963	130	23.5	0.8	3.481	0.002	4.417	0.002	2.756	0.003
B20+B2	1753	114	23.2	0.7	3.480	0.002	4.405	0.003	2.752	0.002
B20+B2	1528	107	22.9	0.6	3.480	0.002	4.400	0.002	2.746	0.002
B20+B2	1408	108	22.8	0.5	3.480	0.002	4.396	0.001	2.745	0.003
B20+B2	1262	104	22.7	0.5	3.478	0.002	4.391	0.001	2.741	0.003
B20+B2	1194	104	22.8	0.4	3.476	0.002	4.383	0.002	2.737	0.004
B20+B2	1903	125	23.3	0.8	3.481	0.002	4.417	0.003	2.758	0.004
B20+B2	2137	115	23.7	0.9	3.481	0.002	4.416	0.004	2.760	0.003
B20+B2	2249	124	23.7	0.9	3.482	0.002	4.414	0.002	2.760	0.002
B20+B2	2379	137	24.1	1.0	3.480	0.002	4.418	0.004	2.762	0.002
B20+B2	1878	112	27.6	0.8	3.436	0.002	4.390	0.003	2.739	0.004
B20+B2	1976	113	27.7	0.8	3.436	0.002	4.389	0.002	2.753	0.004
B20+B2	2109	136	27.7	0.9	3.438	0.002	4.402	0.002	2.759	0.004
B20+B2	2234	118	28.0	0.9	3.438	0.002	4.399	0.002	2.760	0.001
B20+B2	1707	113	27.2	0.7	3.437	0.002	4.383	0.002	2.733	0.004
B20+B2	2053	138	31.1	0.8	3.406	0.001	4.358	0.003	2.712	0.003
B20+B2	2275	158	31.7	0.9	3.403	0.002	4.366	0.008	2.714	0.003
B20+B2	2346	164	31.6	1.0	3.405	0.002	4.379	0.002	2.708	0.002
B20+B2	2134	147	31.7	0.9	3.401	0.002	4.379	0.006	2.706	0.001
B20+B2	1951	124	31.3	0.8	3.403	0.001	4.368	0.002	2.707	0.004
B20+B2	1800	129	31.3	0.7	3.401	0.001	4.363	0.003	2.709	0.004
B20+B2	1530	116	31.0	0.6	3.401	0.001	4.357	0.002	2.700	0.001
B20+B2	1432	116	31.0	0.5	3.399	0.001	4.354	0.004	2.697	0.001
B20+B2	1367	116	34.8	0.7	3.367	0.004	4.336	0.009	2.692	0.005
B20+B2	1728	141	35.0	0.8	3.370	0.003	**	**	**	**
B20+B2	1539	115	34.8	0.6	3.369	0.002	4.292	0.003	2.693	0.003
B20+B2	1265	109	34.5	0.5	3.369	0.002	4.286	*	2.695	0.002
B20+B2	1205	108	39.3	0.7	3.332	0.004	4.296	0.001	2.669	0.001
B20+B2	1373	114	39.1	0.6	3.336	0.003	4.282	0.009	2.673	0.000
B20+B2	1532	112	39.9	0.9	3.332	0.005	4.294	*	2.678	0.002
B20+B2	1667	109	39.6	0.7	3.335	0.002	4.288	0.003	2.687	0.001
B20+B2	2084	115	39.9	0.8	3.337	0.001	4.274	0.005	2.690	0.001
B2	1176	107	42.7	0.7	3.310	0.004	-	-	2.666	0.001
B2	1366	108	42.8	0.7	3.311	0.003	-	-	2.669	0.000
B2	2200	129	43.6	0.9	3.313	0.002	-	-	2.690	0.002
B2	1985	114	43.3	0.8	3.313	0.002	-	-	2.685	0.003
B2	1855	112	43.3	0.8	3.312	0.002	-	-	2.678	0.003
B2	1761	110	43.2	0.7	3.312	0.001	-	-	2.676	0.003
B2	1676	109	43.2	0.7	3.311	0.002	-	-	2.673	0.004
B2	1576	111	43.1	0.6	3.311	0.001	-	-	2.673	0.003
B2	1478	107	43.3	0.6	3.309	0.002	-	-	2.672	0.004
B2	1282	105	43.4	0.6	3.307	0.003	-	-	2.669	0.003
B2	1297	119	46.4	0.7	3.288	0.003	-	-	2.651	0.001
B2	1448	108	46.9	0.7	3.286	0.003	-	-	2.656	0.002
B2	1553	111	46.9	0.7	3.287	0.002	-	-	2.657	0.002
B2	1647	109	47.2	0.7	3.286	0.001	-	-	2.659	0.002
B2	1757	110	47.5	0.8	3.286	0.002	-	-	2.662	0.001
B2	1842	111	47.6	0.8	3.285	0.002	-	-	2.664	0.001
B2	2072	116	47.6	0.9	3.287	0.002	-	-	2.670	0.001
B2	1977	114	47.7	0.8	3.286	0.002	-	-	2.671	0.002
B2	1277	116	50.8	1.2	3.263	0.006	-	-	2.642	0.002
