>> -W1,black 
0.001 12.5355038117
0.40099 12.5325902154
0.80098 12.5296810349
1.20097 12.5267762568
1.60096 12.5238758682
2.00095 12.5209798558
2.40094 12.5180882067
2.80093 12.5152009078
3.20092 12.5123179464
3.60091 12.5094393095
4.0009 12.5065649843
4.40089 12.503694958
4.80088 12.5008292181
5.20087 12.4979677519
5.60086 12.4951105467
6.00085 12.4922575901
6.40084 12.4894088696
6.80083 12.4865643728
7.20082 12.4837240873
7.60081 12.4808880009
8.0008 12.4780561012
8.40079 12.4752283762
8.80078 12.4724048136
9.20077 12.4695854013
9.60076 12.4667701274
10.00075 12.4639589798
10.40074 12.4611519467
10.80073 12.458349016
11.20072 12.4555501761
11.60071 12.452755415
12.0007 12.4499647211
12.40069 12.4471780828
12.80068 12.4443954883
13.20067 12.4416169261
13.60066 12.4388423847
14.00065 12.4360718525
14.40064 12.4333053183
14.80063 12.4305427705
15.20062 12.4277841978
15.60061 12.425029589
16.0006 12.4222789328
16.40059 12.419532218
16.80058 12.4167894335
17.20057 12.4140505681
17.60056 12.4113156109
18.00055 12.4085845509
18.40054 12.405857377
18.80053 12.4031340783
19.20052 12.4004146441
19.60051 12.3976990634
20.0005 12.3949873255
20.40049 12.3922794197
20.80048 12.3895753352
21.20047 12.3868750616
21.60046 12.384178588
22.00045 12.381485904
22.40044 12.3787969992
22.80043 12.3761118629
23.20042 12.3734304848
23.60041 12.3707528546
24.0004 12.3680789618
24.40039 12.3654087962
24.80038 12.3627423475
25.20037 12.3600796056
25.60036 12.3574205602
26.00035 12.3547652012
26.40034 12.3521135186
26.80033 12.3494655022
27.20032 12.3468211422
27.60031 12.3441804285
28.0003 12.3415433512
28.40029 12.3389099005
28.80028 12.3362800664
29.20027 12.3336538392
29.60026 12.3310312092
30.00025 12.3284121665
30.40024 12.3257967016
30.80023 12.3231848048
31.20022 12.3205764664
31.60021 12.3179716769
32.0002 12.3153704268
32.40019 12.3127727066
32.80018 12.3101785068
33.20017 12.3075878181
33.60016 12.305000631
34.00015 12.3024169361
34.40014 12.2998367243
34.80013 12.2972599863
35.20012 12.2946867127
35.60011 12.2921168944
36.0001 12.2895505223
36.40009 12.2869875872
36.80008 12.2844280801
37.20007 12.2818719919
37.60006 12.2793193136
38.00005 12.2767700362
38.40004 12.2742241508
38.80003 12.2716816485
39.20002 12.2691425203
39.60001 12.2666067575
40.0 12.2640743513
>> -W1,black 
0.001 12.6333057575
0.40099 12.6302400847
0.80098 12.6271792942
1.20097 12.6241233708
1.60096 12.6210722991
2.00095 12.6180260639
2.40094 12.6149846502
2.80093 12.6119480429
3.20092 12.608916227
3.60091 12.6058891875
4.0009 12.6028669097
4.40089 12.5998493788
4.80088 12.5968365799
5.20087 12.5938284986
5.60086 12.5908251202
6.00085 12.5878264302
6.40084 12.5848324143
6.80083 12.5818430579
7.20082 12.5788583468
7.60081 12.5758782668
8.0008 12.5729028037
8.40079 12.5699319433
8.80078 12.5669656717
9.20077 12.5640039748
9.60076 12.5610468387
10.00075 12.5580942496
10.40074 12.5551461936
10.80073 12.5522026571
11.20072 12.5492636264
11.60071 12.5463290878
12.0007 12.5433990279
12.40069 12.540473433
12.80068 12.5375522899
13.20067 12.5346355851
13.60066 12.5317233054
14.00065 12.5288154374
14.40064 12.525911968
14.80063 12.5230128841
15.20062 12.5201181726
15.60061 12.5172278205
16.0006 12.5143418148
16.40059 12.5114601427
16.80058 12.5085827913
17.20057 12.5057097478
17.60056 12.5028409995
18.00055 12.4999765337
18.40054 12.4971163379
18.80053 12.4942603994
19.20052 12.4914087057
19.60051 12.4885612445
20.0005 12.4857180032
20.40049 12.4828789697
20.80048 12.4800441315
21.20047 12.4772134764
21.60046 12.4743869924
22.00045 12.4715646671
22.40044 12.4687464887
22.80043 12.465932445
23.20042 12.463122524
23.60041 12.460316714
24.0004 12.4575150029
24.40039 12.454717379
24.80038 12.4519238305
25.20037 12.4491343457
25.60036 12.446348913
26.00035 12.4435675206
26.40034 12.4407901572
26.80033 12.4380168111
27.20032 12.4352474708
27.60031 12.432482125
28.0003 12.4297207623
28.40029 12.4269633714
28.80028 12.424209941
29.20027 12.4214604598
29.60026 12.4187149167
30.00025 12.4159733006
30.40024 12.4132356004
30.80023 12.4105018051
31.20022 12.4077719036
31.60021 12.405045885
32.0002 12.4023237384
32.40019 12.399605453
32.80018 12.396891018
33.20017 12.3941804225
33.60016 12.391473656
34.00015 12.3887707076
34.40014 12.3860715668
34.80013 12.383376223
35.20012 12.3806846657
35.60011 12.3779968843
36.0001 12.3753128685
36.40009 12.3726326077
36.80008 12.3699560916
37.20007 12.36728331
37.60006 12.3646142525
38.00005 12.3619489089
38.40004 12.359287269
38.80003 12.3566293226
39.20002 12.3539750596
39.60001 12.3513244699
40.0 12.3486775436
>> -W1,black 
0.001 12.7075728587
0.40099 12.7043865609
0.80098 12.701205532
1.20097 12.6980297548
1.60096 12.6948592123
2.00095 12.6916938873
2.40094 12.6885337631
2.80093 12.6853788226
3.20092 12.6822290492
3.60091 12.6790844262
4.0009 12.6759449368
4.40089 12.6728105647
4.80088 12.6696812933
5.20087 12.6665571063
5.60086 12.6634379873
6.00085 12.6603239202
6.40084 12.6572148887
6.80083 12.654110877
7.20082 12.6510118688
7.60081 12.6479178484
8.0008 12.6448288
8.40079 12.6417447076
8.80078 12.6386655557
9.20077 12.6355913287
9.60076 12.6325220109
10.00075 12.629457587
10.40074 12.6263980415
10.80073 12.6233433591
11.20072 12.6202935246
11.60071 12.6172485228
12.0007 12.6142083386
12.40069 12.6111729569
12.80068 12.6081423628
13.20067 12.6051165413
13.60066 12.6020954777
14.00065 12.5990791572
14.40064 12.5960675651
14.80063 12.5930606868
15.20062 12.5900585077
15.60061 12.5870610133
16.0006 12.5840681892
16.40059 12.581080021
16.80058 12.5780964946
17.20057 12.5751175955
17.60056 12.5721433097
18.00055 12.5691736231
18.40054 12.5662085217
18.80053 12.5632479914
19.20052 12.5602920184
19.60051 12.5573405888
20.0005 12.5543936889
20.40049 12.5514513049
20.80048 12.5485134232
21.20047 12.5455800302
21.60046 12.5426511124
22.00045 12.5397266562
22.40044 12.5368066484
22.80043 12.5338910754
23.20042 12.5309799241
23.60041 12.5280731813
24.0004 12.5251708336
24.40039 12.5222728681
24.80038 12.5193792717
25.20037 12.5164900313
25.60036 12.5136051341
26.00035 12.5107245672
26.40034 12.5078483176
26.80033 12.5049763728
27.20032 12.5021087199
27.60031 12.4992453463
28.0003 12.4963862393
28.40029 12.4935313866
28.80028 12.4906807755
29.20027 12.4878343936
29.60026 12.4849922286
30.00025 12.4821542682
30.40024 12.4793204999
30.80023 12.4764909117
31.20022 12.4736654914
31.60021 12.4708442268
32.0002 12.4680271059
32.40019 12.4652141167
32.80018 12.4624052473
33.20017 12.4596004856
33.60016 12.4567998199
34.00015 12.4540032384
34.40014 12.4512107293
34.80013 12.4484222809
35.20012 12.4456378816
35.60011 12.4428575198
36.0001 12.4400811838
36.40009 12.4373088623
36.80008 12.4345405437
37.20007 12.4317762167
37.60006 12.4290158699
38.00005 12.4262594919
38.40004 12.4235070716
38.80003 12.4207585977
39.20002 12.418014059
39.60001 12.4152734445
40.0 12.412536743
>> -W1,black 
0.001 12.7865054258
0.40099 12.7831858529
0.80098 12.7798719929
1.20097 12.7765638264
1.60096 12.7732613341
2.00095 12.7699644968
2.40094 12.7666732954
2.80093 12.7633877109
3.20092 12.7601077244
3.60091 12.7568333171
4.0009 12.7535644703
4.40089 12.7503011652
4.80088 12.7470433835
5.20087 12.7437911066
5.60086 12.7405443162
6.00085 12.7373029941
6.40084 12.734067122
6.80083 12.7308366819
7.20082 12.7276116559
7.60081 12.7243920259
8.0008 12.7211777743
8.40079 12.7179688832
8.80078 12.7147653351
9.20077 12.7115671123
9.60076 12.7083741975
10.00075 12.7051865732
10.40074 12.7020042222
10.80073 12.6988271273
11.20072 12.6956552712
11.60071 12.692488637
12.0007 12.6893272078
12.40069 12.6861709666
12.80068 12.6830198966
13.20067 12.6798739811
13.60066 12.6767332036
14.00065 12.6735975474
14.40064 12.670466996
14.80063 12.6673415332
15.20062 12.6642211425
15.60061 12.6611058076
16.0006 12.6579955126
16.40059 12.6548902412
16.80058 12.6517899775
17.20057 12.6486947055
17.60056 12.6456044094
18.00055 12.6425190734
18.40054 12.6394386817
18.80053 12.6363632189
19.20052 12.6332926692
19.60051 12.6302270172
20.0005 12.6271662475
20.40049 12.6241103448
20.80048 12.6210592938
21.20047 12.6180130793
21.60046 12.6149716861
22.00045 12.6119350993
22.40044 12.6089033037
22.80043 12.6058762846
23.20042 12.6028540271
23.60041 12.5998365163
24.0004 12.5968237377
24.40039 12.5938156764
24.80038 12.5908123181
25.20037 12.5878136481
25.60036 12.584819652
26.00035 12.5818303155
26.40034 12.5788456242
26.80033 12.5758655639
27.20032 12.5728901204
27.60031 12.5699192797
28.0003 12.5669530276
28.40029 12.5639913502
28.80028 12.5610342335
29.20027 12.5580816638
29.60026 12.5551336272
30.00025 12.5521901099
30.40024 12.5492510984
30.80023 12.5463165789
31.20022 12.543386538
31.60021 12.5404609622
32.0002 12.5375398381
32.40019 12.5346231522
32.80018 12.5317108913
33.20017 12.5288030421
33.60016 12.5258995914
34.00015 12.5230005262
34.40014 12.5201058333
34.80013 12.5172154998
35.20012 12.5143295127
35.60011 12.511447859
36.0001 12.508570526
36.40009 12.5056975008
36.80008 12.5028287708
37.20007 12.4999643233
37.60006 12.4971041456
38.00005 12.4942482253
38.40004 12.4913965497
38.80003 12.4885491065
39.20002 12.4857058832
39.60001 12.4828668676
40.0 12.4800320472
