% P(GPa) errP   T(K)    errT    Ref
  500    30     8300    300     1 Millot et al., 2015
  15     1.0    3400    130     2 Shen and Lazor, 1995, S1a
  18     1.3    3450    120     2
  22     2.0    3900    150     2
  25     1.5    4100    180     2
  27     2.0    3950    180     2
  30     1.0    4100    280     2
  37     2.0    4250    200     2
  70     0.0    4500    200     3 Lyzenga et al., 1983
 116.5   1.0    4900    110     3
  23     0.0    0       0       4 Kondo et al., 1983
  31     0.0    0       0       4 
  14.0   0.0    3128    0       5 Zhang et al., 1993
