# T (K)   C11 (GPa)   C12 (GPa)   C44 (GPa)
300       298.96      96.42       157.13
350       295.94      96.68       156.46
400       292.94      97.02       155.78
450       289.9       97.34       155.03
500       286.92      97.64       154.33
550       283.8       97.88       153.56
600       280.62      98          152.84
650       277.49      98.15       152.03
700       274.47      98.43       151.31
750       271.25      98.43       150.49
800       268.22      98.54       149.68
850       265.14      98.6        148.89
900       261.94      98.62       148.11
950       258.85      98.73       147.33
1000      255.74      98.74       146.52
1050      252.59      98.65       145.61
1100      249.52      98.6        144.77
1150      246.37      98.43       143.92
1200      243.32      98.38       143.06
1250      240.23      98.23       142.18
1300      237.15      98.05       141.33
1350      234.04      97.8        140.43
1400      230.96      97.56       139.54
1450      227.9       97.28       138.72
1500      224.88      97.08       137.86
1550      221.9       96.64       137.06
1600      219.04      96.44       136.24
1650      216.27      96.11       135.43
1700      213.43      95.69       134.65
1750      210.71      95.31       133.89
1800      208.18      95.02       133.12
