# T(K)        # a (A)
18.7438095711  4.20711799524
28.050977845  4.20707846281
40.219499932  4.20689323007
88.909772408  4.2070564524
88.547247943  4.20680341895
98.5704020353  4.20676362758
103.232078236  4.207195938
104.659518317  4.20694225719
110.393878515  4.20730184693
113.611930508  4.20708368489
118.269075153  4.2072628324
131.516754888  4.20736654029
132.594617806  4.20758314865
136.889237987  4.20750926272
141.543793171  4.2075437457
141.549619457  4.20786924088
143.691750626  4.20754296886
148.706888181  4.20772198689
148.345658446  4.20754128571
156.224091909  4.20768310183
158.023119566  4.2081887803
173.771570745  4.20800225283
199.193598854  4.20824622316
231.443386842  4.20993437876
246.48944687  4.21050759899
263.684111718  4.21111620851
276.936323009  4.21147307932
297.717390601  4.21244205543
297.726453712  4.21294838126
