% Temperature K  Volume of y-Fe angstrom^3  Pressure GPa  V/V0 of MgO angstrom^3 
% M680
1673 49.533 0.040   1.92 0.04  1.04744 0.00035 
1473 48.992 0.031   1.58 0.10  1.03971 0.00076 
1273 48.572 0.027   1.18 0.14  1.03287 0.00104 
1073 48.233 0.008   0.53 0.10  1.02811 0.00074 
1873 48.654 0.022   5.85 0.25  1.02736 0.00181 
1673 48.188 0.034   5.17 0.16  1.02282 0.00110 
1473 47.839 0.026   4.51 0.23  1.01824 0.00163 
1273 47.502 0.022   3.99 0.16  1.01293 0.00110 
1073 47.177 0.020   3.32 0.13  1.00875 0.00083 
1873 46.894 0.035  10.59 0.29  0.99554 0.00177 
1673 46.638 0.014   9.85 0.25  0.99209 0.00155 
1473 46.316 0.012   9.33 0.17  0.98738 0.00098 
1273 45.989 0.031   8.57 0.21  0.98425 0.00123 
1073 45.725 0.024   7.69 0.07  0.98185 0.00037 
873  45.447 0.034   7.10 0.05  0.97797 0.00027 
1873 44.965 0.021  17.40 0.13  0.95740 0.00064 
1673 44.692 0.024  16.72 0.16  0.95426 0.00082 
1473 44.412 0.024  15.98 0.10  0.95152 0.00047 
1273 44.171 0.019  15.37 0.16  0.94820 0.00078 
1073 43.932 0.019  14.70 0.18  0.94525 0.00083 
1673 49.441 0.011   2.00 0.10  1.04682 0.00084 
1473 48.898 0.014   1.64 0.09  1.03925 0.00074 
1273 48.468 0.020   1.16 0.13  1.03299 0.00099 
1073 48.099 0.019   0.70 0.15  1.02684 0.00110 
1873 47.428 0.017   8.86 0.16  1.00657 0.00104 
1673 47.069 0.023   7.98 0.12  1.00379 0.00079 
1473 46.755 0.020   7.35 0.10  0.99945 0.00063 
1273 46.464 0.027   6.74 0.17  0.99517 0.00104 
1073 46.156 0.026   5.97 0.13  0.99197 0.00079 
873  45.880 0.020   5.30 0.22  0.98837 0.00133 
1873 46.182 0.022  12.70 0.11  0.98292 0.00066 
1673 45.950 0.021  12.00 0.11  0.97941 0.00064 
1473 45.620 0.025  11.26 0.06  0.97628 0.00035 
1273 45.353 0.015  10.46 0.11  0.97352 0.00058 
1073 45.097 0.009   9.82 0.33  0.96998 0.00181 
873  44.837 0.011   9.01 0.08  0.96750 0.00044 
1873 45.471 0.015  15.12 0.20  0.96937 0.00110 
1673 45.184 0.021  14.44 0.11  0.96604 0.00059 
% M710
1473 44.942 0.020  13.72 0.16  0.96298 0.00083 
1273 44.732 0.010  12.98 0.22  0.96010 0.00111 
1073 44.478 0.016  12.23 0.19  0.95737 0.00095 
 873 44.242 0.015  11.47 0.15  0.95483 0.00074 
1873 44.536 0.004  19.00 0.13  0.94946 0.00062 
1673 44.241 0.012  18.30 0.27  0.94654 0.00131 
1473 44.026 0.016  17.63 0.10  0.94356 0.00046 
1273 43.763 0.013  16.91 0.25  0.94092 0.00118 
1073 43.524 0.021  16.22 0.13  0.93820 0.00060 
 873 43.288 0.018  15.60 0.21  0.93524 0.00092 
1873 43.881 0.025  21.73 0.19  0.93657 0.00087 
1673 43.655 0.023  20.99 0.27  0.93405 0.00123 
1473 43.407 0.025  20.20 0.11  0.93180 0.00050 
1273 43.181 0.027  19.62 0.22  0.92870 0.00094 
1073 42.985 0.022  18.84 0.27  0.92656 0.00115 
 873 42.775 0.018  18.30 0.22  0.92346 0.00094 
1873 43.502 0.026  23.56 0.33  0.92840 0.00143 
1673 43.264 0.021  22.75 0.15  0.92630 0.00066 
1473 43.067 0.014  22.04 0.20  0.92383 0.00083 
1273 42.832 0.016  21.45 0.21  0.92089 0.00090 
1073 42.624 0.017  20.74 0.19  0.91855 0.00079 
 873 42.364 0.028  20.05 0.20  0.91621 0.00080 
