# Configuration  J  	  Level (cm-1)    Landé-g  	   Leading percentages	  	 
3d64s2-a-5D  	 4  	  0.000    	  1.50020  	   100
-  	  	 3  	  415.933    	  1.50034  	   100  	   	   	     	  	  	  	  
-  	  	 2  	  704.007    	  1.50041  	   100  	   	   	     	  	  	  	  
-  	  	 1  	  888.132    	  1.50022  	   100  	   	   	     	  	  	  	  
-  	  	 0  	  978.074    	  0.		   100  	  	  	  	 
3d7(4F)4s-a-5F   5  	  6928.268    	  1.40021  	   100  	   	   	     	  	  	  	  
-  	  	 4  	  7376.764    	  1.35004  	   100  	   	   	     	  	  	  	  
-  	  	 3  	  7728.060    	  1.24988  	   100  	   	   	     	  	  	  	  
-  	  	 2  	  7985.785    	  0.99953  	   100  	   	   	     	  	  	  	  
-  	  	 1  	  8154.714    	  -0.014    	   100  	  	  	  	 
3d7(4F)4s-a-3F   4  	  11976.239    	  1.254    	   98 
-  	  	 3  	  12560.934    	  1.086    	   98 
-  	  	 2  	  12968.554    	  0.670    	   98    	  	  	  	 
3d7(4P)4s-a-5P   3  	  17550.181    	  1.666    	   99  	   	   	     	  	  	  	  
-  	  	 2  	  17726.988    	  1.820    	   99  	   	   	     	  	  	  	  
-  	  	 1  	  17927.382    	  2.499    	   99  	   	   	     	  	  	  	  
