# Configuration  J  	 Level (cm-1)  	 Leading percentages	  	  	  	  	  	  	  	 
2p63s2-1S  	 0  	  0.000    	 93  	   	  	  	  	  	 
3s3p-3P^0  	 0  	  21850.405      98  	   	   	    
-  	  	 1  	  21870.464      98  	   	  
-  	  	 2  	  21911.178      98  	  	  	  	  	 
3s3p-1P^0  	 1  	  35051.264      94  	  	  	  	  	 
3s4s-3S  	 1  	  41197.403      98  	  	  	  	  	 
3s4s-1S  	 0  	  43503.333      96  	  	  	  	  	 
3s3d-1D  	 2  	  46403.065      77  	  	  	  	  	 
3s4p-3P^0  	 0  	  47841.119      99  	   
-  	  	 1  	  47844.414      99  	   	  
-  	  	 2  	  47851.162      99 
