# Configuration  J  	 Level(cm-1)  	 Leading percentages    	  	  	  	  	  	  	 
3s23p2-3P  	 0  	 0.000    	   100  
-  	  	 1  	 77.115    	   100  
-  	  	 2  	 223.157    	   100    	 
3s23p2-1D  	 2  	 6298.850    	   100    	  	  	 
3s23p2-1S  	 0  	 15394.370    	   100    	  	  	  	  	 
3s3p3-5S^0  	 2  	 33326.053    	   100  	  	  	  	  	 
3s23p4s-3P^0  	 0  	 39683.163    	   99  	   	
-  	  	 1  	 39760.285    	   98  	 
-  	  	 2  	 39955.053    	   99  	  	  	  	  	  	 
3s23p4s-1^0  	 1  	 40991.884    	   97  	
