# T(K) P(Pa) C11(Pa) C12(Pa) C44(Pa) 
3.000000e+02 0.000000e+00 3.012178e+11 9.372143e+10 1.461279e+11
3.000000e+02 1.000000e+10 3.910155e+11 1.082509e+11 1.565202e+11
3.000000e+02 2.000000e+10 4.851350e+11 1.216921e+11 1.647563e+11
3.000000e+02 3.000000e+10 5.705667e+11 1.363662e+11 1.716574e+11
3.000000e+02 4.000000e+10 6.525973e+11 1.503082e+11 1.777867e+11
3.000000e+02 5.000000e+10 7.333487e+11 1.638187e+11 1.830047e+11
3.000000e+02 6.000000e+10 8.133422e+11 1.774422e+11 1.880812e+11
3.000000e+02 7.000000e+10 8.911347e+11 1.902312e+11 1.923428e+11
3.000000e+02 8.000000e+10 9.708569e+11 2.031176e+11 1.966370e+11
3.000000e+02 9.000000e+10 1.047129e+12 2.157525e+11 2.003700e+11
3.000000e+02 1.000000e+11 1.123800e+12 2.283134e+11 2.039492e+11
3.000000e+02 1.100000e+11 1.197878e+12 2.403731e+11 2.071013e+11
3.000000e+02 1.200000e+11 1.272722e+12 2.525711e+11 2.103280e+11
3.000000e+02 1.300000e+11 1.346332e+12 2.646154e+11 2.132078e+11
3.000000e+02 1.400000e+11 1.420557e+12 2.765223e+11 2.159333e+11
3.000000e+02 1.500000e+11 1.493910e+12 2.889299e+11 2.186117e+11
1.000000e+03 0.000000e+00 2.515476e+11 9.751527e+10 1.378714e+11
1.000000e+03 1.000000e+10 3.527901e+11 1.121437e+11 1.492375e+11
1.000000e+03 2.000000e+10 4.470562e+11 1.267897e+11 1.586929e+11
1.000000e+03 3.000000e+10 5.307471e+11 1.412350e+11 1.662857e+11
1.000000e+03 4.000000e+10 6.164108e+11 1.556626e+11 1.729014e+11
1.000000e+03 5.000000e+10 6.950980e+11 1.696502e+11 1.785748e+11
1.000000e+03 6.000000e+10 7.767840e+11 1.835042e+11 1.839487e+11
1.000000e+03 7.000000e+10 8.555320e+11 1.968816e+11 1.885660e+11
1.000000e+03 8.000000e+10 9.340191e+11 2.102806e+11 1.930633e+11
1.000000e+03 9.000000e+10 1.010218e+12 2.229217e+11 1.969450e+11
1.000000e+03 1.000000e+11 1.087044e+12 2.359128e+11 2.008333e+11
1.000000e+03 1.100000e+11 1.162116e+12 2.483899e+11 2.040858e+11
1.000000e+03 1.200000e+11 1.237208e+12 2.609243e+11 2.073489e+11
1.000000e+03 1.300000e+11 1.310880e+12 2.728379e+11 2.103622e+11
1.000000e+03 1.400000e+11 1.383668e+12 2.849998e+11 2.132871e+11
1.000000e+03 1.500000e+11 1.458666e+12 2.972445e+11 2.160475e+11
2.000000e+03 0.000000e+00 1.826289e+11 1.069824e+11 1.200951e+11
2.000000e+03 1.000000e+10 2.863492e+11 1.190260e+11 1.360637e+11
2.000000e+03 2.000000e+10 3.824327e+11 1.320910e+11 1.477179e+11
2.000000e+03 3.000000e+10 4.725037e+11 1.464485e+11 1.568424e+11
2.000000e+03 4.000000e+10 5.586649e+11 1.610676e+11 1.645673e+11
2.000000e+03 5.000000e+10 6.403399e+11 1.757137e+11 1.707304e+11
2.000000e+03 6.000000e+10 7.230758e+11 1.901729e+11 1.769423e+11
2.000000e+03 7.000000e+10 8.005423e+11 2.043072e+11 1.818154e+11
2.000000e+03 8.000000e+10 8.789893e+11 2.182781e+11 1.867792e+11
2.000000e+03 9.000000e+10 9.555830e+11 2.317661e+11 1.909390e+11
2.000000e+03 1.000000e+11 1.031825e+12 2.451934e+11 1.951287e+11
2.000000e+03 1.100000e+11 1.107168e+12 2.581955e+11 1.986798e+11
2.000000e+03 1.200000e+11 1.181979e+12 2.710102e+11 2.021651e+11
2.000000e+03 1.300000e+11 1.255457e+12 2.834294e+11 2.052889e+11
2.000000e+03 1.400000e+11 1.327838e+12 2.957961e+11 2.083053e+11
2.000000e+03 1.500000e+11 1.402056e+12 3.078844e+11 2.117549e+11
3.000000e+03 0.000000e+00 1.028395e+11 1.130897e+11 8.952447e+10
3.000000e+03 1.000000e+10 2.168939e+11 1.254655e+11 1.188050e+11
3.000000e+03 2.000000e+10 3.171747e+11 1.383074e+11 1.347801e+11
3.000000e+03 3.000000e+10 4.128490e+11 1.517340e+11 1.461447e+11
3.000000e+03 4.000000e+10 5.003885e+11 1.660562e+11 1.550783e+11
3.000000e+03 5.000000e+10 5.839217e+11 1.809932e+11 1.621814e+11
3.000000e+03 6.000000e+10 6.671157e+11 1.959440e+11 1.690559e+11
3.000000e+03 7.000000e+10 7.473364e+11 2.106612e+11 1.746448e+11
3.000000e+03 8.000000e+10 8.257597e+11 2.253033e+11 1.801505e+11
3.000000e+03 9.000000e+10 9.015699e+11 2.394534e+11 1.845114e+11
3.000000e+03 1.000000e+11 9.779525e+11 2.537383e+11 1.888852e+11
3.000000e+03 1.100000e+11 1.052534e+12 2.671255e+11 1.928088e+11
3.000000e+03 1.200000e+11 1.127692e+12 2.804782e+11 1.965770e+11
3.000000e+03 1.300000e+11 1.200754e+12 2.931483e+11 1.999018e+11
3.000000e+03 1.400000e+11 1.273723e+12 3.056392e+11 2.031773e+11
3.000000e+03 1.500000e+11 1.345653e+12 3.186441e+11 2.066464e+11
