V[A3]	700.0	690.0	680.0	670.0	660.0	650.0	640.0	630.0	620.0	610.0	600.0	590.0	580.0	570.0
rho[g/cm3]	2.49	2.52	2.56	2.60	2.64	2.68	2.72	2.76	2.81	2.85	2.90	2.95	3.00	3.05
P[GPa]	-0.78	-0.22	0.51	1.36	2.30	3.32	4.42	5.58	6.78	7.94	8.67	9.51	10.57	11.81
c11	73.28	77.53	81.97	86.35	90.22	93.80	96.64	98.70	92.42	77.77	77.67	95.54	106.53	116.31
c22	146.19	158.54	167.26	173.04	176.04	177.82	178.74	179.71	187.12	190.43	188.07	191.46	198.21	206.46
c33	122.41	134.69	143.85	151.39	157.47	162.75	168.09	172.84	178.82	168.20	148.79	156.30	162.59	168.90
c12	22.79	28.67	33.92	38.11	41.65	44.62	47.08	49.55	49.73	47.19	40.74	47.01	53.88	60.42
c13	24.79	31.02	36.43	41.28	45.79	50.39	54.71	58.54	57.32	42.70	29.20	37.82	42.59	46.39
c23	-4.23	5.63	12.82	18.18	22.34	26.15	29.72	32.51	37.40	38.00	28.90	31.19	35.17	39.44
c14	2.73	2.79	2.80	2.78	3.16	3.47	3.77	4.08	3.73	6.32	5.65	2.41	0.93	0.09
c15	-9.41	-8.77	-7.95	-7.35	-7.01	-6.77	-6.74	-6.73	-6.10	-4.69	-6.37	-7.41	-8.00	-9.02
c16	-2.29	-2.53	-2.73	-3.04	-3.34	-3.53	-3.49	-3.80	-4.78	0.45	7.13	4.96	3.62	2.95
c24	-1.41	-2.99	-4.06	-4.23	-4.06	-3.77	-3.23	-2.73	-1.74	0.19	3.67	4.42	4.79	5.25
c25	-2.76	-0.23	1.91	3.37	4.22	4.80	5.06	5.20	5.74	5.99	5.59	5.34	5.59	5.76
c26	1.12	0.51	0.11	-0.07	0.26	0.92	2.01	3.15	2.60	4.50	10.97	12.27	11.74	10.33
c34	-1.46	-2.99	-4.13	-4.31	-3.63	-2.95	-2.11	-1.25	-0.48	3.26	4.45	0.79	-1.38	-2.48
c35	-24.31	-22.63	-21.20	-20.30	-20.02	-19.69	-19.54	-19.25	-18.26	-16.35	-17.50	-18.99	-19.85	-20.74
c36	-1.86	-2.99	-3.72	-4.06	-4.23	-4.29	-4.14	-3.67	-3.23	1.67	11.29	10.95	10.44	10.52
c45	8.22	6.10	4.42	3.34	2.52	1.92	1.49	1.27	1.67	1.85	3.39	3.88	4.22	4.89
c46	-1.08	-0.73	-0.58	-0.61	-0.51	-0.47	-0.31	-0.17	-1.58	-3.50	-4.63	-1.40	1.42	3.89
c56	3.23	2.99	3.06	3.30	3.49	3.92	4.19	4.65	6.08	6.19	6.85	6.47	5.57	4.78
c44	16.59	19.72	22.31	24.19	25.46	26.36	27.23	27.96	29.54	29.10	29.41	31.63	33.76	36.01
c55	29.28	31.37	33.51	35.30	36.37	37.41	38.28	39.01	40.71	41.33	42.10	42.31	42.15	41.77
c66	37.21	37.30	37.15	36.56	35.55	34.38	33.24	31.86	30.96	26.71	19.69	21.40	24.25	26.69
