# c11 c22 c33 c12 c13 c23 c44 c55 c66 BS G VP VS Vphi
874 1095 1077 539 436 469 311 255 296 655 276 13.9 7.2 11.1
1146 888 1139 454 418 507 311 238 352 656 294 14.0 7.4 11.1
1119 900 1131 498 486 536 343 231 326 685 284 14.0 7.3 11.3
6.4  4.5 6.3 2.9 2.3 2.5 3.1 2.2 2.7 3.6 2.2 0.032 0.022 0.022
-0.083 -0.037 -0.069 0.0011 0.022 -0.0054 -0.011 -0.028 -0.045 -0.017 -0.030 -0.00029 -0.0003 -0.000073
0.00061   0.00017   0.00026 -0.000063 0.000089 -0.00013 0.00076   0.00030   0.00014    0.000063   0.00032    0.0000035    0.0000053    0.0000012
# not clear whether these are isothermal or isentropic cijs
# rows correspond to:
# perovskite (row 1)
# postperovskite at 125 GPa and 2,500 K (2)
# postperovskite at 140 GPa and 4,000 K (5)
# postperovskite dM/dP, dM/dT and d2M/dPdT (linearized)
