# T (K)	R(Fsqr)	a (A)	unc a	c (A)	unc c	V	    unc V	Ox	    unc Ox	Oy	    unc Oy	Oz	    unc Oz	UO	    unc UO	Six	    unc Six	USi	    unc USi	Si-O-Si	unc SOS	<Si—O>	tilt
T_K	    R	    a	    unc_a	c	    unc_c	V	    unc_V	Ox	    unc_Ox	Oy	    unc_Oy	Oz	    unc_Oz	UO	    unc_UO	Six	    unc_Six	USi	    unc_USi	Si-O-Si	unc_SOS	<Si—O>	tilt
298.0	0.02	4.91341	0.00005	5.40505	0.00007	113.005	0.002	0.4125	0.0002	0.2648	0.0002	0.7874	0.0002	0.53	0.05	0.4719	0.0002	0.88	0.03	143.88	0.06	1.61	15.81
298.0	0.01	4.91339	0.00005	5.40498	0.00007	113.002	0.002	0.4125	0.0002	0.2649	0.0002	0.7874	0.0002	0.53	0.05	0.4719	0.0002	0.87	0.03	143.88	0.06	1.61	15.80
334.0	0.01	4.91576	0.00005	5.40641	0.00007	113.141	0.002	0.4128	0.0002	0.2641	0.0002	0.7878	0.0002	0.62	0.05	0.4723	0.0002	0.88	0.03	144.12	0.06	1.61	15.65
337.0	0.02	4.91596	0.00005	5.40649	0.00007	113.152	0.002	0.4128	0.0002	0.2640	0.0002	0.7881	0.0002	0.63	0.05	0.4723	0.0002	0.89	0.03	144.17	0.06	1.61	15.56
324.0	0.01	4.91506	0.00005	5.40592	0.00007	113.099	0.002	0.4128	0.0002	0.2644	0.0002	0.7877	0.0002	0.64	0.05	0.4721	0.0002	0.86	0.03	144.07	0.06	1.61	15.67
322.0	0.02	4.91490	0.00005	5.40582	0.00007	113.089	0.002	0.4127	0.0002	0.2643	0.0002	0.7877	0.0002	0.62	0.05	0.4721	0.0002	0.85	0.03	144.06	0.06	1.61	15.68
323.0	0.01	4.91494	0.00005	5.40585	0.00007	113.092	0.002	0.4126	0.0002	0.2644	0.0002	0.7877	0.0002	0.63	0.05	0.4721	0.0002	0.92	0.03	144.02	0.06	1.61	15.69
323.0	0.01	4.91493	0.00005	5.40581	0.00007	113.090	0.002	0.4126	0.0002	0.2642	0.0002	0.7877	0.0002	0.60	0.05	0.4720	0.0002	0.87	0.03	144.05	0.06	1.61	15.68
329.0	0.01	4.91531	0.00005	5.40604	0.00007	113.113	0.002	0.4127	0.0002	0.2642	0.0002	0.7879	0.0002	0.64	0.05	0.4721	0.0002	0.88	0.03	144.12	0.06	1.61	15.63
345.0	0.01	4.91637	0.00005	5.40666	0.00007	113.174	0.002	0.4128	0.0002	0.2638	0.0002	0.7881	0.0002	0.69	0.05	0.4724	0.0002	0.93	0.03	144.22	0.06	1.61	15.56
362.0	0.01	4.91755	0.00005	5.40738	0.00007	113.244	0.002	0.4129	0.0002	0.2634	0.0002	0.7884	0.0002	0.73	0.05	0.4726	0.0002	0.95	0.03	144.34	0.06	1.61	15.45
378.0	0.01	4.91866	0.00005	5.40802	0.00007	113.308	0.002	0.4129	0.0002	0.2630	0.0002	0.7887	0.0002	0.76	0.05	0.4728	0.0002	0.99	0.03	144.43	0.06	1.61	15.36
394.0	0.02	4.91979	0.00005	5.40870	0.00007	113.375	0.002	0.4131	0.0002	0.2627	0.0002	0.7890	0.0002	0.83	0.05	0.4730	0.0002	0.96	0.03	144.59	0.06	1.61	15.23
410.0	0.02	4.92091	0.00005	5.40934	0.00007	113.440	0.002	0.4132	0.0002	0.2623	0.0002	0.7894	0.0002	0.83	0.05	0.4732	0.0002	0.95	0.03	144.70	0.06	1.61	15.12
426.0	0.02	4.92211	0.00005	5.41008	0.00007	113.510	0.002	0.4132	0.0002	0.2619	0.0002	0.7896	0.0002	0.88	0.05	0.4734	0.0002	0.97	0.03	144.79	0.07	1.60	15.05
441.0	0.02	4.92323	0.00005	5.41072	0.00007	113.576	0.002	0.4134	0.0002	0.2615	0.0002	0.7900	0.0002	0.93	0.05	0.4736	0.0002	0.99	0.03	144.95	0.07	1.60	14.91
457.0	0.02	4.92451	0.00005	5.41149	0.00007	113.651	0.002	0.4134	0.0002	0.2611	0.0002	0.7902	0.0002	0.97	0.05	0.4739	0.0002	1.03	0.03	145.04	0.07	1.60	14.83
473.0	0.02	4.92577	0.00005	5.41227	0.00007	113.725	0.002	0.4135	0.0002	0.2605	0.0002	0.7906	0.0002	1.02	0.05	0.4743	0.0002	1.05	0.03	145.19	0.07	1.60	14.71
489.0	0.02	4.92705	0.00005	5.41302	0.00007	113.800	0.002	0.4135	0.0002	0.2599	0.0002	0.7910	0.0002	1.09	0.05	0.4745	0.0002	1.10	0.03	145.32	0.07	1.60	14.57
504.0	0.02	4.92827	0.00005	5.41371	0.00007	113.871	0.002	0.4137	0.0002	0.2597	0.0002	0.7915	0.0002	1.16	0.05	0.4748	0.0002	1.07	0.03	145.47	0.07	1.60	14.40
520.0	0.02	4.92956	0.00005	5.41451	0.00007	113.948	0.002	0.4137	0.0002	0.2593	0.0002	0.7918	0.0002	1.19	0.05	0.4750	0.0002	1.14	0.03	145.56	0.07	1.60	14.29
535.0	0.02	4.93093	0.00005	5.41533	0.00007	114.028	0.002	0.4138	0.0002	0.2590	0.0002	0.7922	0.0002	1.20	0.05	0.4752	0.0002	1.14	0.03	145.67	0.07	1.60	14.16
551.0	0.02	4.93247	0.00005	5.41631	0.00008	114.120	0.002	0.4140	0.0002	0.2585	0.0002	0.7926	0.0002	1.29	0.05	0.4755	0.0002	1.14	0.03	145.88	0.07	1.60	14.00
566.0	0.02	4.93391	0.00005	5.41718	0.00008	114.205	0.002	0.4141	0.0002	0.2580	0.0002	0.7930	0.0002	1.34	0.05	0.4759	0.0002	1.19	0.03	146.01	0.07	1.60	13.88
582.0	0.02	4.93545	0.00005	5.41820	0.00008	114.298	0.002	0.4143	0.0002	0.2577	0.0002	0.7935	0.0002	1.37	0.05	0.4762	0.0002	1.19	0.03	146.15	0.07	1.60	13.72
597.0	0.02	4.93706	0.00005	5.41919	0.00008	114.394	0.002	0.4143	0.0002	0.2574	0.0003	0.7940	0.0002	1.47	0.05	0.4764	0.0002	1.23	0.03	146.29	0.07	1.60	13.54
612.0	0.02	4.93865	0.00005	5.42019	0.00008	114.488	0.002	0.4141	0.0002	0.2568	0.0003	0.7944	0.0002	1.55	0.05	0.4769	0.0002	1.34	0.03	146.35	0.07	1.60	13.40
628.0	0.02	4.94035	0.00006	5.42127	0.00008	114.590	0.003	0.4145	0.0002	0.2563	0.0003	0.7951	0.0002	1.61	0.06	0.4772	0.0002	1.26	0.03	146.62	0.08	1.60	13.15
644.0	0.02	4.94205	0.00006	5.42238	0.00008	114.692	0.003	0.4146	0.0002	0.2559	0.0003	0.7957	0.0003	1.65	0.06	0.4777	0.0002	1.27	0.03	146.78	0.08	1.60	12.96
660.0	0.02	4.94402	0.00006	5.42360	0.00009	114.810	0.003	0.4147	0.0002	0.2551	0.0003	0.7964	0.0003	1.75	0.06	0.4781	0.0003	1.31	0.03	147.00	0.08	1.60	12.71
