# T(K)	Q (normalised)
296.15	1
324.15	0.987
417.15	0.939
450.15	0.93
475.15	0.911
500.15	0.9
525.15	0.877
550.15	0.867
575.15	0.845
600.15	0.829
625.15	0.816
650.15	0.797
675.15	0.768
705.15	0.748
725.15	0.726
750.15	0.698
775.15	0.656
778.15	0.649
783.15	0.642
793.15	0.617
801.15	0.611
803.15	0.602
812.15	0.574
823.15	0.548
825.15	0.542
826.15	0.531
835.15	0.488
837.75	0.48
839.7	0.463
840.38	0.46
843.4	0.434
844.3	0.423
844.6	0.419
844.82	0.415
845.05	0.409
845.2	0.408
845.25	0.406
845.57	0.399
845.82	0.395
846.07	0.389
846.33	0.384
