#			Neutron data
# T (K)	a	aerr	c	cerr	V	Verr
4	4.90158	0.00001	5.39896	0.00001	112.334	0.001
25	4.9016	0.00001	5.39898	0.00001	112.336	0.001
50	4.90189	0.00001	5.39907	0.00001	112.351	0.001
75	4.90249	0.00001	5.3993	0.00001	112.383	0.001
100	4.90326	0.00001	5.39965	0.00001	112.426	0.001
125	4.90423	0.00001	5.40011	0.00001	112.48	0.001
150	4.90532	0.00001	5.40068	0.00001	112.542	0.001
175	4.90651	0.00001	5.40132	0.00001	112.61	0.001
200	4.90779	0.00001	5.40201	0.00001	112.683	0.001
225	4.90922	0.00001	5.40283	0.00001	112.766	0.001
250	4.91071	0.00001	5.4037	0.00001	112.852	0.001
308	4.91478	0.00001	5.4062	0.00001	113.092	0.001
383	4.91995	0.00001	5.40916	0.00001	113.392	0.001
434	4.92406	0.00001	5.41173	0.00001	113.635	0.001
484	4.92851	0.00001	5.41454	0.00001	113.9	0.001
524	4.9322	0.00001	5.41688	0.00001	114.12	0.001
564	4.93602	0.00001	5.41933	0.00001	114.348	0.001
605	4.94027	0.00001	5.42203	0.00001	114.602	0.001
645	4.94506	0.00001	5.42509	0.00001	114.89	0.001
670	4.94961	0.00001	5.42835	0.00001	115.17	0.001
700	4.95297	0.00001	5.43048	0.00001	115.372	0.001
720	4.95565	0.00001	5.43212	0.00001	115.532	0.001
739	4.95857	0.00001	5.43407	0.00001	115.709	0.001
761	4.9618	0.00001	5.43608	0.00001	115.903	0.001
781	4.96534	0.00001	5.43835	0.00001	116.117	0.001
816	4.97424	0.00001	5.44404	0.00001	116.656	0.001
824	4.97722	0.00001	5.44599	0.00001	116.837	0.001
832	4.98081	0.00001	5.44828	0.00001	117.055	0.001
841	4.98624	0.00001	5.45169	0.00001	117.384	0.001
848	4.99672	0.00001	5.45768	0.00001	118.007	0.001
851	4.99795	0.00001	5.45892	0.00001	118.092	0.001
853	4.99803	0.00001	5.45894	0.00001	118.096	0.001
855	4.99809	0.00001	5.45897	0.00001	118.1	0.001
857	4.99816	0.00001	5.45896	0.00001	118.103	0.001
859	4.99819	0.00001	5.45906	0.00001	118.107	0.001
861	4.99828	0.00001	5.45896	0.00001	118.109	0.001
866	4.99839	0.00001	5.45901	0.00001	118.115	0.001
871	4.99846	0.00001	5.45903	0.00001	118.119	0.001
876	4.99852	0.00001	5.45902	0.00001	118.121	0.001
881	4.99861	0.00001	5.45894	0.00001	118.124	0.001
#			X-ray data
293	4.9135	0.0003	5.4042	0.0005	113.01	0.01
321	4.915	0.0003	5.4058	0.0006	113.09	0.02
346	4.9172	0.0004	5.4069	0.0008	113.22	0.02
370	4.9186	0.0004	5.409	0.0008	113.35	0.02
389	4.9216	0.0005	5.4083	0.0008	113.45	0.02
408	4.9223	0.0003	5.4095	0.0007	113.51	0.02
428	4.9231	0.0004	5.4105	0.0009	113.56	0.02
447	4.9254	0.0008	5.411	0.0013	113.68	0.03
466	4.9268	0.0007	5.4129	0.0012	113.79	0.02
486	4.9292	0.0005	5.4139	0.001	113.92	0.02
505	4.9308	0.0005	5.4164	0.0009	114.05	0.03
524	4.9339	0.0006	5.4172	0.001	114.2	0.03
544	4.9353	0.0005	5.419	0.001	114.31	0.02
563	4.9363	0.0005	5.4211	0.001	114.4	0.02
583	4.9397	0.0006	5.4227	0.0011	114.59	0.03
602	4.9416	0.0006	5.4243	0.0011	114.71	0.03
622	4.9438	0.0005	5.4247	0.001	114.82	0.02
641	4.9458	0.0005	5.4269	0.0009	114.96	0.02
660	4.9473	0.0004	5.4278	0.0007	115.05	0.02
680	4.9498	0.0003	5.4305	0.0007	115.23	0.02
699	4.9523	0.0004	5.4311	0.0008	115.35	0.02
718	4.9574	0.0005	5.4316	0.001	115.6	0.02
738	4.9603	0.0005	5.4345	0.001	115.8	0.02
757	4.9626	0.0006	5.4375	0.0009	115.97	0.02
776	4.9664	0.0006	5.4423	0.0011	116.25	0.03
796	4.9684	0.0007	5.4455	0.0009	116.42	0.03
805	4.9702	0.0007	5.4468	0.0011	116.53	0.03
815	4.9746	0.0007	5.4451	0.001	116.69	0.03
825	4.9785	0.0007	5.4459	0.001	116.9	0.03
834	4.9819	0.0006	5.4487	0.0008	117.1	0.03
844	4.9904	0.0014	5.4487	0.0021	117.51	0.07
854	4.9966	0.0005	5.4567	0.0009	117.89	0.02
864	4.9981	0.0005	5.4584	0.0008	118.09	0.02
873	4.9983	0.0005	5.4579	0.0007	118.09	0.02
893	4.9988	0.0004	5.4589	0.0007	118.13	0.02
912	5.0002	0.0005	5.4595	0.0011	118.21	0.03
931	5.0001	0.0006	5.4606	0.001	118.23	0.02
950	4.9994	0.0005	5.459	0.0009	118.16	0.02
999	5.0003	0.0004	5.4587	0.0008	118.2	0.02
1047	4.9987	0.0008	5.4566	0.0014	118.08	0.03
1095	4.9998	0.0005	5.4568	0.001	118.14	0.02
1145	4.999	0.0006	5.4569	0.001	118.1	0.02
1193	5.0008	0.0005	5.4564	0.0011	118.17	0.03
1241	5.0004	0.0005	5.4554	0.001	118.13	0.02
1289	4.999	0.0007	5.4588	0.0013	118.07	0.03
1338	4.9976	0.0007	5.4559	0.0013	118.01	0.03
