T_K	a	aerr	c	cerr	V	Verr
293	4.9135	0.0003	5.4042	0.0005	113.01	0.01
321	4.915	0.0003	5.4058	0.0006	113.09	0.02
346	4.9172	0.0004	5.4069	0.0008	113.22	0.02
370	4.9186	0.0004	5.409	0.0008	113.35	0.02
389	4.9216	0.0005	5.4083	0.0008	113.45	0.02
408	4.9223	0.0003	5.4095	0.0007	113.51	0.02
428	4.9231	0.0004	5.4105	0.0009	113.56	0.02
447	4.9254	0.0008	5.411	0.0013	113.68	0.03
466	4.9268	0.0007	5.4129	0.0012	113.79	0.02
486	4.9292	0.0005	5.4139	0.001	113.92	0.02
505	4.9308	0.0005	5.4164	0.0009	114.05	0.03
524	4.9339	0.0006	5.4172	0.001	114.2	0.03
544	4.9353	0.0005	5.419	0.001	114.31	0.02
563	4.9363	0.0005	5.4211	0.001	114.4	0.02
583	4.9397	0.0006	5.4227	0.0011	114.59	0.03
602	4.9416	0.0006	5.4243	0.0011	114.71	0.03
622	4.9438	0.0005	5.4247	0.001	114.82	0.02
641	4.9458	0.0005	5.4269	0.0009	114.96	0.02
660	4.9473	0.0004	5.4278	0.0007	115.05	0.02
680	4.9498	0.0003	5.4305	0.0007	115.23	0.02
699	4.9523	0.0004	5.4311	0.0008	115.35	0.02
718	4.9574	0.0005	5.4316	0.001	115.6	0.02
738	4.9603	0.0005	5.4345	0.001	115.8	0.02
757	4.9626	0.0006	5.4375	0.0009	115.97	0.02
776	4.9664	0.0006	5.4423	0.0011	116.25	0.03
796	4.9684	0.0007	5.4455	0.0009	116.42	0.03
805	4.9702	0.0007	5.4468	0.0011	116.53	0.03
815	4.9746	0.0007	5.4451	0.001	116.69	0.03
825	4.9785	0.0007	5.4459	0.001	116.9	0.03
834	4.9819	0.0006	5.4487	0.0008	117.1	0.03
844	4.9904	0.0014	5.4487	0.0021	117.51	0.07
854	4.9966	0.0005	5.4567	0.0009	117.89	0.02
864	4.9981	0.0005	5.4584	0.0008	118.09	0.02
873	4.9983	0.0005	5.4579	0.0007	118.09	0.02
893	4.9988	0.0004	5.4589	0.0007	118.13	0.02
912	5.0002	0.0005	5.4595	0.0011	118.21	0.03
931	5.0001	0.0006	5.4606	0.001	118.23	0.02
950	4.9994	0.0005	5.459	0.0009	118.16	0.02
999	5.0003	0.0004	5.4587	0.0008	118.2	0.02
1047	4.9987	0.0008	5.4566	0.0014	118.08	0.03
1095	4.9998	0.0005	5.4568	0.001	118.14	0.02
1145	4.999	0.0006	5.4569	0.001	118.1	0.02
1193	5.0008	0.0005	5.4564	0.0011	118.17	0.03
1241	5.0004	0.0005	5.4554	0.001	118.13	0.02
1289	4.999	0.0007	5.4588	0.0013	118.07	0.03
1338	4.9976	0.0007	5.4559	0.0013	118.01	0.03
