T_K	a	aerr	c	cerr	V	Verr
4	4.90158	0.00001	5.39896	0.00001	112.334	0.001
25	4.9016	0.00001	5.39898	0.00001	112.336	0.001
50	4.90189	0.00001	5.39907	0.00001	112.351	0.001
75	4.90249	0.00001	5.3993	0.00001	112.383	0.001
100	4.90326	0.00001	5.39965	0.00001	112.426	0.001
125	4.90423	0.00001	5.40011	0.00001	112.48	0.001
150	4.90532	0.00001	5.40068	0.00001	112.542	0.001
175	4.90651	0.00001	5.40132	0.00001	112.61	0.001
200	4.90779	0.00001	5.40201	0.00001	112.683	0.001
225	4.90922	0.00001	5.40283	0.00001	112.766	0.001
250	4.91071	0.00001	5.4037	0.00001	112.852	0.001
308	4.91478	0.00001	5.4062	0.00001	113.092	0.001
383	4.91995	0.00001	5.40916	0.00001	113.392	0.001
434	4.92406	0.00001	5.41173	0.00001	113.635	0.001
484	4.92851	0.00001	5.41454	0.00001	113.9	0.001
524	4.9322	0.00001	5.41688	0.00001	114.12	0.001
564	4.93602	0.00001	5.41933	0.00001	114.348	0.001
605	4.94027	0.00001	5.42203	0.00001	114.602	0.001
645	4.94506	0.00001	5.42509	0.00001	114.89	0.001
670	4.94961	0.00001	5.42835	0.00001	115.17	0.001
700	4.95297	0.00001	5.43048	0.00001	115.372	0.001
720	4.95565	0.00001	5.43212	0.00001	115.532	0.001
739	4.95857	0.00001	5.43407	0.00001	115.709	0.001
761	4.9618	0.00001	5.43608	0.00001	115.903	0.001
781	4.96534	0.00001	5.43835	0.00001	116.117	0.001
816	4.97424	0.00001	5.44404	0.00001	116.656	0.001
824	4.97722	0.00001	5.44599	0.00001	116.837	0.001
832	4.98081	0.00001	5.44828	0.00001	117.055	0.001
841	4.98624	0.00001	5.45169	0.00001	117.384	0.001
848	4.99672	0.00001	5.45768	0.00001	118.007	0.001
851	4.99795	0.00001	5.45892	0.00001	118.092	0.001
853	4.99803	0.00001	5.45894	0.00001	118.096	0.001
855	4.99809	0.00001	5.45897	0.00001	118.1	0.001
857	4.99816	0.00001	5.45896	0.00001	118.103	0.001
859	4.99819	0.00001	5.45906	0.00001	118.107	0.001
861	4.99828	0.00001	5.45896	0.00001	118.109	0.001
866	4.99839	0.00001	5.45901	0.00001	118.115	0.001
871	4.99846	0.00001	5.45903	0.00001	118.119	0.001
876	4.99852	0.00001	5.45902	0.00001	118.121	0.001
881	4.99861	0.00001	5.45894	0.00001	118.124	0.001
