T_K	    CP
298.15	44.5
300.00	44.7
320.00	46.73
340.00	48.68
360.00	50.53
380.00	52.27
400.00	53.87
420.00	55.33
440.00	56.67
460.00	57.89
480.00	59.01
500.00	60.05
520.00	61.03
540.00	61.98
560.00	62.91
580.00	63.84
600.00	64.76
620.00	65.68
640.00	66.58
660.00	67.47
680.00	68.34
700.00	69.2
720.00	70.07
740.00	71.01
760.00	72.11
780.00	73.53
800.00	75.51
820.00	78.39
847.29	84.63
847.31	68.17
860.00	68.22
880.00	68.33
900.00	68.48
920.00	68.64
940.00	68.8
960.00	68.94
980.00	69.06
1000.00	69.14
# https://doi.org/10.1016/0040-6031(89)87025-X
