P_kbar  a      unc_a  c      unc_c  V      unc_V  tilt  unc_tilt
0.      4.9148 0.0005 5.4062 0.0009 113.09 0.04 15.9    0.4
0.      4.9147 0.0003 5.4065 0.0007 113.10 0.02 16.2    0.3
5.      4.8912 0.0003 5.3880 0.0006 111.63 0.02 17.4    0.3
10.     4.8691 0.0003 5.3703 0.0006 110.26 0.02 17.8    0.3
10.6    4.8678 0.0004 5.3658 0.0009 110.11 0.03 17.7    0.4
14.6    4.8509 0.0003 5.3553 0.0006 109.13 0.02 18.5    0.3
18.1    4.8373 0.0004 5.3447 0.0007 108.31 0.02 19.4    0.3
21.1    4.8261 0.0005 5.3358 0.0009 107.63 0.02 19.6    0.5
21.1    4.8257 0.0004 5.3364 0.0008 107.62 0.03 19.7    0.4
23.8    4.8170 0.0006 5.3280 0.0011 107.07 0.02 20.1    0.6
28.2    4.8016 0.0005 5.3177 0.0009 106.18 0.03 20.4    0.5

