# TC	rho	C11	C12	C13	C14	C33	C44	C66	K	G	Vpagg	Vsagg
20	2.649	86.9	7.6	12	17.8	106.4	59.5	39.6	37.9	44.9	6.07	4.11
100	2.641	86.7	6.1	11.5	17.8	104.9	58.4	40.3	37.2	44.7	6.05	4.11
200	2.63	86.1	3.6	10.3	17.9	102.4	56.8	41.3	35.7	44.5	6.01	4.11
300	2.617	84.4	-0.8	7.9	19.4	98.9	53	42.5	34.1	44.3	5.97	4.11
400	2.608	84.1	-7.6	6.8	17.1	95.4	52.6	46	32	43.7	5.88	4.09
450	2.604	82.9	-10.5	4.9	18	92.4	49	46.7	28.2	43.4	5.75	4.08
500	2.599	81.1	-14.3	2.3	17.3	88.9	46.8	47.7	25.5	43	5.65	4.07
520	2.595	79.3	-17.2	0.6	16.5	87.2	45.5	48.2	23.5	42.9	5.57	4.06
540	2.59	76.5	-21	-2	15.3	84.9	43.9	48.7	20.6	42.6	5.46	4.05
550	2.586	74.5	-23.5	-3.7	14.3	83.3	42.9	49	18.6	42.4	5.39	4.05
560	2.582	72.3	-26.6	-5.7	13.4	81.4	41.8	49.4	16.3	42.3	5.3	4.05
565	2.579	70.6	-28.5	-7	12.7	80.3	41.2	49.5	14.7	42.1	5.24	4.04
570	2.576	68.5	-30.6	-8.7	11.8	79.1	40.5	49.6	12.8	41.9	5.16	4.03
573	2.573	67.2	-31	-9.7	10	78.3	39.4	49.1	11.9	41.6	5.12	4.02
575	2.57	80.2	-20.2	4.1	0	77.7	40.3	50.2	23.5	42.2	5.57	4.05
578	2.565	90.3	-10	14.7	0	77	39.8	50.1	32.9	41	5.84	4
585	2.534	96.7	-2.5	20.1	0	91.7	35.5	49.6	39.9	40	6.06	3.97
590	2.534	105.9	3.7	22.1	0	102.9	36.5	51.1	45.5	42.1	6.33	4.07
595	2.534	109.2	7.1	27.6	0	107.4	36.5	51	49.9	41.8	6.46	4.06
600	2.534	115	12	32.6	0	106.9	35.7	49.8	54.6	41.5	6.59	4.05
650	2.534	125	23	40.6	0	116.1	36.4	50.3	63.8	41.6	6.86	4.05
700	2.534	128.9	27.8	44.3	0	119.7	37	50.6	67.8	41.8	6.98	4.06
750	2.534	132.2	30.7	46.8	0	121.4	37.7	50.7	70.5	42.2	7.07	4.08
800	2.534	134	32.2	48.5	0	122.8	38.2	50.9	72.1	42.4	7.13	4.09
850	2.534	135.2	33	49.6	0	124	38.7	51.1	73.2	42.7	7.17	4.11
900	2.534	135.7	33.2	50.1	0	124.4	39.2	51.3	73.6	43	7.19	4.12
950	2.534	138.5	34.1	51.6	0	124.6	39.6	52.2	75.1	43.4	7.24	4.14
975	2.534	139.8	35	52.4	0	124.8	39.5	52.4	76	43.4	7.27	4.14
1000	2.534	140.1	35.2	52.8	0	125.4	39.7	52.5	76.3	43.5	7.28	4.14
1025	2.534	140.8	35.8	53.6	0	126.3	40	52.5	77.1	43.6	7.31	4.15
1050	2.535	141.7	36.6	54.5	0	127.3	40.3	52.5	78	43.8	7.34	4.16
