P_bar	T_C	V_cm3	dV_V0_pct	dx_x0_pct	dz_z0_pct
# Note V0 is taken to be 22.688 from Robie, not the current data.
# Ditto for x and z.	
# Note that anomalous behaviour in x and z is seen above 2000 bar at 25 C				
3000	25	22.5163	-0.7567	-0.289	-0.1806
3000	100	22.5881	-0.4405	-0.1673	-0.1065
3000	200	22.6834	-0.0202	-0.0081	-0.004
3000	300	22.7827	0.4174	0.1541	0.1086
3000	400	22.8985	0.9276	0.3478	0.2292
3000	500	23.0469	1.5818	0.5929	0.3879
3000	520	23.0798	1.7268	0.6487	0.4197
3000	540	23.1202	1.9049	0.721	0.4512
3000	560	23.1622	2.0899	0.7933	0.4892
3000	580	23.2007	2.2598	0.864	0.5154
3000	600	23.2479	2.4679	0.9393	0.5697
3000	610	23.2775	2.5984	0.9887	0.5993
3000	620	23.3092	2.738	1.0424	0.6291
3000	630	23.3481	2.9093	1.1105	0.6612
3000	640	23.393	3.1073	1.1911	0.6943
3000	650	23.4511	3.3632	1.3	0.7273
2600	25	22.5407	-0.6494	-0.2466	-0.1576
2600	100	22.6115	-0.337	-0.127	-0.0834
2600	200	22.7077	0.0869	0.0333	0.0203
2600	300	22.8087	0.532	0.1986	0.1339
2600	400	22.9258	1.0481	0.3942	0.2561
2600	500	23.078	1.7189	0.6466	0.4161
2600	520	23.1117	1.8677	0.7042	0.448
2600	540	23.154	2.0538	0.7787	0.4828
2600	560	23.1973	2.2449	0.8533	0.5221
2600	580	23.2371	2.4203	0.9269	0.5477
2600	600	23.2909	2.6573	1.0135	0.6076
2600	610	23.323	2.7987	1.0667	0.6402
2600	620	23.3594	2.9594	1.1291	0.6732
2600	630	23.4043	3.1572	1.2096	0.7062
2600	640	23.4663	3.4307	1.3271	0.7391
2600	650	23.6089	4.059	1.5987	0.8099
2400	25	22.5513	-0.6023	-0.2283	-0.1469
2400	100	22.623	-0.2864	-0.1072	-0.0723
2400	200	22.7199	0.1407	0.0541	0.0324
2400	300	22.8209	0.5857	0.219	0.1466
2400	400	22.9397	1.1095	0.4185	0.2683
2400	500	23.0937	1.7884	0.6731	0.4318
2400	520	23.1284	1.941	0.7321	0.4646
2400	540	23.1711	2.1292	0.808	0.4986
2400	560	23.2152	2.3236	0.884	0.5382
2400	580	23.2572	2.5088	0.9614	0.5658
2400	600	23.3136	2.7575	1.0522	0.6287
2400	610	23.3476	2.9073	1.1084	0.6634
2400	620	23.3874	3.0826	1.1768	0.6986
2400	630	23.4397	3.3132	1.2722	0.7338
2400	640	23.6333	4.1667	1.6118	0.8882
2400	650	23.6335	4.1676	1.61	0.8927
2200	25	22.5631	-0.5506	-0.2087	-0.1342
2200	100	22.6348	-0.2344	-0.0874	-0.0598
2200	200	22.7325	0.1963	0.0756	0.045
2200	300	22.8354	0.6497	0.2445	0.1593
2200	400	22.9535	1.17	0.4419	0.2818
2200	500	23.1087	1.8541	0.6979	0.4472
2200	520	23.1439	2.0092	0.7577	0.4808
2200	540	23.1882	2.2047	0.8366	0.5158
2200	560	23.2339	2.4062	0.9155	0.5566
2200	580	23.2776	2.5988	0.9962	0.5848
2200	600	23.3378	2.8642	1.0939	0.6501
2200	610	23.3745	3.026	1.1546	0.6875
2200	620	23.4184	3.2192	1.2302	0.7257
2200	630	23.4823	3.5011	1.3491	0.7639
2200	640	23.643	4.2095	1.6261	0.9013
2200	650	23.6436	4.2121	1.6255	0.905
2000	25	22.5743	-0.501	-0.19	-0.1218
2000	100	22.6464	-0.1833	-0.0683	-0.0468
2000	200	22.7434	0.253	0.0971	0.0586
2000	300	22.8475	0.703	0.2636	0.1742
