Run	Point	P_GPa	unc_P	a 	unc_a	c 	unc_c	V 	unc_V
1	0	0.0001	0.0001	4.91296	0.00005	5.40427	0.00008	112.968	0.003
1	1	0.58	0.05	4.88575	0.00014	5.38284	0.00012	111.277	0.007
1	2	1.22	0.05	4.85766	0.00014	5.36079	0.00011	109.55	0.007
1	3	1.97	0.05	4.83074	0.00016	5.34066	0.00012	107.933	0.007
1	4	2.75	0.05	4.80441	0.00014	5.32164	0.00012	106.379	0.007
1	5	3.6	0.05	4.77625	0.00016	5.30258	0.00013	104.759	0.007
1	6	4.79	0.05	4.7409	0.0003	5.2797	0.0002	102.768	0.012
1	7	5.49	0.05	4.7202	0.0004	5.2671	0.0003	101.632	0.016
1	8	6.64	0.05	4.68841	0.00012	5.24855	0.0001	99.913	0.005
1	9	7.41	0.05	4.6685	0.0002	5.2377	0.0002	98.862	0.01
1	10	8.31	0.05	4.6471	0.0003	5.2261	0.0002	97.74	0.011
1	11	8.85	0.05	4.63286	0.00018	5.21888	0.00016	97.008	0.008
1	12	9.17	0.05	4.6281	0.0007	5.2174	0.0006	96.78	0.03
1	13	9.67	0.05	4.6154	0.0002	5.2105	0.0002	96.123	0.01
1	14	9.89	0.05	4.6105	0.0003	5.2079	0.0002	95.871	0.013
1	15	10.31	0.05	4.6001	0.0002	5.20314	0.00017	95.352	0.009
1	16	10.64	0.05	4.593	0.0007	5.2004	0.0006	95.01	0.03
2	0	0.0001	0.0001	4.9146	0.00018	5.406	0.0003	113.08	0.01
2	1	0.57	0.05	4.8866	0.0005	5.386	0.0008	111.38	0.03
2	2	1.25	0.05	4.8593	0.0003	5.3628	0.0005	109.664	0.017
2	3	1.79	0.05	4.8383	0.0004	5.3477	0.0009	108.42	0.02
2	4	2.23	0.05	4.8199	0.0003	5.3329	0.0004	107.291	0.014
2	5	3.03	0.05	4.7947	0.0003	5.3152	0.0004	105.822	0.013
2	6	3.62	0.05	4.77463	0.00017	5.3022	0.0003	104.68	0.01
2	7	4.67	0.05	4.7436	0.0004	5.2819	0.0006	102.93	0.02
2	8	4.97	0.05	4.7337	0.0004	5.2764	0.0006	102.392	0.019
2	9	5.55	0.05	4.7158	0.0003	5.2652	0.0005	101.405	0.015
2	10	6.4	0.05	4.6947	0.0002	5.2531	0.0003	100.267	0.011
2	11	6.71	0.05	4.68357	0.00019	5.2479	0.0003	99.695	0.01
2	12	7.54	0.05	4.66289	0.00017	5.2354	0.0003	98.581	0.009
2	13	8.44	0.05	4.6413	0.0003	5.2244	0.0006	97.464	0.017
2	14	8.72	0.05	4.6351	0.0003	5.2213	0.0006	97.144	0.015
2	15	9.68	0.05	4.6128	0.0002	5.2102	0.0003	96.01	0.011
2	16	10.36	0.05	4.5983	0.0003	5.203	0.0005	95.275	0.013
2	17	11.13	0.05	4.5821	0.0003	5.1964	0.0006	94.486	0.014
2	18	11.57	0.05	4.573	0.0003	5.1921	0.0004	94.033	0.014
2	19	12.4	0.05	4.5559	0.0003	5.1862	0.0013	93.22	0.02
3	0	0.0001	0.0001	4.9147	0.0005	5.4067	0.0008	113.1	0.03
3	1	5.11	0.05	4.73069	0.0001	5.27291	0.00014	102.195	0.005
3	2	6.72	0.05	4.6876	0.00012	5.2462	0.00019	99.83	0.06
3	3	7.74	0.05	4.66194	0.00016	5.2337	0.0002	98.508	0.008
3	4	8.71	0.05	4.63767	0.00019	5.2209	0.0003	97.247	0.01
3	5	9.89	0.05	4.61223	0.00016	5.209	0.0002	95.964	0.008
3	6	10.66	0.05	4.5954	0.0004	5.2001	0.0006	95.1	0.018
3	7	11.56	0.05	4.5758	0.0002	5.1918	0.0003	94.144	0.01
3	8	12.37	0.05	4.55707	0.00017	5.1835	0.0003	93.224	0.008
3	9	12.43	0.05	4.5582	0.0002	5.184	0.0004	93.276	0.011
3	10	13.39	0.05	4.53652	0.00017	5.1749	0.0002	92.231	0.008
3	11	13.97	0.05	4.52652	0.00015	5.1699	0.0003	91.736	0.008
3	12	14.74	0.05	4.51161	0.00018	5.164	0.0003	91.028	0.008
3	13	13.86	0.1	4.52752	0.00017	5.1713	0.0002	91.801	0.008
3	14	14.83	0.05	4.5096	0.0002	5.1635	0.0003	90.94	0.01
3	15	14.97	0.05	4.5064	0.0004	5.1607	0.0005	90.76	0.017
3	16	15.5	0.05	4.49737	0.00018	5.1581	0.0003	90.352	0.008
3	17	16.12	0.05	4.485	0.0002	5.1533	0.0003	89.773	0.01
3	18	16.51	0.05	4.4792	0.0002	5.1512	0.0003	89.504	0.009
3	19	16.72	0.05	4.4752	0.0003	5.1494	0.0003	89.314	0.012
3	20	17.22	0.05	4.467	0.0002	5.1457	0.0003	88.921	0.01
3	21	17.94	0.05	4.4556	0.0002	5.141	0.0003	88.389	0.009
3	22	18.06	0.05	4.4527	0.0003	5.1392	0.0003	88.24	0.012
3	23	18.75	0.05	4.4403	0.0006	5.1369	0.0006	87.71	0.02
3	24	19.01	0.05	4.437	0.0007	5.135	0.0007	87.55	0.03
3	25	19.31	0.05	4.4319	0.0006	5.1339	0.0007	87.33	0.02
3	26	19.17	0.05	4.4309	0.0008	5.1337	0.0009	87.29	0.03
4	0	0.0001	0.0001	4.9097	0.00013	5.4028	0.0015	112.79	0.05
4	1	2.06	0.1	4.8236	0.0004	5.336	0.0005	107.524	0.016
4	2	2.82	0.1	4.7965	0.0002	5.3156	0.0003	105.91	0.009
4	3	5.49	0.1	4.71148	0.00018	5.2606	0.0003	101.129	0.007
4	4	7.05	0.1	4.6731	0.0003	5.2394	0.0004	99.089	0.011
4	5	8.56	0.1	4.6355	0.0004	5.2202	0.0005	97.143	0.015
4	6	9.65	0.1	4.6109	0.0005	5.209	0.0008	95.91	0.02
4	7	10.68	0.1	4.5898	0.0003	5.1979	0.0005	94.828	0.014
4	8	11.92	0.1	4.564	0.0004	5.1854	0.0007	93.541	0.016
4	9	12.42	0.1	4.5519	0.0003	5.1795	0.0004	92.938	0.011
4	10	13.58	0.1	4.5293	0.00019	5.1698	0.0003	91.848	0.008
4	11	14.68	0.1	4.5085	0.0004	5.1606	0.0008	90.845	0.017
4	12	15.81	0.1	4.49	0.0003	5.1527	0.0005	89.96	0.012
5	0	0.0001	0.0001	4.912	0.0002	5.4044	0.0006	112.926	0.012
5	1	3.06	0.1	4.79214	0.00018	5.31198	0.0004	105.644	0.008
5	2	3.94	0.1	4.76037	0.00009	5.2917	0.0002	103.849	0.004
5	3	4.28	0.1	4.75344	0.00013	5.2869	0.0003	103.453	0.006
5	4	4.82	0.1	4.7376	0.0002	5.2775	0.0004	102.58	0.009
5	5	5.46	0.1	4.71953	0.00011	5.2661	0.0003	101.582	0.005
5	6	6.27	0.1	4.69696	0.00016	5.2527	0.0004	100.357	0.007
5	7	7.22	0.1	4.6702	0.0003	5.238	0.0006	98.94	0.011
5	8	7.76	0.1	4.6583	0.0002	5.2321	0.0005	98.326	0.009
5	9	8.57	0.1	4.64174	0.00019	5.2227	0.0005	97.451	0.009
5	10	9.85	0.1	4.61166	0.00013	5.208	0.0003	95.922	0.006
5	11	10.1	0.1	4.6068	0.00012	5.2059	0.0003	95.68	0.006
5	12	11.57	0.1	4.5742	0.0002	5.192	0.0004	94.081	0.007
6	0	0.0001	0.0001	4.91287	0.00013	5.4043	0.0003	112.963	0.007
6	1	1.02	0.1	4.8652	0.00015	5.366	0.0002	109.989	0.008
6	2	1.87	0.1	4.83014	0.00017	5.34	0.0002	107.893	0.009
6	3	3.43	0.1	4.77698	0.00014	5.3028	0.00019	104.796	0.007
6	4	4.22	0.1	4.75143	0.00015	5.286	0.0002	103.348	0.008
6	5	6.13	0.1	4.6978	0.0002	5.2536	0.0002	100.407	0.01
6	6	6.89	0.1	4.67958	0.00017	5.2427	0.0002	99.426	0.008
6	7	8.12	0.1	4.65157	0.00019	5.2284	0.0003	97.972	0.009
6	8	9.17	0.1	4.6255	0.0002	5.2167	0.0003	96.659	0.011
