# TC	P MPa	Mass g		SiO2	TiO2	Al2O3	Fe2O3	Cr2O3	FeO	MgO	CaO	Na2O	K2O	P2O5	H2O
1220.00	100.00	98.87		48.53	1.02	17.33	0.90	0.04	7.67	9.20	12.35	2.65	0.03	0.08	0.20
1219.00	100.00	98.46		48.53	1.03	17.26	0.90	0.04	7.71	9.24	12.33	2.65	0.03	0.08	0.20
1218.00	100.00	97.69		48.55	1.03	17.19	0.91	0.04	7.75	9.24	12.32	2.66	0.03	0.08	0.20
1217.00	100.00	96.19		48.59	1.05	17.08	0.92	0.04	7.81	9.18	12.32	2.68	0.03	0.08	0.21
1216.00	100.00	95.01		48.63	1.06	16.99	0.93	0.04	7.86	9.14	12.33	2.69	0.03	0.08	0.21
1215.00	100.00	93.86		48.66	1.08	16.89	0.95	0.04	7.92	9.10	12.33	2.70	0.03	0.09	0.21
1214.00	100.00	92.74		48.70	1.09	16.80	0.96	0.04	7.97	9.07	12.33	2.72	0.03	0.09	0.22
1213.00	100.00	91.65		48.73	1.10	16.71	0.97	0.04	8.02	9.03	12.33	2.73	0.03	0.09	0.22
1212.00	100.00	90.59		48.76	1.11	16.62	0.98	0.04	8.07	8.99	12.33	2.74	0.03	0.09	0.22
1211.00	100.00	89.56		48.79	1.13	16.53	0.99	0.04	8.12	8.96	12.33	2.76	0.03	0.09	0.22
1210.00	100.00	88.55		48.83	1.14	16.44	1.00	0.04	8.17	8.92	12.34	2.77	0.03	0.09	0.23
1209.00	100.00	87.57		48.86	1.15	16.35	1.01	0.04	8.23	8.89	12.34	2.78	0.03	0.09	0.23
1208.00	100.00	86.62		48.89	1.17	16.26	1.03	0.04	8.27	8.85	12.34	2.79	0.03	0.09	0.23
1207.00	100.00	85.69		48.92	1.18	16.17	1.04	0.04	8.32	8.82	12.35	2.80	0.03	0.09	0.23
1206.00	100.00	84.78		48.95	1.19	16.08	1.05	0.04	8.37	8.78	12.35	2.82	0.03	0.09	0.24
1205.00	100.00	83.89		48.98	1.20	15.99	1.06	0.05	8.42	8.75	12.35	2.83	0.04	0.10	0.24
1204.00	100.00	83.02		49.01	1.22	15.90	1.07	0.05	8.47	8.71	12.36	2.84	0.04	0.10	0.24
1203.00	100.00	82.18		49.04	1.23	15.82	1.08	0.05	8.52	8.68	12.36	2.85	0.04	0.10	0.24
1202.00	100.00	81.35		49.07	1.24	15.73	1.09	0.05	8.57	8.64	12.37	2.86	0.04	0.10	0.25
1201.00	100.00	80.55		49.10	1.25	15.65	1.10	0.05	8.61	8.61	12.37	2.87	0.04	0.10	0.25
1200.00	100.00	79.76		49.13	1.27	15.56	1.11	0.05	8.66	8.58	12.38	2.88	0.04	0.10	0.25
1199.00	100.00	78.67		49.15	1.28	15.50	1.12	0.05	8.73	8.53	12.34	2.90	0.04	0.10	0.25
1198.00	100.00	77.30		49.15	1.30	15.47	1.13	0.05	8.82	8.47	12.27	2.93	0.04	0.10	0.26
1197.00	100.00	75.97		49.16	1.32	15.44	1.14	0.05	8.91	8.41	12.20	2.96	0.04	0.11	0.26
1196.00	100.00	74.69		49.16	1.34	15.41	1.15	0.05	9.00	8.35	12.13	2.99	0.04	0.11	0.27
1195.00	100.00	73.45		49.17	1.36	15.38	1.16	0.05	9.09	8.29	12.06	3.02	0.04	0.11	0.27
1194.00	100.00	72.25		49.17	1.38	15.35	1.17	0.05	9.18	8.23	11.99	3.05	0.04	0.11	0.28
1193.00	100.00	71.09		49.18	1.40	15.32	1.18	0.05	9.27	8.17	11.93	3.08	0.04	0.11	0.28
1192.00	100.00	69.96		49.18	1.42	15.29	1.19	0.05	9.36	8.11	11.86	3.11	0.04	0.11	0.29
