# Expt id   P (GPa)	T C, H/Si ratio	wt% H2O in wad, unc	melt (deficit in totals)
H20652 15   900   1167 2.23   0.37
H20392 15  1000   1173 2.13   0.18
H20112 15  1100   1281 2.41   0.12
H20612 15  1100   1306 2.42   0.40
H20581 15  1200   1160 2.24   0.06
H20442 15  1300    910 1.66   0.11
H20452 15  1400    533 0.93   0.1

# Constant temperature 1200C, increasing pressure
H20501 14  1200  1359  2.40   0.22
H20602 14  1200  1577  2.68  0.25
H20592 16  1200  1144  2.60  0.22
H20531 17  1200  1315  2.43  0.33
#H20541 18 1200  635  1.24  0.33
