# Expt id   P (GPa)	T C,	wt% H2O in wad, unc	melt (deficit in totals)	Mg:Si
K-303	      15	    1300	1.02  0.27	     24.2	2.64
K-302	      18.5	  1300	1.13	0.33       26.5	2.38
A-970/5	    15.5	  1400	0.58	0.11       13.3	1.9
K-293	      18.5	  1400	0.72	0.25       10.6	1.74
K-312	      16	    1500	0.55	0.11       10.2	1.54
A-756/1	    20	    1500	0.52	0.14       9.1	1.43
K-301	      16	    1600	0.37	0.10       8.9	1.6
K-313	      18.5	  1600	0.37	0.09       9.7	1.69
K-300	      20	    1600	0.44	0.18       6.7	1.52
K-299	      16.5	  1800	0.39	0.03       5.1	1.46
K-295	      18	    1900	0.24	0.04       6.9	1.36
K-298	      20	    1900	0.22	0.03       5.9	1.6
