# P (GPa)	V (A^3)
0.0014667701	163.440452681
0.9332945203	162.68367991
1.7693309014	162.234155176
2.4622330881	161.666579628
3.2504753302	161.26434614
3.9434677797	160.602252572
5.0899404072	160.081629785
6.5472554636	159.064577857
7.7656675222	158.213093647
8.7925645395	157.905216995
10.1542913179	156.98274756
11.3965327489	156.178506241
12.6147868477	155.492428565
14.2393136934	154.38074579
16.006861905	153.505261353
17.3923503588	152.700923324
20.0678518169	151.068682234
22.4565658754	149.743818128
0.885229593	163.014525215
3.943445214	160.625882077
8.6734176775	157.669002538
11.636157849	155.256794369
14.2155068867	154.309873394
15.8879181342	153.056381352
18.2288831851	151.731549483
20.0680549081	150.856016691
22.0505639167	149.885869169
24.4155388655	148.419244152
26.159235139	147.520146329
28.1416313191	146.668146331
29.8134784243	146.005391911
31.3420785067	145.342734201
32.4409375208	144.680366622
