% P (GPa)	err	T (K)	err	V NaCl (cm3/mol)	err	V Fe (cm3/mol)	err	c/a Fe	err	V B1-FeO (cm3/mol)	err
20.0	1.2	1812	62	19.62	0.06	6.587	0.007	0	0	11.443	0.008
19.8	1.0	1653	43	19.57	0.01	6.548	0.019	0	0	11.432	0.011
19.8	1.0	1573	42	19.55	0.03	6.575	0.006	0	0	11.391	0.008
19.1	0.9	1475	53	19.65	0.02	6.511	0.009	0	0	11.389	0.008
4.4	0.1	1273	5	25.50	0.07	7.213	0.002	0	0	12.288	0.002
6.9	0.2	1273	5	23.83	0.10	7.081	0.009	0	0	12.108	0.009
10.2	0.0	1273	5	22.27	0.01	6.891	0.003	0	0	11.904	0.041
9.1	0.2	1273	5	22.73	0.10	6.976	0.003	0	0	11.970	0.018
4.0	0.0	1073	5	25.36	0.02	7.121	0.014	0	0	12.238	0.005
6.7	0.2	1073	5	23.60	0.11	7.015	0.025	0	0	12.066	0.010
8.6	0.3	1073	5	22.69	0.12	6.911	0.006	0	0	11.946	0.023
9.7	0.1	1073	5	22.24	0.02	6.837	0.001	0	0	11.859	0.038
6.3	0.2	873	5	23.51	0.11	6.914	0.005	0	0	12.008	0.003
8.2	0.2	873	5	22.59	0.11	6.845	0.007	0	0	11.898	0.021
9.3	0.1	873	5	22.15	0.04	6.787	0.013	0	0	11.798	0.017
57.6	2.2	2096	57	14.70	0.06	5.747	0.002	0	0	9.978	0.006
56.5	2.0	2007	53	14.75	0.05	5.744	0.002	0	0	9.971	0.008
56.0	2.1	1942	55	14.78	0.07	5.750	0.002	0	0	9.969	0.007
47.6	1.6	1751	46	15.35	0.01	5.883	0.003	0	0	10.255	0.008
56.3	1.7	1732	50	14.70	0.04	5.755	0.002	0	0	9.949	0.004
48.1	1.6	1670	48	15.30	0.03	5.854	0.002	0	0	10.237	0.014
36.0	1.5	1656	43	16.43	0.02	6.012	0.003	0	0	10.697	0.012
48.3	1.4	1563	44	15.25	0.02	5.844	0.003	0	0	10.178	0.011
48.6	1.3	1486	41	15.20	0.02	5.823	0.003	0	0	10.156	0.008
55.1	1.3	1437	42	14.71	0.01	5.688	0.002	0	0	9.904	0.006
