# P (GPa)  V (A^3)
46.88 0.30 140.827 0.054
50.94 0.30 139.810 0.028
53.63 0.30 139.269 0.024
53.46 0.30 139.307 0.043
85.70 0.30 130.097 0.022
90.17 0.30 129.303 0.024
90.57 0.30 129.292 0.017
38.63 0.30 143.777 0.019
45.38 0.30 141.332 0.027
46.44 0.30 141.200 0.025
80.57 0.30 131.651 0.023
29.50 0.30 147.178 0.015
31.57 0.30 146.567 0.018
31.47 0.30 146.537 0.012
85.32 0.30 130.266 0.012
70.12 0.30 133.641 0.008
71.50 0.30 133.598 0.014
65.88 0.30 135.058 0.019
67.94 0.30 134.801 0.027
75.06 0.30 132.728 0.017
75.62 0.30 132.788 0.017
40.03 0.30 143.442 0.020
42.17 0.30 142.588 0.015
39.44 0.30 143.328 0.020
40.66 0.30 143.255 0.023
