% 				Starting composition	Final composition		
% Expt	P (kbar)T (K)	Time (h)Xca	Mg'	Xca	Mg'	Growth/Breakdown
JW89	12.2	1273.15	143	0.05	0.233	0.13	0.241	g
JW87	12.2	1273.15	143	0.42	0.234	0.151	0.225	b
JW73	13.7	1273.15	102	0.05	0.233	0.159	0.235	g
JW74	13.7	1273.15	102	0.42	0.234	0.205	0.229	b
JW80	15.8	1273.15	161	0.09	0.23	0.279	0.221	g
JW79	15.8	1273.15	161	0.42	0.234	0.312	0.243	b
JW76	17.6	1273.15	119	0.09	0.23	0.405	0.238	g
JW75	17.6	1273.15	119	0.79	0.233	0.447	0.25	b
JW95	19.7	1273.15	106	0.42	0.234	0.641	0.229	g
JW96	19.7	1273.15	106	0.79	0.228	0.678	0.229	b
JW71	13.7	1273.15	102	0.05	0.436	0.15	0.388	g
JW72	13.7	1273.15	102	0.43	0.442	0.179	0.397	b
JW82	15.8	1273.15	161	0.12	0.452	0.253	0.394	g
JW81	15.8	1273.15	161	0.43	0.442	0.29	0.379	b
JW78	17.6	1273.15	119	0.12	0.452	0.397	0.424	g
JW77	17.6	1273.15	119	0.81	0.417	0.431	0.413	b
JW113	17.1	1273.15	112	0.12	0.452	0.368	0.415	g
JW114	17.1	1273.15	112	0.81	0.417	0.392	0.392	b
JW118	16.9	1273.15	114	0.12	0.452	0.343	0.387	g
JW119	16.9	1273.15	114	0.43	0.442	0.382	0.405	b
JW90	12.2	1273.15	143	0.05	0.713	0.09	0.678	g
JW88	12.2	1273.15	143	0.42	0.686	0.111	0.682	b
JW122	15.8	1273.15	144	0.1	0.705	0.216	0.711	g
JW123	15.8	1273.15	144	0.42	0.686	0.248	0.663	b
JW128	17	1273.15	164	0.1	0.705	0.267	0.699	g
JW129	17	1273.15	164	0.42	0.686	0.323	0.674	b
