# T (K) S(py60gr40) S(gr)	S(py)
5	0.008	    0.004	0.000	
10	0.050	    0.029	0.013
15	0.222	    0.092	0.054
20	0.602	    0.238	0.197
25	1.247	    0.506	0.510
30	2.176	    0.937	1.075
35	3.397	    1.577	1.946
40	4.920	    2.473	3.151
45	6.740	    3.661	4.711
50	8.853	    5.167	6.640
60	13.958	    9.167	11.565
70	20.171	    14.431	17.786
80	27.393	    20.861	25.117
90	35.560	    28.338	33.405
100	44.497	    36.719	42.484
110	54.078	    45.852	52.216
120	64.18	    55.639	62.480
130	74.77	    65.98	73.18
140	85.73	    76.74	84.22
150	96.99	    87.86	95.56
160	108.49	    99.24    	107.07
170	120.12	    110.83	118.74
180	131.88	    122.55	130.50
190	143.68	    134.35	142.30
200	155.52	    146.19	154.10
210	167.32	    158.03	165.85
220	179.08	    169.87	177.61
230	190.83	    181.67	189.28
240	202.46	    193.43	200.87
250	214.05	    205.10	212.38
260	225.52	    216.69	223.76
270	236.90	    228.24	235.10
280	248.15	    239.66	244.27
290	259.32	    250.96	257.36
300	270.37	    262.17	268.28
310	281.29	    273.26	279.11
320	292.09	    284.26	289.83
330	302.75	    295.10	300.41
340	313.34	    305.85	310.87
350	323.80	    316.48	321.21
