# X_Al2O3	P (GPa)	Perr (GPa)	V (cm^3/mol)	Verr (cm^3/mol)
0	56.8	0.77	20.95941069	0.0140018475
0	44.47	1.32	21.5178284575	0.03071373
0	59.21	1.6	20.9469144175	0.02047582
0	56.24	1.52	20.84077138	0.0120446
0.05	0.0001	0	24.544184765	0.0118940425
0.05	48.13	0.77	21.3853378575	0.00903345
0.05	57.84	0.66	20.910328945	0.0130985025
0.05	65.45	0.89	20.57940356	0.0124962725
0.05	54.03	0.86	21.2106911575	0.0224330675
0.05	51.92	0.71	21.242759905	0.009936795
0.05	48.23	0.55	21.4711556325	0.014152405
0.05	31.35	0.22	22.36862889	0.0112918125
0.05	37.76	0.44	21.99885967	0.003914495
0.05	69.84	1.1	20.45052634	0.0152063075
0.05	99.3	0.89	19.46286914	0.009334565
0.05	101.26	0.91	19.39963499	0.0224330675
0.1	0.0001	0	24.6105806225	0.0043661675
0.1	69.02	0.93	20.465280975	0.01987359
0.1	67.68	0.76	20.5271601075	0.009936795
0.1	69.57	0.94	20.471303275	0.01505575
0.1	52.07	0.6	21.278291475	0.0179163425
0.1	52.57	0.6	21.218068475	0.0180669
0.1	46.71	0.54	21.53996041	0.0085817775
0.1	47.37	0.65	21.480038525	0.017163555
0.2	0.0001	0	24.75105077	0.0088828925
0.2	54.78	0.5	21.1649216775	0.005721185
0.2	54.14	0.62	21.173503455	0.00963568
0.2	73.91	1.16	20.3239074825	0.0064739725
0.2	73.85	1.16	20.33369372	0.008732335
0.2	88.17	0.99	19.7957517725	0.0203252625
0.2	89.73	0.6	19.7930417375	0.0317676325
0.25	0.0001	0	24.8105209825	0.0094851225
0.25	33.84	0.48	22.3215043925	0.01686244
0.25	57.34	1.3	21.1314979125	0.01686244
0.25	58.26	1.44	21.092804635	0.01324906
0.25	64.43	1.59	20.8126171275	0.018970245
0.25	45.69	1.15	21.655287455	0.0118940425
0.25	46.43	1.27	21.571577485	0.0112918125
0.25	55.55	0.88	21.1092154025	0.022583625
0.25	82.99	1.12	20.0239969425	0.012947945
