# P (GPa) V (pv)
33.15 0.65	146.59 0.24
33.88 0.58	145.81 0.21
37.95 0.84	144.97 0.30
39.50 0.86 	144.32 0.30
41.91 0.42	142.88 0.11
44.58 0.68	142.23 0.21
46.85 0.73	141.49 0.22
49.21 0.68	140.53 0.28
51.39 0.73 	139.52 0.20
55.20 1.39	138.53 0.41
56.22 0.90	138.40 0.25
59.22 1.03	137.40 0.28
61.07 1.19	137.14 0.33
63.17 0.82	136.23 0.20
64.21 0.88	136.06 0.22
66.38 0.81	135.48 0.19
67.88 0.80	135.01 0.18
70.84 1.02	134.08 0.24
73.92 1.11	133.38 0.26
73.39 0.94	133.72 0.21
74.57 0.79	133.07 0.16
74.95 0.96	133.17 0.21
76.94 0.94	132.38 0.20
79.58 1.17	131.90 0.26
81.59 1.01	131.26 0.21
85.09 1.04	131.65 0.21
86.34 0.97	130.44 0.19
86.64 1.35	130.22 0.29
87.62 0.98	130.39 0.19
88.87 1.07  	130.88 0.21
90.14 1.38	129.25 0.28
92.68 1.00	128.59 0.18 
93.20 1.11	128.68 0.21
95.41 1.17	128.33 0.22
96.95 0.99	127.91 0.17
98.72  1.54	127.56 0.30
103.54 1.61	125.99 0.30
104.68 1.12	126.31 0.19
106.09 1.26	126.37 0.22
109.67 2.10	125.12 0.39
111.20 1.31	124.55 0.22
111.03 0.96	125.39 0.13
112.88 1.33	124.61 0.22
114.60 2.02	123.89 0.36
108.59 1.97	124.91 0.36
113.88 1.79	124.96 0.32
116.98 1.78	124.19 0.31
120.09 2.08	122.42 0.35
117.19 1.30	124.52 0.21
