% Data from Nestola et al., 2006
% P (Gpa)	P err	V (m^3)	Verr
% Jd0Ae100			
0.0001	0.00001	6.46251037183125E-005	4.5166059675E-009
0.574	0.004	0.000064312	0.000000006
1.335	0.005	0.000063904	0.000000003
1.791	0.004	6.36705943238475E-005	0.000000006
2.804	0.004	6.3157206778875E-005	4.5166059675E-009
3.237	0.005	6.29509484396925E-005	0.000000006
4.36	0.005	6.2416483400205E-005	4.5166059675E-009
5.799	0.006	6.176910321153E-005	4.5166059675E-009
6.94	0.007	6.128130976704E-005	4.5166059675E-009
7.668	0.007	6.096815841996E-005	0.000000003
8.607	0.007	6.05993022659475E-005	0.000000003
9.741	0.009	6.0158180416455E-005	4.5166059675E-009
