% p (py)	P (Gpa)	T (K)	V (cm^3/mol)	Verr
1	0.0001	294.4	113.1259168065	0.0301107045
1	0.0001	365.2	113.3893854709	0.0225830284
1	0.0001	416.7	113.5474666695	0.0225830284
1	0.0001	462.5	113.6754371636	0.0225830284
1	0.0001	509.8	113.8335183623	0.0301107045
1	0.0001	557.4	113.999127237	0.0225830284
1	0.0001	605.3	114.1647361118	0.0301107045
1	0.0001	672.2	114.4583154806	0.0301107045
1	0.0001	750.7	114.6992011166	0.0301107045
1	0.0001	295.3	113.156027511	0.0301107045
1	0.0001	332.5	113.2990533574	0.0301107045
1	0.0001	390.4	113.4420792038	0.0301107045
1	0.0001	434.9	113.6302711069	0.0301107045
1	0.0001	481	113.7281308965	0.0301107045
1	0.0001	525	113.9163227996	0.0301107045
1	0.0001	575.6	114.0969870266	0.0225830284
1	0.0001	638.2	114.300234282	0.0225830284
1	0.0001	698.5	114.5637029464	0.0225830284
1	0.0001	738.3	114.6841457644	0.0225830284
0.790	0.0001	300	115.8810462683	0.0150553523
0.790	0.0001	379.1	116.1144042281	0.0150553523
0.790	0.0001	451	116.287540779	0.0150553523
0.790	0.0001	513.8	116.5133710628	0.0150553523
0.790	0.0001	581	116.7166183181	0.0150553523
0.790	0.0001	645.1	116.9424486019	0.0150553523
0.790	0.0001	701.2	117.1231128289	0.0150553523
0.790	0.0001	771.2	117.3489431126	0.0150553523
0.790	0.0001	837.1	117.5973564248	0.0150553523
0.597	0.0001	296.1	118.816839957	0.0150553523
0.597	0.0001	358.7	119.0125595363	0.0150553523
0.597	0.0001	409.3	119.1405300304	0.0150553523
0.597	0.0001	458.7	119.2910835529	0.0150553523
0.597	0.0001	505.1	119.4416370754	0.0150553523
0.597	0.0001	559.9	119.6524120069	0.0150553523
0.597	0.0001	611.7	119.8029655294	0.0150553523
0.597	0.0001	656.5	120.0137404609	0.0150553523
0.597	0.0001	710.7	120.1567663073	0.0150553523
0.597	0.0001	750.5	120.3374305343	0.0150553523
0.597	0.0001	801.4	120.4955117329	0.0150553523
0.597	0.0001	842.7	120.6686482838	0.0150553523
0.397	0.0001	309.8	121.346139135	0.0150553523
0.397	0.0001	391.8	121.587024771	0.0150553523
0.397	0.0001	458.7	121.767688998	0.0150553523
0.397	0.0001	526.3	122.0161023101	0.0150553523
0.397	0.0001	589.6	122.1817111849	0.0150553523
0.397	0.0001	652.7	122.3774307641	0.0150553523
0.397	0.0001	716.4	122.5957333718	0.0150553523
0.397	0.0001	771.2	122.7688699226	0.0150553523
0.397	0.0001	831.5	123.0248109109	0.0150553523
0.195	0.0001	310.8	123.333445632	0.0150553523
0.195	0.0001	360.6	123.4764714784	0.0225830284
0.195	0.0001	428.7	123.6571357054	0.0150553523
0.195	0.0001	507	123.875438313	0.0225830284
0.195	0.0001	573.4	124.116323949	0.0150553523
0.195	0.0001	643.2	124.3421542328	0.0225830284
0.195	0.0001	704	124.5679845165	0.0150553523
0.195	0.0001	764.6	124.7862871241	0.0225830284
0.195	0.0001	802.3	124.9820067034	0.0150553523
0.195	0.0001	846.5	125.0723388169	0.0376383806
0	0.0001	296.1	125.2755860723	0.0150553523
0	0.0001	393.7	125.4110842425	0.0075276761
0	0.0001	447.1	125.5842207934	0.0075276761
0	0.0001	501.2	125.8251064294	0.0150553523
0	0.0001	547.4	125.9606045996	0.0150553523
0	0.0001	581	126.0961027699	0.0075276761
0	0.0001	584.9	126.0961027699	0.0150553523
0	0.0001	633.6	126.3219330536	0.0150553523
0	0.0001	678.4	126.4724865761	0.0075276761
0	0.0001	727.7	126.6079847464	0.0075276761
0	0.0001	767.5	126.7284275644	0.0225830284
0	0.0001	816.5	126.8789810869	0.0150553523
0	0.0001	859.6	127.0596453139	0.0150553523
0	0.0001	298.15	125.23	0.002
0	1	298.15	124.5	0.002
0	3.2	298.15	122.88	0.002
0	4.3	298.15	122.15	0.001
0	6.1	298.15	121.16	0.001
0	6.8	298.15	120.74	0.003
0	7.8	298.15	120.25	0.002
0	9.1	298.15	119.74	0.002
0.195	0.0001	298.15	123.19	0.002
0.195	1.4	298.15	122.07	0.002
0.195	2.9	298.15	120.92	0.002
0.195	4.7	298.15	119.77	0.002
0.195	6.4	298.15	118.72	0.002
0.195	7.7	298.15	117.87	0.002
0.397	1.7	298.15	120.08	0.002
0.397	2.8	298.15	119.31	0.002
0.397	3.9	298.15	118.57	0.001
0.397	4.5	298.15	118.21	0.002
0.397	5.2	298.15	117.68	0.002
0.397	0.0001	298.15	121.33	0.002
0.597	0.0001	298.15	118.82	0.002
0.597	1.4	298.15	117.76	0.002
0.597	2.8	298.15	116.76	0.002
0.597	4.6	298.15	115.68	0.001
0.597	5.7	298.15	114.99	0.001
0.790	0	298.15	115.82	0.002
0.790	1.4	298.15	114.78	0.001
0.790	1.5	298.15	114.62	0.003
0.790	3.8	298.15	113.22	0.001
0.790	5.5	298.15	112.19	0.001	
1	0.0001	298.15	113.12	0.001
1	0.4	298.15	112.87	0.002
1	0.7	298.15	112.54	0.002
1	1.3	298.15	112.21	0.001
1	2.5	298.15	111.48	0.002
1	3.8	298.15	110.69	0.001
1	4.3	298.15	110.34	0.001
1	5.2	298.15	110.04	0.002
1	6.5	298.15	109.15	0.002
1	7.1	298.15	108.84	0.001
