>> -W0.5,grey,- 
0.0001 -0.186919967169 0.5
0.250099 -0.184685750183 0.5
0.500098 -0.18250309816 0.5
0.750097 -0.180370281377 0.5
1.000096 -0.178285645912 0.5
1.250095 -0.176247609565 0.5
1.500094 -0.174254658028 0.5
1.750093 -0.172305341309 0.5
2.000092 -0.170398270364 0.5
2.250091 -0.168532113955 0.5
2.50009 -0.166705595683 0.5
2.750089 -0.164917491214 0.5
3.000088 -0.16316662566 0.5
3.250087 -0.161451871129 0.5
3.500086 -0.159772144404 0.5
3.750085 -0.158126404771 0.5
4.000084 -0.156513651961 0.5
4.250083 -0.154932924219 0.5
4.500082 -0.153383296476 0.5
4.750081 -0.151863878625 0.5
5.00008 -0.150373813897 0.5
5.250079 -0.148912277319 0.5
5.500078 -0.147478474265 0.5
5.750077 -0.146071639077 0.5
6.000076 -0.144691033766 0.5
6.250075 -0.143335946782 0.5
6.500074 -0.142005691842 0.5
6.750073 -0.140699606828 0.5
7.000072 -0.139417052738 0.5
7.250071 -0.138157412692 0.5
7.50007 -0.136920090986 0.5
7.750069 -0.135704512196 0.5
8.000068 -0.134510120331 0.5
8.250067 -0.133336378018 0.5
8.500066 -0.132182765738 0.5
8.750065 -0.131048781092 0.5
9.000064 -0.129933938108 0.5
9.250063 -0.128837766574 0.5
9.500062 -0.127759811415 0.5
9.750061 -0.126699632083 0.5
10.00006 -0.125656801993 0.5
10.250059 -0.124630907973 0.5
10.500058 -0.123621549743 0.5
10.750057 -0.122628339424 0.5
11.000056 -0.121650901056 0.5
11.250055 -0.120688870155 0.5
11.500054 -0.119741893274 0.5
11.750053 -0.118809627592 0.5
12.000052 -0.117891740523 0.5
12.250051 -0.116987909335 0.5
12.50005 -0.116097820793 0.5
12.750049 -0.115221170811 0.5
13.000048 -0.114357664126 0.5
13.250047 -0.113507013976 0.5
13.500046 -0.112668941805 0.5
13.750045 -0.111843176968 0.5
14.000044 -0.111029456456 0.5
14.250043 -0.110227524629 0.5
14.500042 -0.109437132962 0.5
14.750041 -0.1086580398 0.5
15.00004 -0.107890010123 0.5
15.250039 -0.107132815322 0.5
15.500038 -0.106386232984 0.5
15.750037 -0.105650046681 0.5
16.000036 -0.104924045774 0.5
16.250035 -0.104208025222 0.5
16.500034 -0.103501785398 0.5
16.750033 -0.102805131911 0.5
17.000032 -0.102117875436 0.5
17.250031 -0.101439831555 0.5
17.50003 -0.100770820596 0.5
17.750029 -0.100110667481 0.5
18.000028 -0.0994592015874 0.5
18.250027 -0.0988162566004 0.5
18.500026 -0.0981816703833 0.5
18.750025 -0.0975552848463 0.5
19.000024 -0.0969369458217 0.5
19.250023 -0.0963265029441 0.5
19.500022 -0.0957238095341 0.5
19.750021 -0.0951287224871 0.5
20.00002 -0.0945411021652 0.5
20.250019 -0.0939608122937 0.5
20.500018 -0.093387719861 0.5
20.750017 -0.0928216950219 0.5
21.000016 -0.0922626110046 0.5
21.250015 -0.0917103440208 0.5
21.500014 -0.0911647731788 0.5
21.750013 -0.0906257803997 0.5
22.000012 -0.0900932503369 0.5
22.250011 -0.0895670702974 0.5
22.50001 -0.0890471301668 0.5
22.750009 -0.0885333223362 0.5
23.000008 -0.0880255416315 0.5
23.250007 -0.0875236852459 0.5
23.500006 -0.0870276526735 0.5
23.750005 -0.0865373456456 0.5
24.000004 -0.0860526680698 0.5
24.250003 -0.0855735259697 0.5
24.500002 -0.0850998274275 0.5
24.750001 -0.0846314825286 0.5
25.0 -0.0841684033072 0.5
>> -W0.5,black,- 
0.0001 -0.127588067351 0.26
0.250099 -0.125556607232 0.26
0.500098 -0.123571827505 0.26
0.750097 -0.121632175577 0.26
1.000096 -0.119736166314 0.26
1.250095 -0.117882378434 0.26
1.500094 -0.116069451133 0.26
1.750093 -0.114296080916 0.26
2.000092 -0.11256101863 0.26
2.250091 -0.110863066671 0.26
2.50009 -0.109201076374 0.26
2.750089 -0.107573945542 0.26
3.000088 -0.105980616142 0.26
3.250087 -0.104420072116 0.26
3.500086 -0.102891337341 0.26
3.750085 -0.101393473689 0.26
4.000084 -0.0999255792074 0.26
4.250083 -0.098486786405 0.26
4.500082 -0.0970762606252 0.26
4.750081 -0.0956931985181 0.26
5.00008 -0.0943368265936 0.26
5.250079 -0.0930063998535 0.26
5.500078 -0.0917012004995 0.26
5.750077 -0.0904205367086 0.26
6.000076 -0.0891637414758 0.26
6.250075 -0.0879301715166 0.26
6.500074 -0.0867192062272 0.26
6.750073 -0.0855302466996 0.26
7.000072 -0.084362714786 0.26
7.250071 -0.0832160522127 0.26
7.50007 -0.0820897197371 0.26
7.750069 -0.0809831963485 0.26
8.000068 -0.0798959785081 0.26
8.250067 -0.0788275794263 0.26
8.500066 -0.0777775283764 0.26
8.750065 -0.0767453700402 0.26
9.000064 -0.075730663887 0.26
9.250063 -0.0747329835805 0.26
9.500062 -0.0737519164154 0.26
9.750061 -0.0727870627796 0.26
10.00006 -0.071838035642 0.26
10.250059 -0.0709044600638 0.26
