>> -Ggrey -W0.5,black 
0.0001 -0.129501159492 0.26
0.075 -0.128150501383 0.26
0.255 -0.125129493077 0.26
0.52 -0.126367836439 0.26
0.706 -0.122114893858 0.26
0.911 -0.126315700991 0.26
1.074 -0.112954408019 0.26
1.344 -0.113138312171 0.26
1.949 -0.117319866684 0.26
2.234 -0.109203665259 0.26
2.652 -0.106765640473 0.26
3.291 -0.104289149833 0.26
3.717 -0.102774869205 0.26
4.519 -0.093536059551 0.26
5.126 -0.0827449976466 0.26
5.835 -0.0981812750569 0.26
6.33 -0.0967616068008 0.26
7.123 -0.0759715996124 0.26
7.26 -0.0875593282436 0.26
7.386 -0.0807906673515 0.26
7.755 -0.0829226587505 0.26
>> -Ggrey -W0.5,black 
0.0001 -0.191634882941 0.65
0.358 -0.179863675324 0.65
0.641 -0.178748985742 0.65
1.16 -0.171930931873 0.65
1.401 -0.164687858836 0.65
1.788 -0.172395185635 0.65
2.118 -0.171040749985 0.65
2.521 -0.158722236832 0.65
2.781 -0.159752707925 0.65
3.269 -0.158995942621 0.65
3.971 -0.157971652787 0.65
4.553 -0.152278766631 0.65
5.037 -0.157444178937 0.65
5.567 -0.156168775641 0.65
6.119 -0.142632652565 0.65
6.476 -0.154556778836 0.65

