>> -W1,black
0.0001 -11.9894213678
0.240099 -11.8959207007
0.480098 -11.8026453446
0.720097 -11.7095909218
0.960096 -11.6167531122
1.200095 -11.5241276764
1.440094 -11.4317104725
1.680093 -11.3394974703
1.920092 -11.2474847601
2.160091 -11.1556685595
2.40009 -11.0640452165
2.640089 -10.9726112112
2.880088 -10.8813631552
3.120087 -10.7902977895
3.360086 -10.6994119817
3.600085 -10.6087027226
3.840084 -10.5181671214
4.080083 -10.4278024012
4.320082 -10.3376058943
4.560081 -10.2475750372
4.80008 -10.1577073656
5.040079 -10.0680005095
5.280078 -9.9784521884
5.520077 -9.88906020679
5.760076 -9.79982244964
6.000075 -9.71073687814
6.240074 -9.62180152572
6.480073 -9.53301449416
6.720072 -9.44437394999
6.960071 -9.35587812108
7.20007 -9.26752529338
7.440069 -9.1793138079
7.680068 -9.09124205789
7.920067 -9.00330848611
8.160066 -8.91551158233
8.400065 -8.82784988098
8.640064 -8.74032195895
8.880063 -8.65292643345
9.120062 -8.56566196016
9.360061 -8.47852723129
9.60006 -8.39152097394
9.840059 -8.30464194849
10.080058 -8.21788894701
10.320057 -8.13126079194
10.560056 -8.04475633467
10.800055 -7.95837445432
11.040054 -7.87211405655
11.280053 -7.78597407245
11.520052 -7.69995345746
11.760051 -7.61405119045
12.00005 -7.52826627267
12.240049 -7.442597727
12.480048 -7.35704459699
12.720047 -7.27160594619
12.960046 -7.18628085729
13.200045 -7.1010684315
13.440044 -7.01596778785
13.680043 -6.93097806254
13.920042 -6.84609840835
14.160041 -6.7613279941
14.40004 -6.67666600404
14.640039 -6.59211163739
14.880038 -6.50766410784
15.120037 -6.42332264305
15.360036 -6.33908648424
15.600035 -6.25495488576
15.840034 -6.17092711465
16.080033 -6.08700245032
16.320032 -6.0031801841
16.560031 -5.91945961897
16.80003 -5.83584006914
17.040029 -5.7523208598
17.280028 -5.66890132676
17.520027 -5.58558081619
17.760026 -5.5023586843
18.000025 -5.41923429709
18.240024 -5.33620703011
18.480023 -5.25327626816
18.720022 -5.17044140506
18.960021 -5.08770184348
19.20002 -5.00505699462
19.440019 -4.92250627806
19.680018 -4.84004912156
19.920017 -4.75768496081
20.160016 -4.67541323929
20.400015 -4.59323340804
20.640014 -4.51114492553
20.880013 -4.42914725744
21.120012 -4.34723987654
21.360011 -4.26542226249
21.60001 -4.18369390172
21.840009 -4.10205428723
22.080008 -4.02050291852
22.320007 -3.93903930138
22.560006 -3.85766294778
22.800005 -3.77637337577
23.040004 -3.6951701093
23.280003 -3.61405267812
23.520002 -3.53302061768
23.760001 -3.45207346897
24.0 -3.37121077847
>> -W1,black,.
0.0001 -6.05615896245
0.240099 -5.9621206573
0.480098 -5.86832974649
0.720097 -5.77478358737
0.960096 -5.68147958784
1.200095 -5.58841520501
1.440094 -5.49558794379
1.680093 -5.40299535565
1.920092 -5.31063503734
2.160091 -5.21850462974
2.40009 -5.12660181664
2.640089 -5.03492432364
2.880088 -4.9434699171
3.120087 -4.85223640303
3.360086 -4.76122162615
3.600085 -4.67042346886
3.840084 -4.57983985031
4.080083 -4.4894687255
4.320082 -4.39930808436
4.560081 -4.30935595093
4.80008 -4.21961038254
5.040079 -4.13006946893
5.280078 -4.04073133158
5.520077 -3.95159412288
5.760076 -3.86265602541
6.000075 -3.77391525127
6.240074 -3.68537004136
6.480073 -3.59701866472
6.720072 -3.50885941789
6.960071 -3.42089062428
7.20007 -3.33311063359
7.440069 -3.24551782116
7.680068 -3.15811058745
7.920067 -3.07088735747
8.160066 -2.98384658024
8.400065 -2.89698672825
8.640064 -2.81030629698
8.880063 -2.72380380437
9.120062 -2.63747779039
9.360061 -2.5513268165
9.60006 -2.46534946526
9.840059 -2.37954433987
10.080058 -2.29391006372
10.320057 -2.20844527997
10.560056 -2.12314865119
10.800055 -2.03801885891
11.040054 -1.95305460326
11.280053 -1.86825460259
11.520052 -1.78361759309
11.760051 -1.69914232848
12.00005 -1.61482757959
12.240049 -1.5306721341
12.480048 -1.44667479614
12.720047 -1.36283438603
12.960046 -1.27914973993
13.200045 -1.19561970953
13.440044 -1.11224316179
13.680043 -1.02901897861
13.920042 -0.945946056575
14.160041 -0.863023306661
14.40004 -0.780249653979
14.640039 -0.697624037505
