P, iron_wus_fO2, wus_fe4o5_fO2, wus_mt_fO2, fe4o5_mt_fO2, fe4o5_hem_fO2, mt_hem_fO2, fmq_fO2, fmc_fO2, rmc_fO2, rms_fO2, rfs_fO2, Re_fO2, Mo_fO2
0  0		 8		0	    8		  10		 0	     0	      2	       6	8.5	 9.5	  0	  0
25 25		 25		8.2	    11		  25		 11	     3.5      6.5      9.5	10.5	 17	  25	  25
100000.0 -11.9733914855 -6.85560965886 -9.4704273277 -16.7079397868 -7.41023641869 -2.76138473466 -8.44546492084 -7.60043310966 -10.2835606744 -4.55659900147 -0.506152073045 -6.05613135665 -11.4989741304 
240099000.0 -11.8790826693 -6.73059674422 -9.33249176439 -16.3433568588 -7.28156390143 -2.75066742274 -8.27305416709 -7.49463222272 -10.0548934707 -4.49591106882 -0.54676247216 -5.96209348016 -11.3999199667 
480098000.0 -11.7850462821 -6.5972279504 -9.19423399287 -15.9797689673 -7.15286938443 -2.73941959299 -8.10097443062 -7.3887048962 -9.8273535086 -4.43527247964 -0.587106983748 -5.86830299687 -11.3011039331 
720097000.0 -11.6912780089 -8.06323714207 -9.05567409092 -15.6171637704 -7.02415424971 -2.72764948936 -7.92921125082 -7.28265855722 -9.60092416128 -4.37468406112 -0.62719082469 -5.77475726416 -11.2025234897 
960096000.0 -11.5977736351 -6.34107082702 -8.91683094708 -15.2555291861 -6.89541984378 -2.71536517264 -7.75775113088 -7.1765003515 -9.37558926157 -4.31414661274 -0.667019088296 -5.68145368995 -11.1041761459 
1200095000.0 -11.5045290434 -6.21335302279 -8.77772235135 -14.8948533844 -6.76666747866 -2.70257452581 -7.58658146071 -7.07023715602 -9.15133308361 -4.25366090713 -0.706596748048 -5.58838973133 -11.0060594593 
1440094000.0 -11.4115402112 -6.08815969044 -8.63836507733 -14.5351247805 -6.63789843295 -2.68928525918 -7.4156904472 -6.96387559103 -8.92814032545 -4.19322769102 -0.74592866119 -5.49556289324 -10.9081710342 
1680093000.0 -11.3188032084 -5.96067020078 -8.49877495667 -14.1763320276 -6.50911395277 -2.67550491534 -7.24506705088 -6.8574220314 -8.70599609245 -4.13284768606 -0.785019572193 -5.40297072716 -10.8105085203 
1920092000.0 -11.2263141947 -5.83194745972 -8.35896694674 -13.8184640103 -6.38031525273 -2.66124087396 -7.07470092826 -6.7508826174 -8.48488588164 -4.07252158964 -0.823874116095 -5.31061082987 -10.7130696118 
2160091000.0 -11.1340694173 -5.70232514044 -8.21895519232 -13.4615098376 -6.25150351681 -2.6465003564 -6.90458237941 -6.64426326483 -8.26479556677 -4.01225007569 -0.862496821716 -5.21848084222 -10.6158520456 
2400090000.0 -11.042065209 -5.57941318434 -8.07875308177 -13.1054588375 -6.12267989928 -2.63129043017 -6.73470230012 -6.53756967475 -8.04571138411 -3.95203379544 -0.900892114751 -5.12657844804 -10.5188536009 
2640089000.0 -10.9502979853 -5.45055788501 -7.93837329849 -12.7503005502 -5.99384552553 -2.61561801321 -6.56529845509 -6.43080734259 -7.82761991904 -3.89187337812 -0.939064320767 -5.03490137294 -10.4220720973 
2880088000.0 -10.8587642427 -5.32166803089 -7.79782786791 -12.3960247226 -5.86500149292 -2.59948987806 -6.40195492355 -6.32398156684 -7.61050809314 -3.83176943172 -0.977017668076 -4.94344738327 -10.3255053945 
3120087000.0 -10.7674605568 -5.19135983431 -7.65712820072 -12.0426213028 -5.73614887153 -2.58291265587 -6.24279716301 -6.21709745734 -7.39436315204 -3.7717225436 -1.01475629052 -4.85221428507 -10.2291513905 
3360086000.0 -10.6763835795 -5.06992113962 -7.51628513248 -11.6900804344 -5.60728870495 -2.56589284024 -6.08659633239 -6.11015994306 -7.17917265372 -3.71173328121 -1.05228423015 -4.76119992307 -10.1330080212 
