>> -Wthin,black
600.0 10.5397383598
604.940383231 10.5295491213
609.880766462 10.519369263
614.821149694 10.5091987382
619.761532925 10.4990374975
624.701916156 10.4888854892
629.642299387 10.4787426593
634.582682618 10.4686089513
639.52306585 10.4584843069
644.463449081 10.4483686655
649.403832312 10.4382619643
654.344215543 10.428164139
659.284598774 10.4180751231
664.224982006 10.4079948485
669.165365237 10.3979232452
674.105748468 10.3878602416
679.046131699 10.3778057647
683.98651493 10.3677597397
688.926898162 10.3577220905
693.867281393 10.3476927396
698.807664624 10.337671608
703.748047855 10.3276586155
708.688431086 10.3176536807
713.628814318 10.307656721
718.569197549 10.2976676527
723.50958078 10.2876863908
728.449964011 10.2777128495
733.390347242 10.267746942
738.330730474 10.2577885804
743.271113705 10.247837676
748.211496936 10.2378941393
753.151880167 10.2279578798
758.092263398 10.2180288065
763.03264663 10.2081068274
767.973029861 10.19819185
772.913413092 10.1882837811
777.853796323 10.1783825267
782.794179554 10.1684879924
787.734562786 10.1586000833
792.674946017 10.1487187037
797.615329248 10.1388437578
802.555712479 10.1289751491
807.49609571 10.1191127806
812.436478942 10.1092565551
817.376862173 10.099406375
822.317245404 10.0895621423
827.257628635 10.0797237587
832.198011866 10.0698911255
837.138395098 10.0600641441
842.078778329 10.0502427153
847.01916156 10.0404267398
851.959544791 10.0306161183
856.899928022 10.0208107509
861.840311254 10.0110105381
866.780694485 10.0012153798
871.721077716 9.99142517622
876.661460947 9.98163982715
881.601844178 9.97185923251
886.54222741 9.96208329213
891.482610641 9.95231190585
896.422993872 9.94254497347
901.363377103 9.93278239482
906.303760334 9.92302406976
911.244143566 9.91326989821
916.184526797 9.90351978014
921.124910028 9.89377361561
926.065293259 9.88403130476
931.00567649 9.87429274786
935.946059722 9.86455784529
940.886442953 9.85482649758
945.826826184 9.8450986054
950.767209415 9.83537406958
955.707592646 9.82565279114
960.647975878 9.8159346713
965.588359109 9.80621961146
970.52874234 9.79650751323
975.469125571 9.78679827846
980.409508802 9.77709180924
985.349892034 9.76738800788
990.290275265 9.75768677698
995.230658496 9.74798801936
1000.17104173 9.73829163817
1005.11142496 9.7285975368
1010.05180819 9.71890561895
1014.99219142 9.70921578863
1019.93257465 9.69952795016
1024.87295788 9.68984200816
1029.81334111 9.68015786759
1034.75372435 9.67047543376
1039.69410758 9.66079461229
1044.63449081 9.65111530917
>> -Wthin,black
600.0 9.11477485766
604.940383231 9.12556823946
609.880766462 9.13619554252
614.821149694 9.14665267599
619.761532925 9.15693507226
624.701916156 9.16703759333
629.642299387 9.17695440916
634.582682618 9.1866788361
639.52306585 9.19620311709
644.463449081 9.20551811314
649.403832312 9.21461285449
654.344215543 9.22347385657
659.284598774 9.23208401384
664.224982006 9.24042066171
669.165365237 9.24845176814
674.105748468 9.25612695792
679.046131699 9.26334729733
683.98651493 9.26977316598
688.926898162 9.27587876702
693.867281393 9.28196134519
698.807664624 9.28802086153
703.748047855 9.29405727509
708.688431086 9.30007054292
713.628814318 9.3060606202
718.569197549 9.31202746027
723.50958078 9.31797101471
728.449964011 9.32389123336
733.390347242 9.32978806443
738.330730474 9.33566145453
743.271113705 9.34151134873
748.211496936 9.34733769061
753.151880167 9.35314042232
758.092263398 9.35891948462
763.03264663 9.36467481694
767.973029861 9.37040635743
772.913413092 9.37611404301
777.853796323 9.38179780939
782.794179554 9.38745759114
787.734562786 9.39309332174
792.674946017 9.3987049336
797.615329248 9.40429235811
802.555712479 9.40985552569
807.49609571 9.41539436581
812.436478942 9.42090880706
817.376862173 9.42639877714
822.317245404 9.43186420294
827.257628635 9.43730501057
832.198011866 9.44272112536
837.138395098 9.44811247193
842.078778329 9.45347897421
847.01916156 9.45882055547
851.959544791 9.46413713835
856.899928022 9.46942864491
861.840311254 9.47469499662
866.780694485 9.47993611442
871.721077716 9.48515191874
876.661460947 9.49034232955
881.601844178 9.49550726631
886.54222741 9.5006466481
891.482610641 9.50576039358
896.422993872 9.51084842102
901.363377103 9.51591064833
906.303760334 9.5209469931
911.244143566 9.52595737261
916.184526797 9.53094170383
921.124910028 9.5358999035
926.065293259 9.54083188807
931.00567649 9.5457375738
935.946059722 9.55061687671
940.886442953 9.55546971268
945.826826184 9.56029599736
950.767209415 9.56509564632
955.707592646 9.56986857493
960.647975878 9.57461469851
965.588359109 9.57933393222
970.52874234 9.58402619119
975.469125571 9.58869139046
980.409508802 9.59332944503
985.349892034 9.59794026985
990.290275265 9.60252377988
995.230658496 9.60707989004
1000.17104173 9.61160851529
1005.11142496 9.61610957059
1010.05180819 9.62058297096
1014.99219142 9.62502863144
1019.93257465 9.62944646716
1024.87295788 9.6338363933
1029.81334111 9.63819832515
1034.75372435 9.64253217806
1039.69410758 9.64683786754
1044.63449081 9.65111530917
>> -Wthin,black,-
1044.63449081 9.65111530917
1049.69410758 9.65546661787
1054.75372435 9.65978812003
1059.81334111 9.66407972546
1064.87295788 9.66834134413
1069.93257465 9.67257288621
1074.99219142 9.67677426207
1080.05180819 9.68094538228
1085.11142496 9.68508615763
1090.17104173 9.68919649914
1095.2306585 9.69327631807
1100.29027526 9.69732552591
1105.34989203 9.70134403443
1110.4095088 9.70533175564
1115.46912557 9.70928860184
1120.52874234 9.71321448559
1125.58835911 9.71710931975
1130.64797588 9.72097301747
1135.70759265 9.72480549222
1140.76720942 9.72860665774
1145.82682618 9.73237642812
