V791	 5 1100 5	Fe3O4+FeO
H3775 	 6 1000 5 	Fe3O4+FeO
S5751 	 6 1100 5 	Fe3O4+FeO
S5751 	 6 1250 5 	Fe3O4+FeO+melt
S5727# 	 7 1000 5 	Fe3O4+FeO+MoOx?
S6002	 7 1100	3	Fe3O4+FeO
S5728# 	 8 1100 5 	Fe3O4+FeO+Fe4O5+MoO2
V733 	 8 1300 3 	Fe3O4+FeO+melt
V734 	 8 1200 3 	Fe3O4+Fe4O5
*V743 	 8 1000 5.5 	Fe3O4+Fe4O5
V736 	 9 1200 7 	Fe4O5
V744	 9 1000	5.5	Fe3O4+Fe4O5
S5698	 9 1000 20 	
H3551 	11 1000 7 	Fe4O5(xtl)
S5648 	12 1300 3 	Fe4O5+ReO2
*S5696 	12 1200 2 	Fe4O5+ReO2
S5742 	13 1200 2 	
V739 	16 1100 3 	Fe4O5(xtl)
S5570 	16 1400 5 	Fe4O5(xtl)
H3571 	20 1200 5 	
S5597 	22 1000 3.5 
S5640	22 1000 5	Fe3O4+Fe4O5
S5646 	22 1200 4 	Fe4O5+ReO2
S5589 	24 1200 5 	
S5576 	24 1400 5 	
