>> -W1,black
12.7869494538 -1.23581554353
12.8538935217 -1.11953359987
12.9206673024 -0.996441153622
12.9872491491 -0.865872786228
13.0536177473 -0.727060664322
13.1197521795 -0.57911202367
13.1856319874 -0.420980022541
13.2512372291 -0.251425446309
13.3165485337 -0.068965538937
13.3815471495 0.12819568437
13.4462149885 0.342264448612
13.5105346647 0.575995742678
13.5744895263 0.832897100943
13.6380636453 1.11753922008
13.7012419827 1.43605009715
13.7640102137 1.79694415498
13.8263548555 2.2126097483
13.8882632471 2.70222374932
13.9497235563 3.29819459593
14.0107247721 4.06316406211
14.0712566942 5.1500857645
>> -W1,black
8.21633704509 -3.73522275361
8.26336085555 -3.72354749412
8.31099900352 -3.71139992936
8.35926353561 -3.69876887192
8.40816693621 -3.68564270244
8.45772215114 -3.67200933514
8.50794261185 -3.6578561803
8.5588422601 -3.64317010429
8.61043557306 -3.62793738721
8.66273758888 -3.61214367772
8.71576393285 -3.5957739451
8.76953084415 -3.57881242801
8.82405520325 -3.56124258002
8.87935455994 -3.54304701122
8.93544716223 -3.52420742599
8.99235198599 -3.50470455609
9.05008876554 -3.48451808913
9.10867802512 -3.46362659145
9.16814111148 -3.44200742535
9.22850022748 -3.41963665959
9.28977846694 -3.39648897295
9.35199985069 -3.37253754972
9.41518936394 -3.34775396645
9.47937299507 -3.32210806898
9.54457777593 -3.29556783863
9.61083182358 -3.26809924635
9.67816438378 -3.23966609341
9.74660587611 -3.21022983712
9.81618794084 -3.17974939973
9.8869434877 -3.1481809585
9.95890674646 -3.11547771462
10.0321133195 -3.08158963833
10.1066002363 -3.04646318716
10.1824060101 -3.01004099375
10.2595706964 -2.97226151932
10.3381359535 -2.93305866794
10.4181451052 -2.89236135624
10.4996432056 -2.85009303217
10.582677105 -2.80617113542
10.6672955189 -2.76050649075
10.7535490972 -2.71300262399
10.841490496 -2.66355498848
10.93117445 -2.61205008769
11.0226578455 -2.55836447665
11.1159997945 -2.50236362168
11.2112617086 -2.44390059346
11.3085073711 -2.38281456349
11.4078030098 -2.31892906724
11.5092173651 -2.25204998909
11.6128217569 -2.18196321387
11.718690145 -2.10843187636
11.8268991848 -2.03119312302
11.9375282746 -1.94995427817
12.0506595927 -1.86438827753
12.1663781232 -1.77412819397
12.2847716659 -1.67876062878
12.4059308291 -1.57781767258
12.5299490003 -1.47076704555
12.6569222914 -1.35699989495
12.7869494541 -1.23581554404
>> -W1,black
12.7869494561 -1.23581554033
13.0117426522 -1.0451841812
13.2445460807 -0.843868236025
13.4856975418 -0.630972617529
13.7355466378 -0.405472188411
13.9944542306 -0.166183338085
14.2627916908 0.088273123291
14.5409399011 0.359521187391
14.8292879773 0.649496131562
15.128231665 0.96053616676
15.438171372 1.29551175111
15.7595097902 1.65801303639
16.0926490656 2.052630325
16.4379874766 2.48538987131
16.7959155849 2.96446305261
17.1668118569 3.50138886361
17.5510376195 4.11334428501
17.9489316301 4.82780314641
18.3608039379 5.69355981156
18.7869294219 6.81328851593
19.2275407769 8.48870294359
>> -W1,red
8.0 -3.76313797658
8.5 -3.59038738245
9.0 -3.41839431781
9.5 -3.2471252426
10.0 -3.07654869567
10.5 -2.90663512554
11.0 -2.73735673804
11.5 -2.56868735919
12.0 -2.4006023112
12.5 -2.23307830025
13.0 -2.06609331472
13.5 -1.89962653266
14.0 -1.73365823753
14.5 -1.53455287426
15.0 -1.3337933987
15.5 -1.1339750241
16.0 -0.93507072641
16.5 -0.737054651103
17.0 -0.539902044982
17.5 -0.343589192939
18.0 -0.148093359327
>> -W1,blue
8.0 -1.87428806885
8.5 -1.63493551181
9.0 -1.39926521853
9.5 -1.1671131869
10.0 -0.938335866085
10.5 -0.712806255345
11.0 -0.490410976237
11.5 -0.271048024716
12.0 -0.0546250112821
12.5 0.158942239964
13.0 0.369730822864
13.5 0.577811674812
14.0 0.783250342475
14.5 0.986107621557
15.0 1.18644009612
15.5 1.3843005969
16.0 1.57973859356
16.5 1.77280053274
17.0 1.96353013096
17.5 2.15196863
18.0 2.33815502054
>> -W0.5,grey,
8.0 -3.0230854033 0.6
8.15475873254 -3.05194802041 0.6
8.30951746508 -3.08041713993 0.6
8.46427619763 -3.10849554384 0.6
8.61903493017 -3.13618598025 0.6
8.77379366271 -3.16349116391 0.6
8.92855239525 -3.19041377685 0.6
9.08331112779 -3.21695646886 0.6
9.23806986034 -3.24312185808 0.6
9.39282859288 -3.2689125315 0.6
9.54758732542 -3.29433104552 0.6
>> -W0.5,grey,-
8.0 -2.73934647484 0.65
8.20118668708 -2.77742054802 0.65
8.40237337416 -2.81483349136 0.65
8.60356006124 -2.85159118 0.65
8.80474674832 -2.88769942437 0.65
9.0059334354 -2.9231639396 0.65
9.20712012248 -2.95799035484 0.65
9.40830680956 -2.99218421482 0.65
9.60949349664 -3.02575098105 0.65
9.81068018372 -3.05869603327 0.65
10.0118668708 -3.09102467515 0.65
>> -W0.5,grey,
8.0 -2.39286642482 0.7
8.25330457804 -2.44138394065 0.7
8.50660915607 -2.48886088082 0.7
8.75991373411 -2.53530855275 0.7
9.01321831215 -2.58073804128 0.7
9.26652289018 -2.62516023088 0.7
9.51982746822 -2.66858580788 0.7
9.77313204625 -2.71102526522 0.7
10.0264366243 -2.75248890746 0.7
10.2797412023 -2.79298685528 0.7
10.5330457804 -2.83252904991 0.7
>> -W0.5,grey,-
8.0 -1.96231347913 0.75
8.31239193339 -2.02265992654 0.75
