>> -W1,black
12.7869494535 -0.997663544051
12.8538935217 -0.88391818655
12.9206673023 -0.763374596405
12.9872491491 -0.635343316805
13.0536177472 -0.49902362084
13.1197521795 -0.353477773185
13.1856319872 -0.197597328968
13.2512372288 -0.0300583034009
13.3165485331 0.150739530864
13.3815471479 0.346756506373
13.4462149838 0.56043161114
13.5105346518 0.794854571337
13.5744895009 1.05402347624
13.6380636433 1.34324482846
13.7012419837 1.66978264305
13.764010215 2.04396989857
13.8263548573 2.48124509629
13.8882632507 3.00622758725
13.9497235616 3.66191284624
14.0107247698 4.53439676483
14.071256694 5.84162565778
>> -W1,black
8.09362677014 -3.45205954791
8.14113659803 -3.44134196844
8.18928518474 -3.43014887368
8.23808511201 -3.41846902614
8.28754941306 -3.40629079313
8.33769160068 -3.39360211087
8.38852569632 -3.38039044566
8.44006625955 -3.36664275263
8.49232841813 -3.35234543176
8.5453278985 -3.33748428115
8.59908105695 -3.3220444472
8.65360491136 -3.30601037157
8.7089171737 -3.28936573455
8.76503628318 -3.27209339465
8.82198144038 -3.25417532394
8.87977264212 -3.23559253889
8.93843071746 -3.21632502616
8.9979773647 -3.19635166286
9.05843518952 -3.17565013083
9.11982774442 -3.15419682413
9.18217956952 -3.13196674916
9.24551623473 -3.10893341662
9.30986438355 -3.08506872433
9.37525177849 -3.06034282984
9.44170734819 -3.03472401192
9.50926123655 -3.00817851926
9.57794485359 -2.98067040526
9.64779092863 -2.95216134687
9.71883356539 -2.92261044578
9.79110829957 -2.89197400973
9.86465215858 -2.8602053112
9.93950372385 -2.82725432082
10.0157031956 -2.79306741203
10.0932924601 -2.75758703302
10.1723151597 -2.7207513416
10.2528167654 -2.68249379769
10.3348446521 -2.64274270728
10.4184481763 -2.60142071074
10.503678757 -2.5584442071
10.5905899579 -2.51372270421
10.6792375733 -2.46715808319
10.7696797152 -2.41864376296
10.8619769022 -2.36806374813
10.9561921508 -2.31529154015
11.0523910663 -2.26018888718
11.1506419354 -2.20260434319
11.2510158177 -2.14237160011
11.3535866366 -2.07930754843
11.458431267 -2.01321001141
11.565629621 -1.94385508429
11.6752647264 -1.87099399237
11.7874228002 -1.79434935943
11.9021933121 -1.71361074738
12.0196690355 -1.62842928889
12.1399460855 -1.53841118048
12.2631239369 -1.44310973134
12.3893054211 -1.34201556268
12.5185966951 -1.23454441258
12.651107179 -1.12002180338
12.7869494541 -0.99766354361
