expt	         p1	p2	P	T	nMg	nSi	nFe2	nFe3	XMg
4f3v131 	 fm45	ol	90	1100	0.182	0.0031	1.821	1.994	0.72
8f1v127 	 fm45	ol	105	1100	0.384	0.004	1.619	1.992	0.90
4f1v127 	 fm45	ol	105	1100	0.433	0.009	1.576	1.98	0.91

hi3+_9f8v232	 fm45	rw	105	1100	0.059	0.0038	1.945	1.992	0.175
hi3+_8f5v100     fm45   rw      105     1100    0.226   0.021   1.795   1.95    0.440
8f5v055          fm45   rw      105     1100    0.172   0.008   1.836   1.98    0.475
8f5z133          fm45   rw      140     1100    0.172   0.0053  1.833   1.989   0.475

8f1v238	         fm45	wad	120	1100	0.477	0.0032	1.526	1.994	0.815
bad_4f1h1645     fm45	wad	140	1100	0.375	0.007	1.631	1.986	0.82
8f1h1646         fm45	wad	140	1100	0.498	0.007	1.509	1.98	0.825
8f1h1845         fm45   wad     160     1100    0.500   0.004   1.490   1.992   0.83



