Exeriment	Phase	Comp	P[GPa]	T [°C]	buffer 	Oxygens	Si	Si unc	Al	Al unc	Fe2	Fe2 unc	Fe3	Fe3 unc	Mo	Mo unc	Mg	Mg unc	Ca	Ca unc	Na	Na unc	Re	Total	Fe3/Fetotal	Fe3/Fetotal unc
Z1699	Majorite	KLB-1	20	1600	Re	12	3.662	0.035	0.569	0.017	0.179	0.006	0.155	0.020	0.000	0.000	3.299	0.021	0.218	0.015	0.020	0.008	0.000	8.102	0.44	0.06
Z1699	Ringwoodite	KLB-1	20	1600	Re	4	0.999	0.005	0.006	0.000	0.150	0.002	0.000	0.000	0.000	0.000	1.843	0.004	0.001	0.000	0.000	0.000	0.000	2.998		
Z1699	Re	KLB-1	20	1600	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
Z1699	ReO2	KLB-1	20	1600	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
																										
H4560	Majorite	KLB-1	20	1800	Re	12	3.660	0.014	0.566	0.025	0.155	0.008	0.153	0.016	0.000	0.000	3.191	0.053	0.371	0.023	0.000	0.000	0.000	8.096	0.47	0.05
H4560	Ringwoodite	KLB-1	20	1800	Re	4	0.991	0.005	0.011	0.003	0.137	0.004	0.000	0.000	0.000	0.000	1.862	0.014	0.003	0.003	0.000	0.000	0.000	3.003		
H4560	Re	KLB-1	20	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
H4560	ReO2	KLB-1	20	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
																										
Z1785	Majorite	KLB-1	20	1800	Mo	12	3.672	0.035	0.540	0.083	0.261	0.005	0.020	0.008	0.000	0.000	3.047	0.042	0.521	0.008	0.005	0.014	0.000	8.066	0.07	0.03
Z1785	Ringwoodite	KLB-1	20	1800	Mo	4	0.982	0.008	0.004	0.000	0.195	0.001	0.000	0.000	0.000	0.000	1.833	0.013	0.002	0.000	0.000	0.000	0.000	3.016		
Z1785	Mo	KLB-1	20	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
Z1785	MoO2	KLB-1	20	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
Z1786	Majorite	KLB-1	20	1800	Fe	12	3.816	0.070	0.242	0.143	0.296	0.015	0.030	0.012	0.000	0.000	3.179	0.084	0.504	0.030	0.007	0.001	0.000	8.073	0.09	0.04
Z1786	Mgwustite	KLB-1	20	1800	Fe	2	0.001	0.001	0.003	0.000	0.306	0.015	0.000	0.000	0.000	0.000	1.685	0.024	0.001	0.000	0.001	0.000	0.000	1.998		
Z1786	Ringwoodite	KLB-1	20	1800	Fe	4	0.995	0.003	0.006	0.005	0.185	0.006	0.000	0.000	0.000	0.000	1.812	0.010	0.004	0.002	0.000	0.000	0.000	3.002		
Z1786	High-Censt	KLB-1	20	1800	Fe	6	1.984	0.008	0.023	0.006	0.068	0.008	0.000	0.000	0.000	0.000	1.082	0.027	0.846	0.015	0.004	0.001	0.000	4.007		
Z1786	Fe-metal	KLB-1	20	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
Z1782	Majorite	KLB-1	17	1600	Mo	12	3.443	0.056	1.081	0.133	0.360	0.015	0.032	0.011	0.000	0.000	2.671	0.105	0.438	0.023	0.000	0.000	0.000	8.025	0.08	0.03
Z1782	Wadsleyite	KLB-1	17	1600	Mo	4	1.007	0.002	0.006	0.003	0.252	0.004	0.000	0.000	0.000	0.000	1.723	0.011	0.002	0.001	0.000	0.000	0.000	2.990		
Z1782	High-Clinoenstatite	KLB-1	17	1600	Mo	6	2.004	0.014	0.010	0.001	0.090	0.008	0.000	0.000	0.000	0.000	1.107	0.032	0.780	0.035	0.000	0.000	0.000	3.991		
Z1782	Mo	KLB-1	17	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
Z1782	MoO2	KLB-1	17	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
Z1700	Majorite	KLB-1	17	1800	Fe	12	3.608	0.035	0.734	0.033	0.321	0.023	0.053	0.014	0.000	0.000	2.888	0.042	0.435	0.022	0.000	0.000	0.000	8.038	0.14	0.04
Z1700	Wadsleylite	KLB-1	17	1800	Fe	4	0.990	0.007	0.002	0.002	0.172	0.010	0.000	0.000	0.000	0.000	1.839	0.018	0.006	0.002	0.000	0.000	0.000	3.009		
Z1700	Fe-metal	KLB-1	17	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
H4321	Majorite	KLB-1	14	1800	Re	12	3.319	0.035	1.235	0.049	0.218	0.012	0.093	0.012	0.000	0.000	2.979	0.031	0.240	0.007	0.003	0.003	0.000	8.088	0.29	0.04
H4321	Olivine	KLB-1	14	1800	Re	4	0.991	0.005	0.002	0.001	0.112	0.004	0.000	0.000	0.000	0.000	1.898	0.011	0.004	0.000	0.001	0.000	0.000	3.008		
H4321	Re	KLB-1	14	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
H4321	ReO2	KLB-1	14	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
																										
H4692	Majorite	KLB-1	14	1600	Mo	12	3.164	0.098	1.655	0.165	0.315	0.058	0.000	0.000	0.000	0.000	2.551	0.104	0.322	0.015	0.000	0.000	0.000	8.008	0	0
H4692	Olivine	KLB-1	14	1600	Mo	4	1.005	0.005	0.001	0.000	0.134	0.006	0.000	0.000	0.000	0.000	1.850	0.011	0.004	0.001	0.000	0.000	0.000	2.994		
H4692	Orthopyroxene	KLB-1	14	1600	Mo	6	1.999	0.021	0.021	0.002	0.128	0.001	0.000	0.000	0.000	0.000	1.312	0.013	0.531	0.005	0.000	0.000	0.000	3.990		
H4692	Mo	KLB-1	14	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
H4692	MoO2	KLB-1	14	1600	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
H4556	Majorite	KLB-1	14	1600	Fe	12	3.590	0.036	0.742	0.025	0.374	0.024	0.062	0.016	0.000	0.000	2.505	0.213	0.782	0.077	0.000	0.000	0.000	8.055	0.14	0.04
H4556	Olivine	KLB-1	14	1600	Fe	4	0.993	0.024	0.031	0.009	0.168	0.020	0.000	0.000	0.000	0.000	1.784	0.072	0.016	0.008	0.000	0.000	0.000	2.992		
H4556	Fe-metal	KLB-1	14	1600	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
																										
Z1699	Majorite	MORB	20	1600	Re	12	3.357	0.037	1.518	0.061	0.515	0.009	0.141	0.018	0.000	0.000	1.232	0.011	1.005	0.008	0.303	0.014	0.000	8.071	0.21	0.03
Z1699	Stishovite	MORB	20	1600	Re	2	0.988	0.009	0.012	0.002	0.002	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.003	0.004	0.000	1.008		
Z1699	Re	MORB	20	1600	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
Z1699	ReO2	MORB	20	1600	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
																										
H4560	Majorite	MORB	20	1800	Re	12	3.391	0.060	1.570	0.026	0.558	0.011	0.101	0.012	0.000	0.000	0.982	0.011	1.059	0.016	0.377	0.015	0.000	8.038	0.15	0.02
H4560	High-Clinoenstatite	MORB	20	1800	Re	6	2.007	0.035	0.701	0.021	0.115	0.009	0.000	0.000	0.000	0.000	0.247	0.005	0.238	0.011	0.669	0.034	0.000	3.977		
H4560	Stishovite	MORB	20	1800	Re	2	0.982	0.020	0.024	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.006		
H4560	Re	MORB	20	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
H4560	ReO2	MORB	20	1800	Re	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000		
																										
Z1785	Majorite	MORB	20	1800	Mo	12	3.697	0.145	1.401	0.060	0.543	0.018	0.048	0.022	0.000	0.000	0.854	0.043	0.909	0.039	0.325	0.024	0.000	7.776	0.08	0.04
Z1785	Mo	MORB	20	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
Z1785	MoO2	MORB	20	1800	Mo	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
Z1786	Majorite	MORB	20	1800	Fe	12	3.634	0.080	1.408	0.034	0.545	0.024	0.068	0.034	0.000	0.000	0.879	0.033	0.968	0.047	0.353	0.042	0.000	7.856	0.11	0.06
Z1786	Fe-Metal	MORB	20	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
Z1700	Majorite	MORB	17	1800	Fe	12	3.489	0.151	1.406	0.071	1.044	0.060	0.032	0.010	0.000	0.000	0.822	0.023	0.882	0.032	0.278	0.015	0.000	7.955	0.03	0.01
Z1700	Clinopyroxene	MORB	17	1800	Fe	6	1.942	0.014	0.624	0.034	0.162	0.015	0.000	0.000	0.000	0.000	0.384	0.011	0.395	0.004	0.479	0.021	0.000	3.985		
Z1700	Fe-metal	MORB	17	1800	Fe	1	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		
																										
