# Expt	Chamber	P (GPa)	T (K)	Phase	Fe		Al		Ca		Si		Mg		cation total
H1554	pyrolite	18	1673.15	gt	0.45	0.03	0.97	0.06	0.67	0.05	3.57	0.03	2.29	0.07	7.95
H1554	pyrolite	18	1673.15	ring	1.28	0.06	0.02	0.02	0.02	0.02	3	0.02	4.66	0.08	8.98
															
H1555	pyrolite	15	1673.15	gt	0.51	0.03	0.9	0.1	0.72	0.04	3.59	0.05	2.13	0.09	7.85
H1555	pyrolite	15	1673.15	ring	1.55	0.06	0.04	0.06	0.03	0.04	3	0.03	4.4	0.2	9.02
															
H1572	pyrolite	18	1673.15	gt	0.45	0.02	0.94	0.07	0.74	0.06	3.65	0.05	2.1	0.1	7.88
H1572	pyrolite	18	1673.15	ring	1.35	0.05	0.008	0.007	0.012	0.007	3	0.01	4.63	0.05	9
															
V170	pyrolite	19	1673.15	gt	0.29	0.02	0.88	0.07	0.65	0.09	3.6	0.04	2.5	0.1	7.92
V170	pyrolite	19	1673.15	ring	0.77	0.02	0.015	0.002	0.01	0.01	2.98	0.02	5.23	0.05	9.005
															
V179	pyrolite	18	1673.15	gt	0.29	0.02	1	0.05	0.64	0.03	3.47	0.02	2.62	0.07	8.02
V179	pyrolite	18	1673.15	ring	0.73	0.04	0.012	0.007	0.005	0.003	3.02	0.01	5.22	0.05	8.987
															
V175	pyrolite	14	1673.15	gt	0.35	0.01	0.94	0.03	0.68	0.01	3.59	0.02	2.38	0.02	7.94
V175	pyrolite	14	1673.15	wad	0.76	0.02	0.013	0.003	0.006	0.001	2.99	0.01	5.23	0.01	8.999
															
V193	pyrolite	18	1673.15	gt	0.41	0.03	0.9	0.07	0.61	0.03	3.54	0.04	2.5	0.1	7.96
V193	pyrolite	18	1673.15	wad	0.74	0.02	0.02	0.001	0	0	2.99	0.01	5.26	0.03	9.01
															
V191	pyrolite	14	1673.15	gt	0.39	0.02	0.96	0.07	0.66	0.08	3.58	0.02	2.3	0.1	7.89
V191	pyrolite	14	1673.15	wad	0.77	0.03	0.01	0.004	0.01	0.01	3.01	0.01	5.19	0.03	8.99
															
V197	pyrolite	18	1973.15	gt	0.4	0.01	0.91	0.07	0.37	0.04	3.54	0.03	2.79	0.02	8.01
V197	pyrolite	18	1973.15	wad	0.82	0.02	0.06	0.004	0	0	2.97	0.01	5.15	0.01	9
V197	pyrolite	18	1973.15	mw	3.2	0.02	0.07	0.005	0.007	0.001	0.011	0.001	8.64	0.01	11.928
															
H1556	pyrolite	13	1673.15	gt	0.54	0.02	0.91	0.06	0.5	0.1	3.56	0.04	2.47	0.07	7.98
H1556	pyrolite	13	1673.15	wad	1.13	0.02	0.03	0.02	0.01	0.01	2.99	0.01	4.82	0.05	8.98
H1556	pyrolite	13	1673.15	ol	0.66	0.02	0.012	0.005	0.011	0.002	2.98	0.01	5.35	0.04	9.013
															
V179	Ca1	18	1673.15	gt	0.42	0.04	1.8	0.1	0.19	0.04	3.05	0.05	2.59	0.06	8.05
V179	Ca1	18	1673.15	ring	1.03	0.02	0.03	0.05	0	0	3	0.01	4.9	0.1	8.96
V179	Ca2	18	1673.15	gt	0.38	0.03	1.94	0.03	0.44	0.05	2.99	0.01	2.28	0.07	8.03
V179	Ca2	18	1673.15	ring	1.08	0.01	0.03	0.009	0	0	2.99	0.01	4.88	0.02	8.98
V179	Maj1	18	1673.15	gt	0.47	0.03	0.6	0.08	0.012	0.005	3.65	0.04	3.31	0.05	8.042
V179	Maj1	18	1673.15	ring	1.17	0.03	0.017	0.009	0	0	3	0.01	4.79	0.04	8.977
V179	Maj2	18	1673.15	gt	0.37	0.03	0.55	0.05	0.026	0.009	3.63	0.06	3.51	0.04	8.086
V179	Maj2	18	1673.15	ring	0.83	0.02	0.028	0.009	0	0	3	0.01	5.13	0.02	8.988
															
H1572	Maj3	18	1673.15	gt	0.58	0.03	0.49	0.04	0	0	3.72	0.03	3.24	0.04	8.03
H1572	Maj3	18	1673.15	ring	1.45	0.06	0.003	0.004	0	0	2.983	0.009	4.58	0.06	9.016
H1572	Maj4	18	1673.15	gt	0.62	0.04	0.53	0.07	0.005	0.005	3.68	0.03	3.21	0.06	8.045
H1572	Maj4	18	1673.15	ring	1.65	0.06	0.012	0.003	0	0	2.97	0.01	4.37	0.04	9.002
