# x_m1  x_m2    P     Perr  m1  m2
# 0.1861  0.3035  0.4042  12.5 0.5 invar
0.1685  0.2492  16.0  0.5   wad rw
0.0767  0.1254  14.0  0.5   ol  wad
0.1158  0.1837  14.0  0.5   ol  wad
0.1494  0.2500  13.0  0.5   ol  wad
0.2053  0.3339  12.8  0.5   ol  wad
0.1861  0.3035  12.5  0.707    ol wad
0.1861  0.4042  12.5  0.707    ol rw
0.3035  0.4042  12.5  0.707    wad rw
0.3035  0.1861  12.5  0.707    wad ol
0.4042  0.1861  12.5  0.707    rw ol
0.4042  0.3035  12.5  0.707    rw wad
0.2939  0.5799  11.0  0.5    ol  rw
0.00    0.0000  20.0  0.25   mwd mrw
0.00    0.0000  14.25 0.25   fo mwd
1.00    1.000   6.30  0.25   fa frw
