#        wadsleyite                        ringwoodite 
# T(C) a(A)         b(A)          c(A)      V(A^3)       a(A)         V(A^3)       comments
20   5.703  0.005 11.424  0.004 8.260  0.004 538.1  0.9  8.065  0.001 524.6  0.2
100  5.705  0.007 11.444  0.010 8.268  0.006 539.8  1.5  8.073  0.003 526.1  0.6
200  5.707  0.005 11.470  0.008 8.279  0.005 541.9  1.2  8.081  0.003 527.7  0.6
300  5.719  0.007 11.467  0.008 8.291  0.006 543.7  1.4  8.093  0.001 530.1  0.2
400  5.724  0.004 11.471  0.005 8.302  0.004 545.1  0.9  8.100  0.002 531.4  0.4
500  5.728  0.005 11.482  0.007 8.319  0.005 547.1  1.1  8.105  0.002 532.4  0.4
600  5.731  0.005 11.493  0.007 8.325  0.006 548.3  1.2  8.116  0.001 534.6  0.2
700  5.733  0.002 11.511  0.003 8.338  0.002 550.2  0.5  8.123  0.002 536.0  0.4
20   5.703  0.005 11.424  0.004 8.260  0.004 538.1  0.9  8.065  0.001 524.6  0.2
100  5.705  0.001 11.449  0.003 8.268  0.001 540.0  0.3  8.071  0.003 525.8  0.6
200  5.710  0.003 11.458  0.007 8.273  0.003 541.3  0.8  8.079  0.004 527.3  0.8
200  5.714  0.003 11.460  0.006 8.279  0.003 542.1  0.8  8.076  0.005 526.7  1.0 # decreasing T
300  5.718  0.005 11.476  0.005 8.292  0.002 544.1  0.8  8.090  0.004 529.5  0.8
400  5.723  0.002 11.470  0.005 8.296  0.003 544.6  0.6  8.096  0.003 530.7  0.6
500  5.731  0.001 11.489  0.002 8.317  0.001 547.6  0.3  8.101  0.007 531.6  1.4
500  5.729  0.005 11.489  0.007 8.318  0.005 547.5  1.1  8.099  0.002 531.2  0.4 # decreasing T
600  5.732  0.005 11.500  0.010 8.329  0.005 549.0  1.3  8.113  0.003 534.0  0.6
700  5.735  0.002 11.510  0.003 8.336  0.001 550.3  0.4  8.120  0.005 535.4  1.0
