# Expt	Chamber	P (GPa)	T (K)	Phase	Fe	Fe err	Al	Al err	Si	Si err	Mg	Mg err	cation total
H1554	A	18	1673.15	gt	0.42	0.03	1.94	0.04	3	0.01	2.66	0.04	8.02
H1554	A	18	1673.15	ring	1.2	0.03	0.05	0.05	2.98	0.01	4.75	0.09	8.98
H1554	A	18	1673.15	mw	3.87	0.1	0.035	0.01	0.049	0.01	7.978	0.1	11.932
H1554	B	18	1673.15	gt	0.76	0.05	1.8	0.1	3.08	0.08	2.41	0.07	8.05
H1554	B	18	1673.15	ring	2.05	0.07	0.03	0.02	2.9	0.02	4.1	0.3	9.08
H1554	B	18	1673.15	mw	6.97	0.1	0	0	0	0	5.031	0.1	12.001
H1554	E	18	1673.15	gt	1.28	0.04	1.85	0.06	3.02	0.02	1.89	0.05	8.04
H1554	E	18	1673.15	ring	3.1	0.08	0.04	0.06	2.98	0.02	2.87	0.06	8.99
													
H1555	B	15	1673.15	gt	0.79	0.02	1.9	0.1	3.04	0.05	2.29	0.07	8.02
H1555	B	15	1673.15	ring	2.13	0.07	0.02	0.01	2.99	0.01	3.85	0.07	8.99
H1555	B	15	1673.15	mw	7.03	0.01	0.03	0.01	0.047	0.001	4.836	0.008	11.943
H1555	E	15	1673.15	gt	1.34	0.05	1.89	0.06	3.03	0.02	1.78	0.03	8.04
H1555	E	15	1673.15	ring	3.44	0.05	0.03	0.06	3	0.01	2.51	0.04	8.98
H1555	G	15	1673.15	gt	2.01	0.06	1.9	0.05	3.01	0.02	1.12	0.02	8.04
H1555	G	15	1673.15	ring	4.74	0.02	0.01	0.06	3	0.01	1.23	0.02	8.98
													
H1556	A	15	1673.15	gt	0.47	0.03	1.96	0.02	2.96	0.01	2.68	0.03	8.07
H1556	A	15	1673.15	wad	0.9	0.02	0.06	0.08	2.9	0.02	5.21	0.04	9.07
H1556	B	15	1673.15	gt	0.71	0.03	1.87	0.06	2.98	0.02	2.52	0.07	8.08
H1556	B	15	1673.15	wad	1.28	0.09	0.04	0.06	2.906	0.006	4.84	0.07	9.066
H1556	E	15	1673.15	gt	1.99	0.03	1.92	0.05	2.98	0.02	1.15	0.03	8.04
H1556	E	15	1673.15	ring	4.75	0.07	0	0	2.96	0.01	1.3	0.1	9.01
H1556	G	15	1673.15	gt	1.29	0.05	1.87	0.08	2.99	0.03	1.91	0.05	8.06
