# Run no.	Load(ton)	TEL(mm)	T(K)	Duration (h)	Wd(Mg#)		Rw(Mg#)		KD		      MgO V/V0		    P(GPa, Tange)		P(GPa, Speziale)
S2932	    350	      5	      1473	7	            81.1	0.3	68.4	0.7	0.51	0.01	0.96874	0.00065	12.62	0.15	    12.94	0.13
S2840	    450	      4	      1473	3	            87.2	0.3	77.8	0.5	0.52	0.01	0.96007	0.00022	14.28	0.05	    14.46	0.04
S2947	    580	      5	      1473	3	            93.2	0.2	88.3	0.3	0.55	0.02	0.95301	0.0009	15.68	0.23	    15.88	0.19
S3323d	  650_to_more_than_720	5	1673	8	      83.2	0.2	75.5	0.3	0.62	0.01	0.96684	0.00053	14.27	0.12	    14.47	0.1
S3254	    800	      5	      1673	6	            85.1	0.3	78.1	0.1	0.63	0.01	0.96462	0.00057	14.69	0.13	    14.9	0.11
S2910	    600	      5	      1673	2	            85.3	0.6	77.2	0.6	0.58	0.03	0.96311	0.00056	14.98	0.13	    15.19	0.11
S2823	    500	      4	      1673	1	            85.5	0.4	77.6	0.3	0.58	0.01	0.96310	0.00088	15.13	0.21	    15.2	0.17
S2917	    700	      5	      1673	2	            92.9	0.3	88.4	0.3	0.58	0.02	0.95559	0.00089	16.46	0.23	    16.75	0.16
S2838	    500	      4	      1873	1	            75.1	0.5	65.5	0.7	0.63	0.02	0.97802	0.00079	13.52	0.16	    13.89	0.14
S2893	    560	      5	      1873	1	            80.6	0.3	71.3	0.2	0.60	0.01	0.97194	0.00085	14.62	0.18	    14.85	0.16
S2900	    660	      5	      1873	1	            81.2	0.5	73.0	0.5	0.63	0.02	0.96997	0.00061	14.98	0.13	    15.21	0.11
S2901	    800	      5	      1873	2	            84.5	0.2	77.3	0.5	0.62	0.02	0.96582	0.00084	15.76	0.19	    16	0.16
S2849	    650	      4	      1873	1	            93.3	0.2	89.6	0.2	0.61	0.01	0.95447	0.00082	17.98	0.21	    18.26	0.17
# S3255a	650	5	1673	1	82.1	0.4	73.5	0.4	0.61	0.02
# S3255b	650	5	1673	1	81.3	4	72.2	4	0.6	0.01
# 5K3134a,e	360	5	1673	1	82.5	0.6	72.6	0.3	0.56	0.02
# 5K3134b,e	360	5	1673	1	83.3	0.7	74.3	0.7	0.58	0.03
# d Pressure was kept larger than pressure just after reached at a desired temperature using addition compression from 65 to 720 ton.
# All experiments in graphite capsules with Mo foil
# Estimated temperature uncertainties of 25 K
