#Run_id	Pav(GPa) Perr(GPa)	Tav(K)	Terr(K)	Al/(Al+Mg+Si)
G1	2.5	 0.02		1364.65	2.5	0.0532
G1	2.5	 0.02		1364.65	2.5	0.0453
G3	3	 0.02		1372.15	6	0.0340
G3	3	 0.02		1372.15	6	0.0300
G5	2.08	 0.02		1349.15	3	0.0650
G5	2.08	 0.02		1349.15	3	0.0591
G7	2.52	 0.02		1317.65	1.5	0.0483
G7	2.52	 0.02		1317.65	1.5	0.0424
G9	2	 0.02		1322.65	2.5	0.0749
G9	2	 0.02		1322.65	2.5	0.0611
G13	3.12	 0.08		1362.65	1.5	0.0305
G14	3.16	 0.04		1369.65	3.5	0.0241
G19	4.04	 0.08		1369.65	3.5	0.0177
G20	4.04	 0.08		1373.65	4.5	0.0138
G22	3.48	 0.04		1378.65	1.5	0.0266
G23	3.5	 0.02		1375.15	3	0.0148
P3	2.24	 0.04		1314.15	3	0.0596
P3	2.24	 0.04		1314.15	3	0.0557
P8	2.165	 0.055		1181.15	10	0.0389
P8	2.165	 0.055		1181.15	10	0.0305
P16	3	 0.05		1231.65	7.5	0.0222
P16	3	 0.05		1231.65	7.5	0.0143
P17	3.035	 0.075		1142.15	4	0.0158
.P17	3.035	 0.075		1142.15	4	0.0118
P19	2.965	 0.045		1273.65	0.5	0.0261
P19	2.965	 0.045		1273.65	0.5	0.0202
P24	2.625	 0.025		1366.65	1.5	0.0473
P24	2.625	 0.025		1366.65	1.5	0.0394
P25	2.81	 0.02		1368.15	3	0.0366
P25	2.81	 0.02		1368.15	3	0.0273
P26	3	 0.03		1312.15	11	0.0315
P26	3	 0.03		1312.15	11	0.0236
P27	3.005	 0.045		1345.65	2.5	0.0320
P27	3.005	 0.045		1345.65	2.5	0.0241
P28	2.4	 0.03		1368.15	1	0.0527
P28	2.4	 0.03		1368.15	1	0.0458
P30	2.22	 0.04		1220.65	3.5	0.0404
P30	2.22	 0.04		1220.65	3.5	0.0315
P32	2.41	 0.03		1173.15	1	0.0414
P32	2.41	 0.03		1173.15	1	0.0266
P33	2.59	 0.06		1167.15	7	0.0340
P33	2.59	 0.06		1167.15	7	0.0251
P34	2.795	 0.055		1172.15	3	0.0212
P34	2.795	 0.055		1172.15	3	0.0162
P36	3	 0.04		1172.65	2.5	0.0167
P36	3	 0.04		1172.65	2.5	0.0133
P37	2.24	 0.06		1323.15	4	0.0591
P37	2.24	 0.06		1323.15	4	0.0577
P41	2.305	 0.045		1365.65	2.5	0.0547
P41	2.305	 0.045		1365.65	2.5	0.0488
P57	2.64	 0.55		1368.65	0.5	0.0734
P63	2.155	 0.055		1368.15	1	0.0641
p65	2.98	 0.04		1572.65	1.5	0.0650
P66	2.985	 0.025		1571.15	2	0.0611
P67	3.02	 0.02		1470.65	2.5	0.0379
P67	3.02	 0.02		1470.65	2.5	0.0350
P68	3.04	 0.05		1524.15	1	0.0429
P68	3.04	 0.05		1524.15	1	0.0419
P73	2.6	 0.06		1470.15	6	0.0572
P73	2.6	 0.06		1470.15	6	0.0512
P76	2.205	 0.035		1275.15	2	0.0498
P76	2.205	 0.035		1275.15	2	0.0478
P77	2.835	 0.045		1465.65	7.5	0.0512
P77	2.835	 0.045		1465.65	7.5	0.0463
P78	3.005	 0.025		1423.65	0.5	0.0335
P78	3.005	 0.025		1423.65	0.5	0.0315
P79	2.505	 0.025		1568.65	2.5	0.0947
P81	2.5	 0.02		1572.65	1.5	0.0937
P82	2.515	 0.015		1470.65	2.5	0.0789
P83	2.505	 0.025		1473.15	1	0.0720
P84	2.785	 0.025		1673.65	2.5	0.0947
P85	2.76	 0.02		1573.65	1.5	0.0769
P91	3.01	 0.02		1673.65	0.5	0.0774
P96	3.015	 0.025		1673.15	5	0.0816
P92	2.785	 0.025		1673.15	7	0.0942
P94	2.75	 0.02		1567.15	4	0.0813
P95	2.07	 0.04		1363.65	2.5	0.0734
P95	2.07	 0.04		1363.65	2.5	0.0690
P97	4.03	 0.07		1568.65	12.5	0.0282
P100	4	 0.04		1573.65	4.5	0.0324
P98	3.665	 0.025		1576.15	6	0.0363
P101	3.68	 0.02		1574.65	3.5	0.0405
P99	3.3	 0.04		1573.65	5.5	0.0443
P102	3.31	 0.03		1573.65	3.5	0.0488
E4	3.34	 0.04		1773.15	5	0.0873
E5	3.32	 0.04		1773.15	5	0.0952
E6	3.32	 0.04		1873.15	5	0.1065
#E7	3.32	 0.04		1873.15	5	#VALUE!
E8	4.16	 0.04		1773.15	5	0.0596
E9	4.16	 0.04		1773.15	5	0.0567
E10	4.2	 0.04		1873.15	5	0.0820
E11	4.2	 0.04		1873.15	5	0.0767
# Mgts = MgAl2SiO6					
