# T(K)	P(GPa)	Perr(GPa)	V(m^3/mol)	Verr
1500	21.84	0.09	3.674084784E-05	1.18518864E-08
1550	21.82	0.08	3.67843047568E-05	1.18518864E-08
1600	21.85	0.07	3.68040579008E-05	1.18518864E-08
1650	21.83	0.05	3.68238110448E-05	7.9012576E-09
1700	21.9	0.07	3.68514654464E-05	1.18518864E-08
1600	21.6	0.07	3.68119591584E-05	7.9012576E-09
1500	21.34	0.07	3.67645516128E-05	7.9012576E-09
1400	21.09	0.06	3.67250453248E-05	7.9012576E-09
1300	20.83	0.06	3.66697365216E-05	1.18518864E-08
1200	20.62	0.05	3.66262796048E-05	7.9012576E-09
1100	20.35	0.05	3.65670201728E-05	1.18518864E-08
1000	20.18	0.06	3.65156619984E-05	1.18518864E-08
900	20	0.04	3.64880075968E-05	7.9012576E-09
800	19.78	0.06	3.64366494224E-05	7.9012576E-09
700	19.62	0.06	3.63931925056E-05	3.9506288E-09
600	19.46	0.06	3.63536862176E-05	7.9012576E-09
500	19.37	0.07	3.6306278672E-05	3.9506288E-09
400	19.21	0.08	3.62707230128E-05	7.9012576E-09
300	18.91	0.08	3.6266772384E-05	7.9012576E-09
1700	21.78	0.08	3.68633173328E-05	7.9012576E-09
1750	22.05	0.06	3.68870211056E-05	7.9012576E-09
1800	21.84	0.08	3.69304780224E-05	7.9012576E-09
1850	21.92	0.05	3.69739349392E-05	7.9012576E-09
1900	21.85	0.05	3.70134412272E-05	7.9012576E-09
1800	21.7	0.07	3.6997638712E-05	1.18518864E-08
1700	21.42	0.06	3.69146755072E-05	7.9012576E-09
1600	21.19	0.05	3.68672679616E-05	1.18518864E-08
1500	20.92	0.04	3.68238110448E-05	1.18518864E-08
1900	21.78	0.07	3.70331943712E-05	7.9012576E-09
1950	21.69	0.04	3.70845525456E-05	7.9012576E-09
2000	21.67	0.03	3.71280094624E-05	7.9012576E-09
1900	20.51	0.04	3.72188739248E-05	1.18518864E-08
1800	20.41	0.07	3.7175417008E-05	1.18518864E-08
300	0.01	0.03	3.95102386288E-05	7.9012576E-09
300	3.89	0.15	3.88228292176E-05	1.58025152E-08
300	4.57	0.1	3.85265320576E-05	1.58025152E-08
300	9.34	0.23	3.75546773728E-05	1.9753144E-08
1600	21.77	0.04	3.68435641888E-05	7.9012576E-09
300	21.47	0.05	3.62549204976E-05	3.9506288E-09
1100	20.49	0.03	3.65433164E-05	3.9506288E-09
1300	21.02	0.02	3.6622328976E-05	7.9012576E-09
1500	21.42	0.02	3.6721094696E-05	3.9506288E-09
1599	21.56	0.06	3.67843047568E-05	7.9012576E-09
1700	21.5	0.04	3.6859366704E-05	3.9506288E-09
1800	21.28	0.05	3.69857868256E-05	7.9012576E-09
1900	21.08	0.06	3.71082563184E-05	7.9012576E-09
1800	20.76	0.03	3.70450462576E-05	7.9012576E-09
1700	20.53	0.04	3.70055399696E-05	7.9012576E-09
1600	20.35	0.03	3.6958132424E-05	3.9506288E-09
1500	20.17	0.03	3.69067742496E-05	7.9012576E-09
1400	19.95	0.02	3.68554160752E-05	3.9506288E-09
1300	19.72	0.02	3.68080085296E-05	7.9012576E-09
1200	19.53	0.02	3.67645516128E-05	3.9506288E-09
1100	19.35	0.05	3.6701341552E-05	1.9753144E-08
1000	19.12	0.02	3.66697365216E-05	3.9506288E-09
900	18.91	0.04	3.66262796048E-05	3.9506288E-09
800	18.76	0.02	3.65907239456E-05	3.9506288E-09
700	18.58	0.05	3.65433164E-05	3.9506288E-09
600	18.37	0.03	3.6503810112E-05	7.9012576E-09
500	18.22	0.03	3.64682544528E-05	3.9506288E-09
400	18.05	0.04	3.64366494224E-05	7.9012576E-09
300	17.83	0.01	3.64208469072E-05	7.9012576E-09
300	18.19	0.04	3.63931925056E-05	7.9012576E-09
300	18.41	0.01	3.63497355888E-05	7.9012576E-09
500	18.7	0.03	3.63892418768E-05	7.9012576E-09
700	19.17	0.03	3.64524519376E-05	3.9506288E-09
900	19.58	0.02	3.65275138848E-05	7.9012576E-09
304	18.5	0.03	3.63220811872E-05	7.9012576E-09
300	19.83	0.05	3.61403522624E-05	7.9012576E-09
300	20.48	0.03	3.60573890576E-05	7.9012576E-09
300	21.05	0.03	3.59823271104E-05	7.9012576E-09
700	21.74	0.03	3.60929447168E-05	7.9012576E-09
1100	22.41	0.02	3.62391179824E-05	7.9012576E-09
1300	22.78	0.05	3.63378837024E-05	3.9506288E-09
1400	22.99	0.1	3.63813406192E-05	7.9012576E-09
1500	23.18	0.04	3.64287481648E-05	3.9506288E-09
1300	22.93	0	3.63299824448E-05	7.9012576E-09
1100	22.5	0.03	3.62549204976E-05	3.9506288E-09
900	22.16	0.04	3.61640560352E-05	7.9012576E-09
700	21.8	0.02	3.6088994088E-05	7.9012576E-09
500	21.46	0.02	3.60139321408E-05	7.9012576E-09
300	21.13	0.07	3.59744258528E-05	7.9012576E-09
1500	23.18	0.05	3.64366494224E-05	3.9506288E-09
1500	22.6	0.07	3.65551682864E-05	3.9506288E-09
1700	22.91	0.03	3.66539340064E-05	7.9012576E-09
1700	22.63	0.02	3.6701341552E-05	3.9506288E-09
1700	22.37	0.02	3.67368972112E-05	3.9506288E-09
1800	22.47	0.04	3.67961566432E-05	3.9506288E-09
1900	22.48	0.03	3.69067742496E-05	3.9506288E-09
1700	21.92	0.03	3.68080085296E-05	3.9506288E-09
1500	21.55	0.03	3.6721094696E-05	7.9012576E-09
1300	21.16	0.03	3.66262796048E-05	3.9506288E-09
1100	20.68	0.02	3.65354151424E-05	3.9506288E-09
900	20.28	0.02	3.64564025664E-05	3.9506288E-09
700	19.93	0.02	3.6385291248E-05	3.9506288E-09
500	19.53	0.04	3.6326031816E-05	3.9506288E-09
300	19.14	0.02	3.62746736416E-05	3.9506288E-09
1700	21.39	0.02	3.68909717344E-05	7.9012576E-09
1700	20.69	0.03	3.70134412272E-05	7.9012576E-09
1700	19.94	0.03	3.71043056896E-05	7.9012576E-09
1500	19.54	0.02	3.6997638712E-05	3.9506288E-09
1800	21.54	0.07	3.69304780224E-05	1.18518864E-08
1900	21.71	0.04	3.6997638712E-05	7.9012576E-09
1500	20.17	0.03	3.69146755072E-05	7.9012576E-09
1500	19.29	0.06	3.70687500304E-05	3.9506288E-09
1500	18.62	0.02	3.71714663792E-05	3.9506288E-09
1300	18.11	0.03	3.7056898144E-05	7.9012576E-09
1100	17.65	0.02	3.69818361968E-05	7.9012576E-09
900	17.31	0.03	3.68949223632E-05	7.9012576E-09
700	16.78	0.02	3.6819860416E-05	7.9012576E-09
500	16.4	0.02	3.67447984688E-05	3.9506288E-09
300	16.01	0.01	3.66894896656E-05	3.9506288E-09
1100	16.01	0.04	3.72702320992E-05	7.9012576E-09
900	15.55	0.05	3.71912195232E-05	7.9012576E-09
700	15.01	0.02	3.71043056896E-05	7.9012576E-09
500	14.75	0.04	3.70450462576E-05	3.9506288E-09
300	14.58	0.07	3.6977885568E-05	7.9012576E-09
1700	21.44	0.03	3.68514654464E-05	1.58025152E-08
1800	21.31	0.05	3.70055399696E-05	1.18518864E-08
1900	21.12	0.03	3.71240588336E-05	1.18518864E-08
2000	21.11	0.06	3.72307258112E-05	1.18518864E-08
1900	20.8	0.05	3.71714663792E-05	1.58025152E-08
1900	20.65	0.05	3.71438119776E-05	1.58025152E-08
1900	20.48	0.05	3.71833182656E-05	2.37037728E-08
1900	20.2	0.04	3.7214923296E-05	1.9753144E-08
1900	19.97	0.05	3.72504789552E-05	1.9753144E-08
1900	19.74	0.02	3.73057877584E-05	1.58025152E-08
