# Expt	Phase	Comp	P[GPa]	T [C]	buffer 	Oxygens	Si	Si unc	Al	Al unc	Fe(tot)	Fe unc	Mo	Mo unc	Mg	Mg unc	Ca	Ca unc	Na	Na unc	Re	Total	Fe3/Fetotal	Fe3/Fetotal unc
Z1699	gt	KLB-1	20	1600	Re	12	3.627	0.035	0.564	0.016	0.331	0.025	0	0	3.267	0.021	0.215	0.015	0.02	0.008	0	8.024	0.44	0.06
Z1699	ring	KLB-1	20	1600	Re	4	0.999	0.005	0.006	0	0.15	0.002	0	0	1.843	0.004	0.001	0	0	0	0	2.998	0	0
Z1699	Re	KLB-1	20	1600	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Z1699	ReO2	KLB-1	20	1600	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0

H4560	gt	KLB-1	20	1800	Re	12	3.625	0.014	0.561	0.025	0.305	0.024	0	0	3.161	0.052	0.367	0.022	0	0	0	8.019	0.47	0.05
H4560	ring	KLB-1	20	1800	Re	4	0.991	0.005	0.011	0.003	0.137	0.004	0	0	1.862	0.014	0.003	0.003	0	0	0	3.003	0	0
H4560	Re	KLB-1	20	1800	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
H4560	ReO2	KLB-1	20	1800	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0

Z1785	gt	KLB-1	20	1800	Mo	12	3.667	0.035	0.539	0.083	0.281	0.013	0	0	3.043	0.042	0.52	0.008	0.005	0.014	0	8.056	0.07	0.03
Z1785	ring	KLB-1	20	1800	Mo	4	0.982	0.008	0.004	0	0.195	0.001	0	0	1.833	0.013	0.002	0	0	0	0	3.016	0	0
Z1785	Mo	KLB-1	20	1800	Mo	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Z1785	MoO2	KLB-1	20	1800	Mo	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0

Z1786	gt	KLB-1	20	1800	Fe	12	3.809	0.07	0.242	0.143	0.325	0.027	0	0	3.173	0.084	0.503	0.03	0.007	0.001	0	8.058	0.09	0.04
Z1786	mw	KLB-1	20	1800	Fe	2	0.001	0.001	0.003	0	0.306	0.015	0	0	1.685	0.024	0.001	0	0.001	0	0	1.998	0	0
Z1786	ring	KLB-1	20	1800	Fe	4	0.995	0.003	0.006	0.005	0.185	0.006	0	0	1.812	0.01	0.004	0.002	0	0	0	3.002	0	0
Z1786	hpx	KLB-1	20	1800	Fe	6	1.984	0.008	0.023	0.006	0.068	0.008	0	0	1.082	0.027	0.846	0.015	0.004	0.001	0	4.007	0	0
Z1786	fcc_iron	KLB-1	20	1800	Fe	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0

Z1782	gt	KLB-1	17	1600	Mo	12	3.436	0.056	1.079	0.133	0.391	0.026	0	0	2.666	0.105	0.438	0.023	0	0	0	8.009	0.08	0.03
Z1782	wad	KLB-1	17	1600	Mo	4	1.007	0.002	0.006	0.003	0.252	0.004	0	0	1.723	0.011	0.002	0.001	0	0	0	2.99	0	0
Z1782	hpx	KLB-1	17	1600	Mo	6	2.004	0.014	0.01	0.001	0.09	0.008	0	0	1.107	0.032	0.78	0.035	0	0	0	3.991	0	0
Z1782	Mo	KLB-1	17	1600	Mo	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Z1782	MoO2	KLB-1	17	1600	Mo	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0

Z1700	gt	KLB-1	17	1800	Fe	12	3.596	0.035	0.731	0.033	0.373	0.037	0	0	2.878	0.042	0.433	0.022	0	0	0	8.012	0.1	0.05
Z1700	wad	KLB-1	17	1800	Fe	4	0.99	0.007	0.002	0.002	0.172	0.01	0	0	1.839	0.018	0.006	0.002	0	0	0	3.009	0	0
Z1700	fcc_iron	KLB-1	17	1800	Fe	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0

H4321	gt	KLB-1	14	1800	Re	12	3.3	0.035	1.228	0.049	0.309	0.024	0	0	2.962	0.031	0.238	0.007	0.003	0.003	0	8.041	0.29	0.04
H4321	ol	KLB-1	14	1800	Re	4	0.991	0.005	0.002	0.001	0.112	0.004	0	0	1.898	0.011	0.004	0	0.001	0	0	3.008	0	0
H4321	Re	KLB-1	14	1800	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
H4321	ReO2	KLB-1	14	1800	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0

H4556	gt	KLB-1	14	1600	Fe	12	3.576	0.036	0.739	0.025	0.434	0.04	0	0	2.496	0.212	0.779	0.076	0	0	0	8.023	0.14	0.04
H4556	ol	KLB-1	14	1600	Fe	4	0.993	0.024	0.031	0.009	0.168	0.02	0	0	1.784	0.072	0.016	0.008	0	0	0	2.992	0	0
H4556	fcc_iron	KLB-1	14	1600	Fe	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0

Z1699	gt	MORB	20	1600	Re	12	3.328	0.037	1.504	0.061	0.651	0.027	0	0	1.221	0.011	0.996	0.008	0.3	0.014	0	8	0.21	0.03
Z1699	stv	MORB	20	1600	Re	2	0.988	0.009	0.012	0.002	0.002	0	0	0	0.001	0	0.001	0	0.003	0.004	0	1.008	0	0
Z1699	Re	MORB	20	1600	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Z1699	ReO2	MORB	20	1600	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0

H4560	gt	MORB	20	1800	Re	12	3.37	0.06	1.561	0.026	0.655	0.023	0	0	0.976	0.011	1.052	0.016	0.375	0.014	0	7.988	0.15	0.02
# H4560	cpx	MORB	20	1800	Re	6	2.007	0.035	0.701	0.021	0.115	0.009	0	0	0.247	0.005	0.238	0.011	0.669	0.034	0	3.977	0	0
H4560	stv	MORB	20	1800	Re	2	0.982	0.02	0.024	0.024	0	0	0	0	0	0	0	0	0	0	0	1.006	0	0
H4560	Re	MORB	20	1800	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
H4560	ReO2	MORB	20	1800	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0

#Z1785	gt	MORB	20	1800	Mo	12	3.686	0.145	1.397	0.06	0.589	0.039	0	0	0.851	0.043	0.906	0.039	0.324	0.2	0	7.753	0.08	0.04
#Z1785	stv	MORB	20	1800	Mo	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
#Z1785	Mo	MORB	20	1800	Mo	2	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0
#Z1785	MoO2	MORB	20	1800	Mo	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
# low gt cation total
#Z1786	gt	MORB	20	1800	Fe	12	3.619	0.08	1.402	0.034	0.611	0.058	0	0	0.876	0.032	0.963	0.047	0.352	0.2	0	7.823	0.11	0.06
#Z1786	stv	MORB	20	1800	Fe	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
#Z1786	fcc_iron	MORB	20	1800	Fe	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
# low gt cation total
Z1700	gt	MORB	17	1800	Fe	12	3.482	0.151	1.404	0.071	1.074	0.07	0	0	0.82	0.022	0.88	0.032	0.278	0.015	0	7.939	0.03	0.01
Z1700	cpx	MORB	17	1800	Fe	6	1.942	0.014	0.624	0.034	0.162	0.015	0	0	0.384	0.011	0.395	0.004	0.479	0.021	0	3.985	0	0
Z1700	fcc_iron	MORB	17	1800	Fe	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Z1700	stv	MORB	17	1800	Fe	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

H4321	gt	MORB	14	1800	Re	12	3.089	0.022	1.807	0.017	0.754	0.054	0	0	1.248	0.121	0.976	0.056	0.085	0.006	0	7.96	0.23	0.03
# H4321	cpx	MORB	14	1800	Re	6	1.976	0.004	0.543	0.021	0.164	0.009	0	0	0.431	0.016	0.436	0.011	0.402	0.014	0	3.953	0	0
H4321	stv	MORB	14	1800	Re	2	0.997	0.004	0.002	0	0.002	0	0	0	0	0	0.001	0	0	0	0	1.002	0	0
H4321	Re	MORB	14	1800	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
H4321	ReO2	MORB	14	1800	Re	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0

H4557	gt	MORB	14	1800	Fe	12	3.234	0.038	1.622	0.054	1.253	0.127	0	0	0.855	0.046	0.86	0.057	0.148	0.015	0	7.972	0.09	0.02
