# Run#  P(GPa) T(K)	phase	n Mg	 Mgerr	Al	  Alerr	Si	  Sierr
OS2705	15	  2000	gt	15	3.044	0.04	2.064	0.072	2.931	0.037
OS2705	15	  2000	cor	13	0.361	0.085	7.361	0.148	0.297	0.07
OS2722	23	  2000	gt	10	3.081	0.049	1.976	0.103	2.978	0.055
OS2722	23	  2000	cor	11	0.62	0.027	6.779	0.062	0.606	0.05
OS2703	25	  2000	gt	8	  3.111	0.044	1.906	0.064	3.014	0.034
OS2703	25	  2000	cor	9	  0.748	0.011	6.55	0.021	0.712	0.011
OS2723	27	  2000	bdg	10	3.566	0.118	1.034	0.145	3.444	0.052
OS2723	27	  2000	cor	12	0.993	0.086	6.114	0.146	0.918	0.066
OS2772	27	  2000	bdg	10	3.625	0.038	0.883	0.024	3.525	0.031
OS2772	27	  2000	cor	14	1.067	0.037	5.968	0.078	0.988	0.04
M1564	  31.9	1700	bdg	9	  3.44	0.036	1.08	0.044	3.473	0.03
M1564	  31.9	1700	cor	8	  0.6	  0.025	6.827	0.041	0.573	0.021
M1609	  31.8	2000	bdg	14	3.318	0.068	1.478	0.102	3.232	0.063
M1609	  31.8	2000	cor	27	0.816	0.059	6.432	0.101	0.766	0.048
MII_251	37.8	2000	bdg	21	3.254	0.011	1.579	0.126	3.187	0.072
MII_251	37.8	2000	cor	17	0.572	0.023	6.864	0.023	0.566	0.013
MII_257	45	  2000	bdg	30	2.958	0.104	2.022	0.144	3.003	0.062
MII_257	45	  2000	cor	41	0.595	0.085	6.849	0.163	0.565	0.08
