#		          cpx					              ol		
#P(GPa)	T(K)	Ca	  Mg		    Fe		    Ca	  Mg		    Fe
1.05	1273.15	0.469	0.114696	0.416304	0.023	0.073275	0.903725
1.05	1273.15	0.451	0.099918	0.449082	0.049	0.067521	0.883479
1.05	1273.15	0.448	0.098808	0.453192	0.026	0.072076	0.901924
1.05	1273.15	0.461	0.175175	0.363825	0.021	0.161535	0.817465
1.05	1273.15	0.468	0.176092	0.355908	0.02	0.14994		0.83006
1.05	1273.15	0.466	0.158598	0.375402	0.021	0.13706		0.84194
1.05	1273.15	0.483	0.200079	0.316921	0.039	0.157604	0.803396
1.05	1273.15	0.486	0.20046		0.31354		0.036	0.172556	0.791444
1.05	1273.15	0.489	0.204911	0.306089	0.038	0.172198	0.789802
1.05	1273.15	0.491	0.271297	0.237703	0.024	0.323056	0.652944
1.05	1273.15	0.486	0.270364	0.243636	0.023	0.329249	0.647751
1.05	1273.15	0.468	0.288876	0.243124	0.019	0.316863	0.664137
1.05	1273.15	0.486	0.29555		0.21845		0.016	0.30996		0.67404
1.05	1273.15	0.477	0.333151	0.189849	0.015	0.43143		0.55357
1.05	1273.15	0.48	0.33384		0.18616		0.014	0.402288	0.583712
1.05	1273.15	0.48	0.33384		0.18616		0.011	0.46483		0.52417
1.05	1273.15	0.499	0.370239	0.130761	0.027	0.516663	0.456337
1.05	1273.15	0.478	0.384192	0.137808	0.027	0.516663	0.456337
1.05	1273.15	0.469	0.39825		0.13275		0.023	0.515856	0.461144
1.05	1273.15	0.489	0.402157	0.108843	0.003	0.601191	0.395809
1.05	1273.15	0.49	0.3876		0.1224		0.005	0.5771		0.4179
1.05	1273.15	0.476	0.451164	0.072836	0.011	0.719992	0.269008
1.05	1273.15	0.484	0.456144	0.059856	0.006	0.746494	0.247506
1.05	1273.15	0.494	0.447304	0.058696	0.011	0.749662	0.239338
1.05	1273.15	0.469	0.503919	0.027081	0.004	0.895404	0.100596
1.05	1273.15	0.488	0.487936	0.024064	0.01	0.89298		0.09702
1.05	1273.15	0.478	0.502686	0.019314	0.008	0.913632	0.078368
1.05	1273.15	0.413	0.032872	0.554128	0.017	0.020643	0.962357
1.05	1273.15	0.414	0.031058	0.554942	0.019	0.024525	0.956475
1.05	1273.15	0.426	0.033292	0.540708	0.021	0.022517	0.956483
1.05	1273.15	0.443	0.164872	0.392128	0.02	0.14112		0.83888
1.05	1273.15	0.41	0.07965		0.51035		0.022	0.070416	0.907584
1.05	1273.15	0.374	0.104542	0.521458	0.014	0.068034	0.917966
1.05	1273.15	0.419	0.178367	0.402633	0.017	0.168093	0.814907
1.05	1273.15	0.35	0.2119		0.4381		0.019	0.159903	0.821097
1.05	1273.15	0.43	0.20007		0.36993		0.019	0.159903	0.821097
1.05	1273.15	0.453	0.450728	0.096272	0.011	0.658674	0.330326
1.05	1273.15	0.472	0.43296		0.09504		0.007	0.649422	0.343578
1.05	1273.15	0.48	0.44304		0.07696		0.008	0.670592	0.321408
1.05	1273.15	0.48	0.42744		0.09256		0.008	0.625952	0.366048
1.05	1273.15	0.453	0.452916	0.094084	0.008	0.650752	0.341248
1.05	1273.15	0.479	0.256853	0.264147	0.028	0.28188		0.69012
1.05	1273.15	0.492	0.222504	0.285496	0.038	0.228956	0.733044
1.05	1273.15	0.494	0.206448	0.299552	0.038	0.228956	0.733044
1.05	1273.15	0.494	0.250976	0.255024	0.03	0.27645		0.69355
1.05	1273.15	0.492	0.222504	0.285496	0.038	0.228956	0.733044
1.05	1273.15	0.468	0.364952	0.167048	0.029	0.46608		0.50492
1.05	1273.15	0.476	0.357368	0.166632	0.015	0.47477		0.51023
1.05	1273.15	0.465	0.251985	0.283015	0.024	0.256688	0.719312
1.05	1273.15	0.463	0.277629	0.259371	0.024	0.264496	0.711504
1.05	1273.15	0.476	0.255188	0.268812	0.028	0.250776	0.721224
1.05	1273.15	0.464	0.343576	0.192424	0.014	0.422994	0.563006
1.05	1273.15	0.414	0.351014	0.234986	0.011	0.345161	0.643839
1.05	1273.15	0.479	0.496513	0.024487	0.003	0.876363	0.120637
1.05	1273.15	0.469	0.502857	0.028143	0.008	0.861056	0.130944
