# Run_no P_(GPa) T_(K)	phase	Fe	Feerr
SO41	 1.6	 1173	ol	0.053	0.002 opx	0.051	0.003
SO42	 1.6	 1173	ol	0.071	0.005 opx	0.062	0.004
SO46	 1.6	 1173	ol	0.169	0.003 opx	0.146	0.004
SO44	 1.6	 1173	ol	0.287	0.003 opx	0.230	0.004
SO45	 1.6	 1173	ol	0.500	0.004 opx	0.377	0.006
SO39	 1.6	 1173	ol	0.612	0.005 opx	0.480	0.004
SO43	 1.6	 1173	ol	0.787	0.004 opx	0.641	0.008
SO40	 1.6	 1173	ol	0.908	0.003 opx	0.814	0.004
SO48_1	 1.6	 1173	ol	0.945	0.007 opx	0.896	0.003
SO48_2	 1.6	 1173	ol	0.979	0.001 opx	0.950	0.003

SO13_1	 1.6	 1273	ol	0.028	0.004 opx	0.032	0.002
SO13_2	 1.6	 1273	ol	0.036	0.005 opx	0.036	0.001
SO1_1	 1.6	 1273	ol	0.040	0.003 opx	0.037	0.003
SO1_5	 1.6	 1273	ol	0.043	0.002 opx	0.037	0.003
SO15	 1.6	 1273	ol	0.072	0.004 opx	0.070	0.002
SO3_3	 1.6	 1273	ol	0.129	0.003 opx	0.110	0.002
SO16	 1.6	 1273	ol	0.141	0.007 opx	0.124	0.007
SO20	 1.6	 1273	ol	0.248	0.004 opx	0.201	0.006
SO17_2	 1.6	 1273	ol	0.271	0.002 opx	0.221	0.003
SO8	 1.6	 1273	ol	0.281	0.006 opx	0.230	0.004
SO23	 1.6	 1273	ol	0.291	0.009 opx	0.240	0.005
SO25	 1.6	 1273	ol	0.392	0.005 opx	0.308	0.003
SO7	 1.6	 1273	ol	0.490	0.003 opx	0.375	0.004
SO18_2	 1.6	 1273	ol	0.498	0.003 opx	0.387	0.003
SO14	 1.6	 1273	ol	0.573	0.005 opx	0.448	0.008
SO5	 1.6	 1273	ol	0.592	0.002 opx	0.464	0.002
SO21	 1.6	 1273	ol	0.700	0.002 opx	0.568	0.005
SO4	 1.6	 1273	ol	0.777	0.002 opx	0.647	0.005
SO22	 1.6	 1273	ol	0.821	0.002 opx	0.700	0.003
SO11	 1.6	 1273	ol	0.888	0.001 opx	0.797	0.003
SO6	 1.6	 1273	ol	0.917	0.001 opx	0.839	0.003
SO12	 1.6	 1273	ol	0.960	0.001 opx	0.917	0.002
#SO27	 1.6	 1273	ol	0.977	0.001 opx	0.952	0.002 # burnman struggles to equilibrate opx at this composition

SO33	 1.6	 1423	ol	0.040	0.002 opx	0.032	0.002
SO38	 1.6	 1423	ol	0.050	0.002 opx	0.046	0.001
SO34	 1.6	 1423	ol	0.081	0.006 opx	0.060	0.004
SO37	 1.6	 1423	ol	0.138	0.003 opx	0.113	0.002
SO30_3	 1.6	 1423	ol	0.159	0.003 opx	0.134	0.003
SO36	 1.6	 1423	ol	0.262	0.002 opx	0.213	0.003
SO32_2	 1.6	 1423	ol	0.426	0.002 opx	0.337	0.003
SO31_2	 1.6	 1423	ol	0.548	0.001 opx	0.439	0.003
SO31_1	 1.6	 1423	ol	0.570	0.002 opx	0.450	0.003
SO35	 1.6	 1423	ol	0.702	0.003 opx	0.582	0.004
SO47	 1.6	 1423	ol	0.907	0.001 opx	0.839	0.003
SO28_3	 1.6	 1423	ol	0.952	0.001 opx	0.914	0.002
SO28_1	 1.6	 1423	ol	0.961	0.001 opx	0.928	0.003
