# Expt	P (GPa)	T (K)	  Phase	  Al	  Fe2+	  Fe3+	  Si
# all experiments in fcc stability field
#aw1	2.0	1473.15	  gt	  1.999	  2.982	  0.038	  2.982
#aw1	2.0	1473.15	  qtz	  0.	  0.	  0.	  1.
#aw1	2.0	1473.15	  fcc_iron	  0.	  0.	  0.	  0.

#aw6	1.9	1473.15	  gt	  1.993	  2.981	  0.044	  2.981
#aw6	1.9	1473.15	  qtz	  0.	  0.	  0.	  1.
#aw6	1.9	1473.15	  fcc_iron	  0.	  0.	  0.	  0.

aw14	1.7	1373.15	  gt	  1.971	  2.992	  0.045	  2.992

#aw35	2.0	1273.15	  gt	  ???
#aw35	2.0	1273.15	  opx	  ???
#aw35	2.0	1273.15	  qtz	  0.	  0.	  0.	  1.

aw43	3.2	1353.15	  gt	  1.962	  2.981	  0.077	  2.981
#aw43	3.2	1353.15	  opx	  ???

aw18	3.0	1473.15	  gt	  1.970	  2.992	  0.046	  2.992
aw18	3.0	1473.15	  qtz	  0.	  0.	  0.	  1.

aw25	2.7	1353.15	  gt	  1.839	  3.008	  0.145	  3.008
aw25	2.7	1353.15	  qtz	  0.	  0.	  0.	  1.

aw26	2.7	1353.15	  gt	  1.845	  3.038	  0.079	  3.038
aw26	2.7	1353.15	  qtz	  0.	  0.	  0.	  1.

aw30	2.7	1353.15	  gt	  1.860	  2.997	  0.145	  2.997
aw30	2.7	1353.15	  qtz	  0.	  0.	  0.	  1.

aw31 	1.9	1303.15	  gt	  1.823	  3.021	  0.136	  3.021
aw31 	1.9	1303.15	  qtz	  0.	  0.	  0.	  1.
aw31 	1.9	1303.15	  sp	  0.096	  1.038	  1.734	  0.038

aw45 	2.7	1353.15	  gt	  1.830	  3.004	  0.163	  3.004
aw45 	2.7	1353.15	  qtz	  0.	  0.	  0.	  1.

aw21	3.0	1373.15	  gt	  1.738	  3.009	  0.247	  3.009
aw21	3.0	1373.15	  sp	  0.104	  1.070	  1.756	  0.070
aw21	3.0	1373.15	  qtz	  0.	  0.	  0.	  1.
aw21	3.0	1373.15	  opx	  0.091	  2.048	  0.	  1.893

aw29	2.7	1353.15	  gt	  1.756	  2.991	  0.263	  2.991
aw29	2.7	1353.15	  sp	  0.095	  1.074	  1.757	  0.074
aw29	2.7	1353.15	  qtz	  0.	  0.	  0.	  1.
aw29	2.7	1353.15	  opx	  0.086	  2.001	  0.	  1.928

aw37	4.0	1373.15	  gt	  1.823	  2.996	  0.186	  2.996

aw41	3.5	1373.15	  gt	  1.668	  2.989	  0.354	  2.989
aw41	3.5	1373.15	  sp	  0.079	  1.073	  1.774	  0.073

aw48	1.7	1373.15	  gt	  1.805	  3.008	  0.179	  3.008
aw48	1.7	1373.15	  sp	  0.257	  1.045	  1.653	  0.045
aw48	1.7	1373.15	  qtz	  0. 	  0.	  0.	  1.
#aw48	1.7	1373.15	  opx	  ???

aw15	3.0	1473.15	  gt	  1.945	  2.972	  0.112	  2.972
#aw15	3.0	1473.15	  sp	  ???
aw15	3.0	1473.15	  qtz	  0.	  0.	  0.	  1.
aw15	3.0	1473.15	  opx	  0.283	  1.893	  0.	  1.835

aw21b	3.0	1373.15	  gt	  1.723	  2.994	  0.289	  2.994
aw21b	3.0	1373.15	  sp	  0.105	  1.072	  1.750	  0.072
aw21b	3.0	1373.15	  qtz	  0.	  0.	  0.	  1.
aw21b	3.0	1373.15	  opx	  0.091	  2.048	  0.	  1.893

aw26b	2.7	1353.15	  gt	  1.773	  3.005	  0.217	  3.005
aw26b	2.7	1353.15	  opx	  0.051	  1.991	  0.000	  1.964
aw26b	2.7	1353.15	  fa	  0.	  1.985	  0.	  1.006

aw29b	2.7	1353.15	  gt	  1.759	  2.999	  0.244	  2.999
aw29b	2.7	1353.15	  sp	  0.103	  1.075	  1.748	  0.075
aw29b	2.7	1353.15	  qtz	  0.	  0.	  0.	  1.
aw29b	2.7	1353.15	  opx	  0.075	  1.999	  0.	  1.938

aw32	2.7	1353.15	  gt	  1.714	  3.026	  0.233	  3.026
aw32	2.7	1353.15	  sp	  0.100	  1.072	  1.756	  0.072
aw32	2.7	1353.15	  qtz	  0.	  0.	  0.	  1.
aw32	2.7	1353.15	  opx	  0.078	  1.993	  0.	  1.940

aw34	2.7	1453.15	  gt	  1.824	  2.892	  0.212	  2.892
aw34	2.7	1453.15	  opx	  0.187	  1.956	  0.	  1.872
aw34	2.7	1453.15	  qtz	  0.	  0.	  0.	  1.

aw37b	4.0	1373.15	  gt	  1.588	  3.006	  0.400	  3.006

aw23	2.7	1353.15	  gt	  1.747	  3.003	  0.247	  3.003
aw23	2.7	1353.15	  sp	  0.103	  1.102	  1.692	  0.102
aw23	2.7	1353.15	  opx	  0.065	  2.003	  0.	  1.944
aw23	2.7	1353.15	  qtz	  0.	  0.	  0.	  1.

aw38	4.4	1373.15	  gt	  1.645	  3.002	  0.351	  3.002
aw38	4.4	1373.15	  sp	  0.061	  1.098	  1.742	  0.098
aw38	4.4	1373.15	  coe	  0.	  0.	  0.	  1.

u458	6.0	1373.15	  gt	  1.418	  2.976	  0.630	  2.976
#u458	6.0	1373.15	  sp	  ????
u458	6.0	1373.15	  coe	  0.	  0.	  0.	  1.

#u642 pre
#u642 pre

u541	6.5	1373.15	  gt	  1.181	  3.003	  0.814	  3.003

u627	7.0	1373.15	  gt	  1.024	  3.011	  0.953	  3.011
#u627	7.0	1373.15	  sp	  ???
u627	7.0	1373.15	  coe	  0.	  0.	  0.	  1.

u532	8.0	1373.15	  gt	  0.592	  3.031	  1.345	  3.031
u532	8.0	1373.15	  sp	  0.015	  1.630	  0.724	  0.630
#u532	8.0	1373.15	  cpx	  ????

u497	9.0	1373.15	  gt	  0.430	  2.992	  1.586	  2.992
u497	9.0	1373.15	  hem	  0.	  0.	  2.	  0.
u497	9.0	1373.15	  coe	  0.	  0.	  0.	  1.

u532a	8.0	1373.15	  gt	  0.490	  2.991	  1.529	  2.991
u532a	8.0	1373.15	  sp	  0.008	  1.466	  1.060	  0.466
#u532a	8.0	1373.15	  cpx	  ???

u610	8.5	1373.15	  gt	  0.479	  3.006	  0.754	  3.006
u610	8.5	1373.15	  sp	  0.006	  1.433	  1.128	  0.433
u610	8.5	1373.15	  coe	  0.	  0.	  0.	  1.

u589	9.0	1373.15	  gt	  0.475	  2.989	  1.547	  2.989
#u589	9.0	1373.15	  sp	  ????
u589	9.0	1373.15	  hem	  0. 	  0.	  2.	  0.
u589	9.0	1373.15	  coe	  0.	  0.	  0.	  1.

u598	9.5	1373.15	  gt	  0.209	  2.990	  1.812	  2.990
#u598	9.5	1373.15	  sp	  ???
u598	9.5	1373.15	  hem	  0.	  0.	  2.	  0.
